# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/grid/grid13 --solver cuopt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 900 vertices, 3480 arcs, 12000 commodities, 900 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=900, capped_arcs=3480)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   1.1535e+09   1.4814e+05   1800    900   900      0      0      0      0   0.351   0.007   0.000   0.359     0.359
    2          inf   1.1535e+09   9.6206e+05   1800    900   900      0      0      0      0   0.020   0.009   0.000   0.029     0.389
    3          inf   1.1535e+09   9.0843e+06   1800    900   900      0      0      0      0   0.020   0.009   0.000   0.030     0.418
    4          inf   1.1535e+09   9.0066e+07   1800    900   900      0      0      0      0   0.020   0.010   0.000   0.030     0.449
    5          inf   1.1535e+09   8.3935e+08   1800    900   628      0      0      0      0   0.027   0.010   0.001   0.038     0.487
    6          inf   1.1535e+09   1.1535e+09   1800   1187     6      0      0    287      0   0.031   0.010   0.002   0.043     0.530
    7          inf   1.1535e+09   3.4430e+09   2694   1187   534    894      0      0      0   0.136   0.007   0.000   0.146     0.676
    8          inf   1.1535e+09   3.4162e+09   3593   1190   294    899      0      3      0   0.142   0.006   0.001   0.151     0.827
    9          inf   1.1535e+09   2.2883e+09   4493   1217   152    900      0     27      0   0.167   0.005   0.001   0.175     1.002
   10          inf   1.1535e+09   1.6594e+09   5393   1246    70    900      0     29      0   1.423   0.006   0.001   1.433     2.435
   11          inf   1.1535e+09   1.2298e+09   6293   1296    12    900      0     50      0   1.223   0.006   0.002   1.234     3.669
   12          inf   1.1535e+09   1.1626e+09   7122   1313     0    900     71     17      0   0.944   0.006   0.001   0.956     4.625
   13          inf   1.1564e+09   1.1617e+09   8018   1322     0    900      4      9      0   0.708   0.006   0.001   0.721     5.346
   14          inf   1.1570e+09   1.1610e+09   8911   1325     0    900      7      3      0   0.687   0.006   0.001   0.700     6.046
   15          inf   1.1576e+09   1.1605e+09   9780   1327     0    900     31      2      0   0.600   0.006   0.001   0.614     6.659
   16   1.1601e+09   1.1582e+09   1.1601e+09  10584   1327     0    900     96      0      0   0.755   0.006   0.001   0.768     7.428
   17   1.1601e+09   1.1585e+09   1.1599e+09  11328   1335     0    899    155      8      0   0.778   0.006   0.002   0.792     8.220
   18   1.1601e+09   1.1586e+09   1.1597e+09  12214   1340     0    899     13      5      0   0.901   0.006   0.002   0.915     9.135
   19   1.1601e+09   1.1588e+09   1.1596e+09  13107   1343     0    897      4      3      0   0.816   0.006   0.002   0.831     9.966
   20   1.1601e+09   1.1591e+09   1.1595e+09  14001   1346     0    895      1      3      0   0.858   0.006   0.002   0.874    10.839
   21   1.1601e+09   1.1591e+09   1.1595e+09  14892   1347     0    891      0      1      0   0.894   0.006   0.002   0.905    11.744
   22   1.1601e+09   1.1592e+09   1.1594e+09  15780   1348     0    888      0      1      0   0.962   0.006   0.002   0.973    12.717
   23   1.1601e+09   1.1592e+09   1.1594e+09  16641   1351     0    861      0      3      0   0.987   0.006   0.002   0.999    13.716
   24   1.1601e+09   1.1593e+09   1.1593e+09  17487   1356     0    861     15      5      0   1.041   0.007   0.003   1.059    14.775
   25   1.1601e+09   1.1593e+09   1.1593e+09  18317   1358     0    830      0      2      0   1.148   0.006   0.002   1.160    15.935
   26   1.1593e+09   1.1593e+09   1.1593e+09  18317   1358     0   *701      0      0      0   1.113   0.006   0.002   1.121    17.056
CG optimal after 26 iterations. UB=1159338551.732102 LB=1159309735.544143 gap=2.882e+04 tol=1.159e+05  t_LP=16.752  t_PR=0.189  t_SP=0.035  t_Tot=17.068

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/commalab/grid/grid13,tree,26,17417,1159338551.732102,1159309735.544143,1,17.080,16.752,0.189,0.035
