# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/intermodal/BUS-13160-0.txt.gz --solver cuopt --formulation path --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 140925 vertices, 1023858 arcs, 13135 commodities, 13135 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=13135, capped_arcs=836960)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   3.3868e+05  26270  13208   783      0      0     73      0   0.472   0.000   0.073   0.545     0.545
    2          inf         -inf   3.4174e+05  26943  13208  1041    673      0      0      0   0.095   0.096   0.073   0.266     0.811
    3          inf         -inf   3.4912e+05  26943  13259    70      0      0     51      0   0.114   0.000   0.072   0.187     0.998
    4          inf         -inf   3.5029e+05  26943  13261   144      0      0      2      0   0.086   0.000   0.076   0.162     1.160
    5          inf         -inf   3.5029e+05  26989  13261   145     46      0      0      0   0.137   0.031   0.070   0.238     1.398
    6          inf         -inf   3.5642e+05  26989  13262   164      0      0      1      0   0.134   0.000   0.074   0.208     1.606
    7          inf         -inf   3.5644e+05  27023  13231   163     34      0      0     31   0.128   0.031   0.070   0.230     1.837
    8          inf         -inf   3.8515e+05  27023  13233   112      0      0      2      0   0.131   0.000   0.071   0.202     2.038
    9          inf         -inf   3.8516e+05  27081  13192   115     58      0      0     41   0.088   0.035   0.072   0.196     2.234
   10          inf         -inf   3.9481e+05  27081  13200   127      0      0      8      0   0.084   0.000   0.077   0.163     2.396
   11          inf         -inf   3.9485e+05  27168  13197   128     87      0      0      3   0.091   0.042   0.071   0.205     2.601
   12          inf         -inf   3.8451e+05  27168  13204    86      0      0      7      0   0.086   0.000   0.072   0.158     2.759
   13          inf         -inf   3.8452e+05  27257  13202    90     89      0      0      2   0.090   0.045   0.069   0.205     2.965
   14          inf         -inf   3.8877e+05  27257  13209    75      0      0      7      0   0.090   0.000   0.071   0.161     3.126
   15          inf         -inf   3.8951e+05  27370  13209    83    113      0      0      0   0.096   0.050   0.069   0.217     3.343
   16          inf         -inf   3.6034e+05  27370  13222    29      0      0     13      0   0.089   0.000   0.070   0.160     3.502
   17          inf         -inf   3.7541e+05  27536  13215    52    166      0      0      7   0.100   0.050   0.072   0.223     3.726
   18          inf         -inf   3.8093e+05  27536  13231    15      0      0     16      0   0.129   0.000   0.072   0.202     3.928
   19          inf         -inf   3.8095e+05  27536  13232    15      0      0      1      0   0.137   0.000   0.071   0.209     4.136
   20          inf         -inf   3.8095e+05  27541  13225    15      5      0      0      7   0.096   0.030   0.070   0.196     4.332
   21          inf         -inf   3.9222e+05  27541  13228    14      0      0      3      0   0.132   0.000   0.070   0.203     4.536
   22          inf         -inf   3.9222e+05  27547  13215    14      6      0      0     13   0.100   0.035   0.071   0.207     4.742
   23          inf         -inf   3.9231e+05  27547  13217    14      0      0      2      0   0.096   0.000   0.070   0.166     4.909
   24          inf         -inf   3.9231e+05  27557  13200    14     10      0      0     17   0.111   0.033   0.070   0.216     5.125
   25          inf         -inf   3.9245e+05  27557  13206    14      0      0      6      0   0.093   0.000   0.070   0.164     5.289
   26          inf         -inf   3.9245e+05  27600  13202    14     43      0      0      4   0.100   0.034   0.070   0.205     5.494
   27          inf         -inf   3.9253e+05  27600  13208    15      0      0      6      0   0.097   0.000   0.071   0.168     5.662
   28          inf         -inf   3.9254e+05  27600  13214    16      0      0      6      0   0.098   0.000   0.070   0.169     5.831
   29          inf         -inf   3.9255e+05  27600  13215    16      0      0      1      0   0.102   0.000   0.074   0.177     6.008
   30          inf         -inf   3.9255e+05  27602  13211    17      2      0      0      4   0.101   0.031   0.070   0.202     6.210
   31          inf         -inf   7.5442e+05  27602  13214    14      0      0      3      0   0.099   0.000   0.070   0.170     6.380
   32          inf  -1.1872e+06   7.5442e+05  28027  13208    14    425      0      0      6   0.100   0.509   0.070   0.680     7.060
   33          inf  -1.1872e+06   3.4835e+05  28027  13230     0      0      0     22      0   0.098   0.000   0.072   0.171     7.231
   34   3.4839e+05  -1.1872e+06   3.4839e+05  28073  13224     0     46      0      0      6   0.100   0.041   0.071   0.213     7.445
   35   3.4837e+05   3.4831e+05   3.4837e+05  28120  13224     0     47      0      0      0   0.100   0.415   0.073   0.588     8.033
   36   3.4836e+05   3.4834e+05   3.4836e+05  28120  13224     0     *2      0      0      0   0.108   0.433   0.072   0.614     8.647
CG optimal after 36 iterations. UB=348362.013495 LB=348338.135297 gap=2.388e+01 tol=3.484e+01  t_LP=4.107  t_PR=2.394  t_SP=2.568  t_Tot=9.099

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/intermodal/BUS-13160-0.txt.gz,path,36,14985,348362.013495,348338.135297,1,9.324,4.107,2.394,2.568
