# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/planar/planar2500 --solver cuopt --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 2500 vertices, 12990 arcs, 81430 commodities, 2500 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=81430, capped_arcs=12990)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   1.0946e+10   1.0949e+10  83123  83123     0      0      0   1693      0   0.796   0.102   0.130   1.028     1.028
    2          inf   1.0946e+10   2.9836e+12 133123  83123  1693  50000      0      0      0  11.477   0.068   0.002  11.596    12.624
    3          inf   1.0946e+10   2.3308e+10 184285  84285     7  50000      0   1162      0   6.027   0.073   0.081   6.286    18.910
    4          inf   1.0946e+10   1.1431e+12 234326  84326  1060  50000      0     41      0  21.705   0.070   0.007  21.868    40.778
    5          inf   1.0946e+10   5.3163e+12 284513  84513  1238  50000      0    187      0  25.145   0.073   0.022  25.322    66.100
    6          inf   1.0946e+10   2.1064e+12 334808  84808   519  50000      0    295      0  34.323   0.074   0.032  34.521   100.621
    7          inf   1.0946e+10   3.0233e+12 384866  84866   635  50000      0     58      0  49.662   0.072   0.014  49.834   150.455
    8          inf   1.0946e+10   1.3155e+12 409806  84918   364  50000  25112     52      0  45.742   0.064   0.017  45.972   196.427
    9          inf   1.0946e+10   1.9329e+11 411179  84938   115  50000  48647     20      0  42.170   0.067   0.014  42.413   238.840
   10          inf   1.0946e+10   1.3363e+10 420328  84946     0  50000  40859      8      0  27.134   0.070   0.010  27.386   266.226
   11          inf   1.1155e+10   1.3206e+10 437157  84948     0  50000  33173      2      0  24.080   0.060   0.010  24.316   290.541
   12          inf   1.1582e+10   1.3097e+10 452160  84954     0  50000  35003      6      0  21.924   0.066   0.012  22.159   312.701
   13          inf   1.1769e+10   1.3007e+10 464837  84962     0  50000  37331      8      0  21.058   0.069   0.012  21.301   334.002
   14          inf   1.1924e+10   1.2931e+10 474908  84963     0  50000  39930      1      0  21.020   0.067   0.010  21.260   355.262
   15          inf   1.2093e+10   1.2867e+10 476238  83586     0  50000  47293     13   1390  19.958   0.065   0.013  20.295   375.557
   16          inf   1.2174e+10   1.2815e+10 482429  83551     0  50000  43774     33     68  11.166   0.072   0.017  11.491   387.047
   17          inf   1.2299e+10   1.2777e+10 497843  83513     0  50000  34548     35     73  11.067   0.068   0.017  11.390   398.437
   18          inf   1.2396e+10   1.2745e+10 518134  83516     0  50000  29712     36     33  10.268   0.072   0.018  10.597   409.034
   19          inf   1.2449e+10   1.2722e+10 544976  83514     0  50000  23156     28     30  11.384   0.069   0.018  11.714   420.748
   20          inf   1.2500e+10   1.2704e+10 582923  83511     0  50000  12050     19     22  11.695   0.069   0.017  12.021   432.770
   21          inf   1.2544e+10   1.2691e+10 604879  83519     0  50000  28052     25     17  12.089   0.075   0.019  12.439   445.209
   22          inf   1.2575e+10   1.2680e+10 632529  83498     0  50000  22329     25     46  13.011   0.060   0.022  13.365   458.574
   23          inf   1.2597e+10   1.2673e+10 672753  83511     0  50000   9789     19      6  13.369   0.066   0.018  13.717   472.291
   24          inf   1.2622e+10   1.2668e+10 696287  83473     0  50000  26428     17     55  13.614   0.068   0.020  13.983   486.274
   25          inf   1.2635e+10   1.2665e+10 737221  83470     0  50000   9063     16     19  14.112   0.065   0.020  14.473   500.747
   26          inf   1.2649e+10   1.2664e+10 786665  83468     0  50000    554     16     18  15.779   0.069   0.021  16.166   516.913
   27          inf   1.2657e+10   1.2663e+10 834961  83464     0  50000   1700     10     14  17.566   0.068   0.018  17.941   534.855
   28          inf   1.2661e+10   1.2662e+10 884901  83459     0  50000     55      5     10  18.167   0.065   0.019  18.539   553.394
   29   1.2662e+10   1.2662e+10   1.2662e+10 884901  83459     0 *69130      0      0      0  19.545   0.053   0.015  19.621   573.014
CG optimal after 29 iterations. UB=12662365654.766466 LB=12662084699.170506 gap=2.810e+05 tol=1.266e+06  t_LP=565.054  t_PR=2.158  t_SP=0.644  t_Tot=573.176

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/commalab/planar/planar2500,path,29,882872,12662365654.766466,12662084699.170506,1,573.498,565.054,2.158,0.644
