# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/planar/planar2500 --solver copt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 2500 vertices, 12990 arcs, 81430 commodities, 2500 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=2500, capped_arcs=12990)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   1.0946e+10   5.1076e+08   5000   2500  2500      0      0      0      0   0.267   0.096   0.001   0.364     0.364
    2          inf   1.0946e+10   5.1045e+09   5000   2500  2483      0      0      0      0   0.101   0.088   0.001   0.191     0.555
    3          inf   1.0946e+10   1.0946e+10   5000   4193     0      0      0   1693      0   0.091   0.085   0.008   0.185     0.740
    4          inf   1.0946e+10   4.1887e+10   7496   4193  1984   2496      0      0      0   1.358   0.046   0.002   1.449     2.188
    5          inf   1.0946e+10   3.0039e+11   9996   4193  1955   2500      0      0      0  20.640   0.055   0.003  20.742    22.931
    6          inf   1.0946e+10   1.0727e+12  12496   4194  1944   2500      0      1      0  53.393   0.055   0.004  53.518    76.448
    7          inf   1.0946e+10   1.5933e+12  14996   4200  1625   2500      0      6      0  70.938   0.055   0.002  71.068   147.516
    8          inf   1.0946e+10   1.4954e+12  17496   4203  1528   2500      0      3      0  85.780   0.056   0.002  85.909   233.426
    9          inf   1.0946e+10   1.3861e+12  18291   4201  1415   2500   1705      6      8  97.928   0.057   0.006  98.242   331.668
   10          inf   1.0946e+10   1.2669e+12  18807   4222  1313   2500   1984     21      0  94.360   0.060   0.007  94.598   426.266
   11          inf   1.0946e+10   1.1969e+12  19241   4230  1242   2500   2066      8      0  90.943   0.061   0.006  91.177   517.442
   12          inf   1.0946e+10   1.1108e+12  19452   4158  1150   2500   2289     10     82  84.745   0.050   0.002  85.039   602.482
   13          inf   1.0946e+10   1.0309e+12  19749   4168  1068   2500   2203     10      0  72.385   0.062   0.007  72.614   675.095
   14          inf   1.0946e+10   9.4013e+11  20096   4208   981   2500   2153     40      0  67.053   0.062   0.002  67.273   742.369
   15          inf   1.0946e+10   8.7090e+11  20376   4235   910   2500   2220     27      0  65.124   0.066   0.002  65.348   807.717
   16          inf   1.0946e+10   8.0232e+11  20614   4276   841   2500   2262     41      0  62.539   0.060   0.007  62.761   870.478
   17          inf   1.0946e+10   7.2592e+11  20907   4323   752   2500   2207     47      0  60.831   0.060   0.005  61.051   931.529
   18          inf   1.0946e+10   6.7164e+11  21165   4367   710   2500   2242     44      0  59.531   0.058   0.006  59.751   991.281
   19          inf   1.0946e+10   6.0885e+11  21438   3925   642   2500   2227     28    470  59.671   0.059   0.008  59.952  1051.233
   20          inf   1.0946e+10   5.4941e+11  21674   3973   582   2500   2264     53      5  21.231   0.061   0.007  21.486  1072.718
   21          inf   1.0946e+10   5.0284e+11  21781   4015   535   2500   2393     45      3  21.697   0.061   0.005  21.953  1094.672
   22          inf   1.0946e+10   4.4718e+11  21994   4058   468   2500   2287     55     12  20.751   0.055   0.008  21.000  1115.672
   23          inf   1.0946e+10   4.0120e+11  22094   4101   415   2500   2400     54     11  20.864   0.060   0.005  21.121  1136.793
   24          inf   1.0946e+10   3.5855e+11  22257   4147   392   2500   2337     50      4  21.109   0.063   0.003  21.366  1158.159
   25          inf   1.0946e+10   3.2293e+11  22385   4025   345   2500   2372     55    177  21.288   0.062   0.007  21.539  1179.698
   26          inf   1.0946e+10   2.8076e+11  22498   4083   294   2500   2387     84     26  11.394   0.063   0.004  11.640  1191.339
   27          inf   1.0946e+10   2.4148e+11  22607   4125   255   2500   2391     79     37  12.093   0.062   0.008  12.340  1203.679
   28          inf   1.0946e+10   2.0207e+11  22691   4139   212   2500   2416     74     60  12.806   0.051   0.004  13.045  1216.724
   29          inf   1.0946e+10   1.5862e+11  22810   4220   169   2500   2381    105     24  12.673   0.064   0.003  12.929  1229.653
   30          inf   1.0946e+10   1.2831e+11  22885   4253   135   2500   2425     65     32  14.554   0.064   0.004  14.808  1244.461
   31          inf   1.0946e+10   1.0046e+11  22982   4283   102   2500   2403     63     33  16.455   0.063   0.004  16.713  1261.174
   32          inf   1.0946e+10   7.3015e+10  23022   4324    76   2500   2460     71     30  16.672   0.064   0.003  16.932  1278.105
   33          inf   1.0946e+10   4.6720e+10  23102   4290    40   2500   2420     76    110  21.299   0.052   0.006  21.551  1299.656
   34          inf   1.0946e+10   2.0831e+10  23134   4323    10   2500   2468     76     43  13.885   0.060   0.005  14.140  1313.796
   35          inf   1.0946e+10   1.3392e+10  23142   4329     0   2500   2492     46     40  14.635   0.059   0.008  14.884  1328.680
   36          inf   1.0946e+10   1.3341e+10  23241   4338     0   2500   2401     42     33  13.718   0.047   0.009  13.954  1342.635
   37          inf   1.1130e+10   1.3304e+10  23384   4322     0   2500   2357     46     62  13.745   0.058   0.008  13.993  1356.628
   38          inf   1.1130e+10   1.3273e+10  23556   4324     0   2500   2328     41     39  13.822   0.057   0.008  14.077  1370.705
   39          inf   1.1130e+10   1.3243e+10  23566   4336     0   2500   2490     41     29  16.966   0.061   0.008  17.231  1387.935
   40          inf   1.1136e+10   1.3212e+10  23255   4337     0   2500   2811     50     49  21.578   0.056   0.009  21.842  1409.777
   41          inf   1.1141e+10   1.3179e+10  23153   4277     0   2500   2602     35     95  23.534   0.061   0.008  23.806  1433.583
   42          inf   1.1141e+10   1.3139e+10  23261   4234     0   2500   2392     51     94  22.127   0.061   0.009  22.396  1455.979
   43          inf   1.1252e+10   1.3109e+10  23392   4195     0   2500   2369     26     65  21.889   0.061   0.009  22.152  1478.130
