# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/planar/planar2500 --solver cuopt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 2500 vertices, 12990 arcs, 81430 commodities, 2500 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=2500, capped_arcs=12990)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   1.0946e+10   5.1139e+08   5000   2500  2500      0      0      0      0   0.393   0.100   0.002   0.496     0.496
    2          inf   1.0946e+10   5.1045e+09   5000   2500  2483      0      0      0      0   0.031   0.085   0.002   0.118     0.614
    3          inf   1.0946e+10   1.0946e+10   5000   4193     1      0      0   1693      0   0.029   0.090   0.031   0.150     0.764
    4          inf   1.0946e+10   2.1483e+10   7497   4193  1988   2497      0      0      0   1.899   0.048   0.002   1.987     2.750
    5          inf   1.0946e+10   2.0709e+10   9997   4193  1853   2500      0      0      0   2.787   0.063   0.003   2.887     5.638
    6          inf   1.0946e+10   1.9868e+10  12497   4193  1722   2500      0      0      0   3.847   0.064   0.004   3.947     9.585
    7          inf   1.0946e+10   1.9296e+10  14997   4196  1634   2500      0      3      0   5.136   0.057   0.005   5.229    14.814
    8          inf   1.0946e+10   1.8725e+10  17497   4197  1536   2500      0      1      0   6.572   0.061   0.006   6.671    21.485
    9          inf   1.0946e+10   1.8208e+10  18154   4202  1453   2500   1843      5      0   6.873   0.057   0.007   6.978    28.463
   10          inf   1.0946e+10   1.7771e+10  18771   4212  1372   2500   1883     10      0   6.997   0.058   0.007   7.106    35.568
   11          inf   1.0946e+10   1.7335e+10  19193   4218  1295   2500   2078      6      0   6.879   0.053   0.007   6.979    42.548
   12          inf   1.0946e+10   1.6866e+10  19555   4231  1196   2500   2138     13      0   6.503   0.060   0.008   6.617    49.165
   13          inf   1.0946e+10   1.6433e+10  19829   4244  1108   2499   2225     13      0   6.618   0.062   0.008   6.731    55.896
   14          inf   1.0946e+10   1.6044e+10  20242   4265  1019   2499   2086     21      0   6.756   0.059   0.009   6.864    62.761
   15          inf   1.0946e+10   1.5784e+10  20620   4287   964   2499   2121     22      0   6.545   0.052   0.010   6.651    69.412
   16          inf   1.0946e+10   1.5457e+10  20867   4324   893   2499   2252     37      0   6.925   0.061   0.010   7.039    76.451
   17          inf   1.0946e+10   1.5187e+10  21265   4348   823   2498   2100     24      0   7.351   0.053   0.010   7.457    83.908
   18          inf   1.0946e+10   1.4887e+10  21602   4375   754   2499   2162     27      0   6.711   0.050   0.010   6.817    90.724
   19          inf   1.0946e+10   1.4592e+10  21781   4412   687   2499   2320     37      0   7.251   0.061   0.010   7.370    98.095
   20          inf   1.0946e+10   1.4385e+10  21998   4456   628   2496   2279     44      0   7.349   0.054   0.010   7.457   105.551
   21          inf   1.0946e+10   1.4202e+10  22207   4506   570   2498   2289     50      0   7.473   0.060   0.011   7.589   113.141
   22          inf   1.0946e+10   1.4034e+10  22493   4532   527   2496   2210     26      0   7.633   0.049   0.010   7.740   120.881
   23          inf   1.0946e+10   1.3838e+10  23030   4594   456   2496   1959     62      0   7.403   0.061   0.011   7.520   128.400
   24          inf   1.0946e+10   1.3704e+10  23473   4635   409   2495   2052     41      0   7.965   0.059   0.010   8.080   136.481
   25          inf   1.0946e+10   1.3567e+10  23716   4683   350   2493   2250     48      0   7.987   0.061   0.011   8.104   144.584
   26          inf   1.0946e+10   1.3452e+10  24142   4727   307   2489   2063     44      0   8.499   0.062   0.011   8.619   153.203
   27          inf   1.0946e+10   1.3353e+10  25085   4782   265   2488   1545     55      0   8.634   0.060   0.011   8.751   161.954
