# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Austin_net.tntp.gz --solver copt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Austin_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Austin_trips.tntp.gz coef=6.0
Instance: 7388 vertices, 18961 arcs, 1081717 commodities, 1117 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1117, capped_arcs=18961)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   5.1777e+06   3.5219e+04   2234   1117  1117      0      0      0      0   0.257   0.194   0.002   0.453     0.453
    2          inf   5.1777e+06   3.3149e+05   2234   1117   959      0      0      0      0   0.085   0.186   0.002   0.273     0.726
    3          inf   5.1777e+06   2.1109e+06   2234   1117   447      0      0      0      0   0.081   0.184   0.004   0.269     0.995
    4          inf   5.1777e+06   5.1112e+06   2234   1589    12      0      0    472      0   0.061   0.186   0.007   0.254     1.249
    5          inf   5.1777e+06   8.7293e+06   3325   1589   592   1091      0      0      0   0.816   0.098   0.003   1.004     2.253
    6          inf   5.1777e+06   2.1695e+07   4440   1589   569   1115      0      0      0   1.351   0.097   0.005   1.539     3.792
    7          inf   5.1777e+06   4.9654e+07   5555   1592   444   1115      0      3      0   1.791   0.099   0.009   2.010     5.801
    8          inf   5.1777e+06   1.1894e+08   6670   1604   496   1115      0     12      0   2.357   0.101   0.011   2.611     8.412
    9          inf   5.1777e+06   2.3092e+08   7785   1609   396   1115      0      5      0   2.815   0.099   0.007   3.033    11.445
   10          inf   5.1777e+06   3.6340e+08   8674   1303   327   1115    226     75    381   3.347   0.102   0.023   3.657    15.102
   11          inf   5.1777e+06   8.6329e+08   9123   1347   282   1115    666     47      3   0.703   0.106   0.017   0.990    16.092
   12          inf   5.1777e+06   1.4277e+09   9787   1365   294   1117    453     27      9   0.927   0.099   0.017   1.232    17.324
   13          inf   5.1777e+06   2.4033e+09   9742   1389   238   1115   1160     24      0   0.949   0.105   0.006   1.211    18.535
   14          inf   5.1777e+06   3.9466e+09   9640   1431   295   1115   1217     51      9   1.078   0.097   0.020   1.368    19.902
   15          inf   5.1777e+06   7.3000e+09   9848   1478   205   1115    907     52      5   1.295   0.104   0.005   1.581    21.484
   16          inf   5.1777e+06   1.0859e+10   9978   1441   168   1117    987     21     58   1.707   0.110   0.005   2.011    23.495
   17          inf   5.1777e+06   1.6069e+10   9903   1463   131   1117   1192     40     18   1.468   0.095   0.023   1.755    25.250
   18          inf   5.1777e+06   1.4746e+10   9811   1471    81   1116   1208     25     17   1.470   0.100   0.019   1.761    27.011
   19          inf   5.1777e+06   6.7188e+09   9847   1575   118   1115   1079    121     17   1.584   0.099   0.017   1.883    28.894
   20          inf   5.1777e+06   6.1527e+09   9856   1572    46   1116   1107     22     25   2.131   0.100   0.005   2.418    31.312
   21          inf   5.1777e+06   5.7323e+09  10049   1570    74   1115    922     21     23   2.099   0.105   0.005   2.398    33.711
   22          inf   5.1777e+06   2.1811e+09  10323   1607    22   1117    843     48     11   2.012   0.105   0.013   2.335    36.046
   23          inf   5.1777e+06   2.3833e+09  10340   1593    25   1117   1100     15     29   2.330   0.103   0.020   2.650    38.696
   24          inf   5.1777e+06   2.9749e+09  10349   1522    21   1117   1108      1     72   2.218   0.098   0.021   2.528    41.224
   25          inf   5.1777e+06   2.6187e+08  10299   1549    11   1115   1165    109     82   1.674   0.103   0.020   1.981    43.205
   26          inf   5.1777e+06   4.5048e+08  10120   1550    13   1117   1296     18     17   2.248   0.110   0.005   2.543    45.748
   27          inf   5.1777e+06   6.4208e+08  10180   1555     9   1117   1057     22     17   2.291   0.101   0.019   2.592    48.339
   28          inf   5.1777e+06   6.8385e+08  10129   1556     8   1115   1166     18     17   2.053   0.114   0.006   2.357    50.696
