# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Austin_net.tntp.gz --solver cuopt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Austin_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Austin_trips.tntp.gz coef=6.0
Instance: 7388 vertices, 18961 arcs, 1081717 commodities, 1117 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1117, capped_arcs=18961)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   5.1777e+06   3.5272e+04   2234   1117  1117      0      0      0      0   0.365   0.185   0.005   0.555     0.555
    2          inf   5.1777e+06   3.3149e+05   2234   1117   960      0      0      0      0   0.025   0.181   0.005   0.212     0.767
    3          inf   5.1777e+06   2.1109e+06   2234   1117   450      0      0      0      0   0.029   0.181   0.005   0.215     0.982
    4          inf   5.1777e+06   5.1112e+06   2234   1589    12      0      0    472      0   0.026   0.182   0.012   0.221     1.203
    5          inf   5.1777e+06   8.7612e+06   3328   1589   592   1094      0      0      0   0.376   0.097   0.005   0.589     1.792
    6          inf   5.1777e+06   2.1715e+07   4443   1589   562   1115      0      0      0   0.575   0.098   0.007   0.785     2.577
    7          inf   5.1777e+06   5.0130e+07   5558   1592   445   1115      0      3      0   0.901   0.102   0.010   1.121     3.698
    8          inf   5.1777e+06   1.0426e+08   6673   1630   494   1115      0     38      0   1.393   0.097   0.015   1.628     5.326
    9          inf   5.1777e+06   2.5092e+08   7788   1635   402   1115      0      5      0   2.260   0.091   0.015   2.472     7.798
   10          inf   5.1777e+06   4.3703e+08   8873   1622   271   1115     30      2     15   2.621   0.095   0.018   2.889    10.688
   11          inf   5.1777e+06   4.3644e+08   9900   1662   192   1117     90     40      0   3.597   0.095   0.021   3.885    14.572
   12          inf   5.1777e+06   4.5601e+08  10813   1668    97   1117    204      6      0   3.514   0.103   0.026   3.842    18.415
   13          inf   5.1777e+06   3.7726e+08  10996   1708    68   1117    934     40      0   4.111   0.094   0.030   4.384    22.799
   14          inf   5.1777e+06   2.9579e+08  11259   1743    32   1116    853     35      0   4.455   0.096   0.028   4.732    27.530
   15          inf   5.1777e+06   2.6455e+08  11602   1762    28   1115    772     19      0   4.577   0.096   0.027   4.857    32.387
   16          inf   5.1777e+06   1.9478e+08  11880   1797    22   1117    839     35      0   3.998   0.095   0.031   4.279    36.666
   17          inf   5.1777e+06   2.0224e+08  11950   1800    21   1115   1045      3      0   4.835   0.093   0.027   5.116    41.782
