# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Barcelona_net.tntp.gz --solver cuopt --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Barcelona_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Barcelona_trips.tntp.gz coef=5050.0
Instance: 1020 vertices, 2522 arcs, 7922 commodities, 97 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=7922, capped_arcs=2522)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   2.3750e+02   2.3756e+02   8052   8052     0      0      0    130      0   0.425   0.002   0.002   0.429     0.429
    2          inf   2.3750e+02   4.3230e+03  13407   8052   130   5355      0      0      0   0.260   0.001   0.000   0.264     0.694
    3          inf   2.3872e+02   2.4631e+02  16269   8130     0   2784      0     78      0   0.142   0.001   0.002   0.147     0.841
    4          inf   2.3872e+02   2.8812e+02  19699   8136     5   3424      0      6      0   0.227   0.001   0.001   0.232     1.073
    5          inf   2.4171e+02   2.4461e+02  22223   8137     0   2523      0      1      0   0.250   0.001   0.000   0.253     1.326
    6          inf   2.4298e+02   2.4391e+02  23616   8141     0   1389      0      4      0   0.265   0.001   0.001   0.268     1.595
    7   2.4360e+02   2.4335e+02   2.4360e+02  24244   8141     0    628      0      0      0   0.277   0.001   0.001   0.279     1.874
    8   2.4352e+02   2.4340e+02   2.4352e+02  20835   8071     0    154   3493      0     70   0.299   0.001   0.000   0.305     2.179
    9   2.4352e+02   2.4344e+02   2.4351e+02  18296   8032     0     36   2536      1     40   0.210   0.001   0.000   0.215     2.394
   10   2.4351e+02   2.4344e+02   2.4351e+02  14581   8024     0     14   3721      0      8   0.205   0.001   0.000   0.210     2.604
   11   2.4351e+02   2.4344e+02   2.4351e+02  12340   8023     0     56   2296      2      3   0.181   0.001   0.000   0.185     2.789
   12   2.4351e+02   2.4344e+02   2.4351e+02  11332   8016     0      8   1009      0      7   0.202   0.001   0.000   0.206     2.995
   13   2.4351e+02   2.4344e+02   2.4351e+02  11139   8014     0    161    352      0      2   0.151   0.001   0.000   0.155     3.150
   14   2.4351e+02   2.4345e+02   2.4351e+02  10967   8011     0      1    170      0      3   0.174   0.001   0.000   0.178     3.327
   15   2.4351e+02   2.4345e+02   2.4351e+02  10774   8011     0      8    201      0      0   0.143   0.001   0.000   0.146     3.473
   16   2.4351e+02   2.4345e+02   2.4351e+02  10751   8011     0     60     83      0      0   0.139   0.001   0.000   0.142     3.615
   17   2.4351e+02   2.4345e+02   2.4351e+02  10884   8011     0    213     80      0      0   0.158   0.001   0.000   0.160     3.776
   18   2.4351e+02   2.4345e+02   2.4351e+02  10363   8011     0     56    577      0      0   0.142   0.001   0.000   0.145     3.921
   19   2.4351e+02   2.4345e+02   2.4711e+02  11412   8011     1   1207    158      0      0   0.143   0.001   0.000   0.147     4.068
   20   2.4351e+02   2.4345e+02   2.4351e+02  11435   8011     0     24      1      0      0   0.148   0.001   0.000   0.151     4.218
   21   2.4351e+02   2.4345e+02   2.4351e+02  11428   8011     0      1      8      0      0   0.151   0.001   0.000   0.153     4.372
   22   2.4351e+02   2.4345e+02   2.4351e+02  10974   8011     0     15    469      0      0   0.164   0.001   0.000   0.167     4.539
   23   2.4342e+02   2.4345e+02   2.4342e+02  10902   8011     0    119    191      0      0  19.873   0.001   0.000  19.876    24.415
   24   2.4342e+02   2.4345e+02   2.4351e+02  10906   8011     0     60     56      0      0   0.147   0.001   0.000   0.150    24.564
   25   2.4342e+02   2.4345e+02   2.4351e+02  10265   8011     0     56    697      0      0   0.149   0.001   0.000   0.152    24.716
   26   2.4342e+02   2.4345e+02   2.4351e+02  10379   8011     0    137     23      0      0   0.137   0.001   0.000   0.140    24.856
   27   2.4342e+02   2.4345e+02   2.4351e+02  10379   8011     0      0      0      0      0   0.137   0.002   0.000   0.139    24.995
CG optimal after 27 iterations. UB=243.505780 LB=243.448207 gap=5.757e-02 tol=2.435e-02  t_LP=24.900  t_PR=0.039  t_SP=0.014  t_Tot=25.004

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Barcelona_net.tntp.gz,path,27,10290,243.505780,243.448207,1,25.013,24.900,0.039,0.014
