# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz --solver cuopt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_trips.tntp.gz coef=0.5
Instance: 12981 vertices, 28376 arcs, 49688 commodities, 865 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=865, capped_arcs=28376)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   2.6118e+07   2.6020e+05   1730    865   853      0      0      0      0   0.361   0.067   0.003   0.430     0.430
    2          inf   2.6118e+07   2.4449e+06   1730    865   754      0      0      0      0   0.030   0.054   0.003   0.087     0.518
    3          inf   2.6118e+07   1.5789e+07   1730    891   306      0      0     26      0   0.031   0.052   0.003   0.086     0.604
    4          inf   2.6118e+07   4.0367e+07   2184   1138   236    454      0    247      0   0.084   0.028   0.003   0.121     0.724
    5          inf   2.6118e+07   1.0216e+08   2896   1185   377    712      0     47      0   0.329   0.038   0.003   0.379     1.103
    6          inf   2.6118e+07   2.3543e+08   3626   1256   293    754     24     71      0   0.605   0.042   0.004   0.661     1.764
    7          inf   2.6118e+07   3.1840e+08   4386   1313   228    760      0     57      0   0.954   0.045   0.004   1.010     2.774
    8          inf   2.6118e+07   2.4349e+08   5139   1366   136    753      0     53      0   1.044   0.036   0.004   1.093     3.866
    9          inf   2.6118e+07   1.5936e+08   5866   1411    46    753     26     45      0   1.757   0.050   0.004   1.824     5.690
   10          inf   2.6118e+07   8.3941e+07   6452   1472    22    731    145     61      0   1.318   0.050   0.005   1.386     7.076
   11          inf   2.6118e+07   7.1058e+07   6986   1498    13    727    193     26      0   1.658   0.056   0.005   1.732     8.808
   12          inf   2.6118e+07   3.5712e+07   7439   1522     1    711    258     24      0   1.539   0.046   0.005   1.605    10.412
   13          inf   2.6118e+07   4.4395e+07   7899   1557     6    713    253     35      0   1.626   0.048   0.006   1.694    12.106
   14          inf   2.6221e+07   2.8213e+07   8373   1570     0    701    227     13      0   1.194   0.049   0.005   1.263    13.369
   15          inf   2.6221e+07   2.8248e+07   8754   1578     0    674    293      8      0   2.230   0.046   0.005   2.296    15.665
   16          inf   2.7064e+07   2.7970e+07   8971   1579     0    637    420      1      0   1.126   0.047   0.006   1.193    16.858
   17          inf   2.7064e+07   2.7833e+07   9087   1575     0    660    544      1      5   1.103   0.046   0.006   1.172    18.030
   18   2.7705e+07   2.7178e+07   2.7705e+07   9429   1574     0    620    278      0      1   1.012   0.049   0.006   1.083    19.112
   19   2.7651e+07   2.7320e+07   2.7651e+07   9358   1557     0    553    624      0     17   1.079   0.046   0.006   1.147    20.260
   20   2.7651e+07   2.7367e+07   2.7617e+07   9641   1558     0    555    272      2      1   0.966   0.048   0.006   1.036    21.295
   21   2.7651e+07   2.7442e+07   2.7591e+07   9930   1545     0    533    244      1     14   0.957   0.047   0.006   1.026    22.321
   22   2.7651e+07   2.7442e+07   2.7571e+07  10192   1502     0    470    208      2     45   0.981   0.047   0.006   1.050    23.371
   23   2.7559e+07   2.7479e+07   2.7559e+07  10493   1501     0    430    129      0      1   0.950   0.047   0.006   1.018    24.390
   24   2.7551e+07   2.7487e+07   2.7551e+07  10181   1499     0    401    713      0      2   1.030   0.045   0.006   1.097    25.486
   25   2.7551e+07   2.7497e+07   2.7543e+07  10529   1491     0    422     74      1      9   0.969   0.047   0.006   1.037    26.524
   26   2.7551e+07   2.7506e+07   2.7536e+07  10836   1492     0    387     80      1      0   0.974   0.047   0.006   1.041    27.565
   27   2.7534e+07   2.7515e+07   2.7534e+07  11124   1492     0    348     60      0      0   0.974   0.047   0.006   1.041    28.606
   28   2.7532e+07   2.7522e+07   2.7532e+07  11399   1489     0    322     47      0      3   0.975   0.047   0.006   1.045    29.651
   29   2.7531e+07   2.7523e+07   2.7531e+07  11695   1489     0    309     13      0      0   1.065   0.046   0.006   1.132    30.783
   30   2.7530e+07   2.7525e+07   2.7530e+07  11956   1489     0    265      4      0      0   0.892   0.047   0.007   0.961    31.744
   31   2.7530e+07   2.7526e+07   2.7530e+07  12146   1489     0    248     58      0      0   0.851   0.040   0.005   0.912    32.656
   32   2.7530e+07   2.7527e+07   2.7530e+07  12352   1489     0    217     11      0      0   1.112   0.047   0.005   1.180    33.836
   33   2.7530e+07   2.7527e+07   2.7530e+07  12352   1489     0   *205      0      0      0   1.081   0.045   0.006   1.132    34.968
CG optimal after 33 iterations. UB=27529536.615990 LB=27526946.743725 gap=2.590e+03 tol=2.753e+03  t_LP=32.858  t_PR=1.587  t_SP=0.169  t_Tot=35.016

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz,tree,33,11487,27529536.615990,27526946.743725,1,35.036,32.858,1.587,0.169
