# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz --solver cuopt --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Birmingham_trips.tntp.gz coef=0.9
Instance: 14639 vertices, 33937 arcs, 471637 commodities, 898 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=471637, capped_arcs=33937)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   2.1008e+05   2.1247e+05 473079 473079     0      0      0   1442      0   3.090   0.185   0.262   3.540     3.540
    2          inf   2.1008e+05   2.2151e+06 523079 473079  1435  50000      0      0      0  11.316   0.216   0.011  11.692    15.232
    3          inf   2.1008e+05   8.1881e+06 573694 473694   976  50000      0    615      0  20.811   0.171   0.137  21.233    36.465
    4          inf   2.1008e+05   1.8992e+07 623992 473992   864  50000      0    298      0  52.487   0.180   0.051  52.819    89.284
    5          inf   2.1008e+05   4.6098e+07 674118 474118   688  50000      0    126      0  75.397   0.173   0.034  75.706   164.990
    6          inf   2.1008e+05   1.3588e+07 724221 474221   384  50000      0    103      0  76.097   0.168   0.035  76.434   241.424
    7          inf   2.1008e+05   2.0238e+06 774301 474301   179  50000      0     82      2  64.725   0.168   0.032  65.127   306.552
    8          inf   2.1008e+05   2.7213e+05 801265 473983     9  50000  22718     21    339  81.514   0.166   0.028  82.061   388.613
    9          inf   2.1008e+05   2.2011e+05 835334 473546     0  50000  15494     26    463  53.175   0.164   0.029  53.727   442.340
   10          inf   2.1008e+05   2.1761e+05 870629 473261     0  50000  14420     38    323  57.248   0.160   0.035  57.815   500.155
   11          inf   2.1133e+05   2.3431e+05 905427 473028     0  50000  14969     34    267  44.772   0.145   0.033  45.306   545.461
   12          inf   2.1230e+05   2.1802e+05 923613 472848     0  50000  31634     38    218  41.399   0.144   0.033  41.957   587.417
   13          inf   2.1282e+05   2.2109e+05 870365 472753     0  50000 103153     48    143  27.809   0.130   0.032  28.367   615.784
   14          inf   2.1302e+05   2.2039e+05 849235 472691     0  50000  71068     37     99  28.912   0.129   0.041  29.451   645.235
   15          inf   2.1331e+05   2.2176e+05 837101 472677     0  50000  62120     38     52  25.739   0.118   0.027  26.242   671.477
   16          inf   2.1340e+05   2.2278e+05 828983 472660     0  50000  58101     22     39  20.218   0.107   0.028  20.702   692.179
   17          inf   2.1353e+05   2.1709e+05 824036 472636     0  48664  53587     22     46  21.301   0.092   0.028  21.759   713.938
   18          inf   2.1358e+05   2.1671e+05 787560 472628     0  11936  48404     31     39  24.560   0.093   0.032  24.967   738.906
   19          inf   2.1359e+05   2.1589e+05 746600 472610     0   2440  43382      7     25  21.416   0.091   0.027  21.789   760.695
   20          inf   2.1360e+05   2.1858e+05 697878 472594     0    303  49009      3     19  19.511   0.092   0.029  19.873   780.568
   21          inf   2.1360e+05   2.1601e+05 658197 472563     0    351  40001      1     32  18.908   0.093   0.026  19.244   799.812
   22          inf   2.1360e+05   2.1856e+05 617774 472538     0     48  40446      2     27  14.744   0.095   0.029  15.072   814.884
   23          inf   2.1360e+05   2.1599e+05 582532 472525     0      7  35236      1     14  14.312   0.098   0.026  14.626   829.510
   24          inf   2.1360e+05   2.1565e+05 569346 472514     0    317  13492      5     16  13.467   0.100   0.024  13.758   843.267
   25          inf   2.1360e+05   2.1565e+05 561333 472506     0    554   8559      3     11  14.158   0.098   0.023  14.438   857.705
   26          inf   2.1360e+05   2.1565e+05 560635 472498     0      3    693      5     13  14.468   0.100   0.023  14.741   872.446
   27          inf   2.1360e+05   2.1567e+05 562156 472508    19   1511      0     12      2  11.071   0.096   0.026  11.255   883.701
   28          inf   2.1360e+05   2.1567e+05 562195 472508     1     39      0      2      2  11.248   0.101   0.023  11.431   895.132
   29          inf   2.1360e+05   2.1566e+05 562197 472510     0      0      0      2      0  15.996   0.191   0.023  16.220   911.352
   30   2.1566e+05   2.1360e+05   2.1566e+05 562194 472505     0      2      0      0      5  12.226   0.096   0.016  12.403   923.755
   31   2.1566e+05   2.1360e+05   2.1566e+05 562198 472509     0      0      0      4      0  11.992   0.186   0.023  12.210   935.965
   32   2.1566e+05   2.1360e+05   2.1567e+05 562205 472507     1      9      0      0      2  12.188   0.096   0.016  12.365   948.331
   33   2.1566e+05   2.1360e+05   2.1567e+05 562206 472507     0      1      0      2      2  10.960   0.096   0.024  11.139   959.470
   34   2.1566e+05   2.1360e+05   2.1567e+05 562207 472508     0      0      0      1      0  11.308   0.184   0.024  11.527   970.997
   35   2.1566e+05   2.1360e+05   2.1567e+05 562207 472508     0      0      0      0      0  12.634   0.185   0.017  12.845   983.842
CG optimal after 35 iterations. UB=215667.401617 LB=213600.413494 gap=2.067e+03 tol=2.157e+01  t_LP=971.177  t_PR=5.615  t_SP=1.307  t_Tot=984.756

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz,path,35,561336,215667.401617,213600.413494,1,985.002,971.177,5.615,1.307
