# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz --solver copt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Birmingham_trips.tntp.gz coef=0.9
Instance: 14639 vertices, 33937 arcs, 471637 commodities, 898 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=898, capped_arcs=33937)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   2.1008e+05   1.8318e+03   1796    898   898      0      0      0      0   0.262   0.194   0.003   0.458     0.458
    2          inf   2.1008e+05   1.8243e+04   1796    898   886      0      0      0      0   0.083   0.186   0.003   0.272     0.729
    3          inf   2.1008e+05   1.1672e+05   1796   1216   246      0      0    318      0   0.075   0.186   0.006   0.266     0.996
    4          inf   2.1008e+05   2.3860e+05   2680   1456   360    884      0    240      0   0.204   0.100   0.006   0.392     1.388
    5          inf   2.1008e+05   5.7122e+05   3578   1509   452    898      0     53      0   0.457   0.099   0.005   0.646     2.033
    6          inf   2.1008e+05   1.3369e+06   4470   1650   347    898      6    141      0   0.618   0.099   0.009   0.865     2.898
    7          inf   2.1008e+05   2.4450e+06   5368   1790   310    898      0    140      0   0.973   0.098   0.015   1.196     4.094
    8          inf   2.1008e+05   3.9275e+06   6266   1963   242    898      0    173      0   1.469   0.099   0.019   1.702     5.796
    9          inf   2.1008e+05   5.7797e+06   7055   2136   185    898    109    275    102   2.315   0.102   0.029   2.656     8.452
   10          inf   2.1008e+05   4.7608e+06   7358   2214   137    898    595    154     76   3.634   0.113   0.017   3.976    12.429
   11          inf   2.1008e+05   3.6701e+06   7747   2338    88    898    509    152     28   4.288   0.103   0.016   4.630    17.059
   12          inf   2.1008e+05   1.0443e+06   8011   2515    35    898    634    227     50  20.524   0.115   0.023  20.894    37.953
   13          inf   2.1008e+05   2.2065e+05   8288   2567     0    898    621    102     50  38.364   0.103   0.023  38.732    76.685
   14          inf   2.1008e+05   2.1938e+05   8639   2526     0    898    547     41     82  42.068   0.098   0.024  42.433   119.118
   15          inf   2.1008e+05   2.1849e+05   8913   2425     0    898    624     20    121  41.086   0.099   0.023  41.448   160.566
   16          inf   2.1093e+05   2.1768e+05   9083   2415     0    898    728     54     64  32.013   0.097   0.026  32.376   192.942
