# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz --solver cuopt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Birmingham_trips.tntp.gz coef=0.9
Instance: 14639 vertices, 33937 arcs, 471637 commodities, 898 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=898, capped_arcs=33937)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   2.1008e+05   1.8322e+03   1796    898   898      0      0      0      0   0.357   0.200   0.005   0.563     0.563
    2          inf   2.1008e+05   1.8243e+04   1796    898   886      0      0      0      0   0.024   0.195   0.006   0.225     0.787
    3          inf   2.1008e+05   1.1672e+05   1796   1216   247      0      0    318      0   0.024   0.195   0.008   0.227     1.015
    4          inf   2.1008e+05   2.3862e+05   2680   1460   359    884      0    244      0   0.165   0.107   0.007   0.388     1.403
    5          inf   2.1008e+05   5.7105e+05   3578   1512   451    898      0     52      0   0.256   0.106   0.008   0.476     1.879
    6          inf   2.1008e+05   1.3365e+06   4471   1653   348    898      5    141      0   0.457   0.107   0.012   0.705     2.583
    7          inf   2.1008e+05   2.4362e+06   5369   1806   302    898      0    153      0   0.681   0.106   0.015   0.909     3.492
    8          inf   2.1008e+05   3.9476e+06   6267   1964   260    898      0    158      0   1.073   0.105   0.017   1.284     4.776
    9          inf   2.1008e+05   5.8452e+06   7077   2090   198    898     88    209     83   1.751   0.105   0.023   2.031     6.807
   10          inf   2.1008e+05   3.3423e+06   7589   2236   131    898    386    210     64   2.665   0.104   0.025   2.944     9.751
   11          inf   2.1008e+05   3.7702e+06   8124   2332    96    898    363    106     10   2.716   0.103   0.023   2.985    12.736
   12          inf   2.1008e+05   1.5748e+06   8434   2480    28    898    588    176     28   3.086   0.103   0.027   3.364    16.100
   13          inf   2.1008e+05   2.2068e+05   8968   2519     0    898    364     81     42   3.878   0.101   0.025   4.159    20.259
   14          inf   2.1008e+05   2.1945e+05   9715   2532     0    898    151     54     41   3.352   0.100   0.027   3.636    23.894
   15          inf   2.1008e+05   2.1853e+05  10483   2481     0    898    130     12     63   3.076   0.100   0.026   3.378    27.272
   16          inf   2.1083e+05   2.1788e+05  11234   2415     0    898    147     10     76   3.016   0.098   0.030   3.319    30.591
   17          inf   2.1137e+05   2.1737e+05  11936   2339     0    898    196     28    104   3.051   0.096   0.031   3.358    33.949
   18          inf   2.1191e+05   2.1690e+05  12499   2186     0    898    335     11    164   3.147   0.095   0.031   3.456    37.405
   19          inf   2.1217e+05   2.1653e+05  13135   2088     0    898    262     20    118   2.835   0.097   0.032   3.151    40.557
   20          inf   2.1265e+05   2.1634e+05  13850   2041     0    897    182     10     57   2.598   0.098   0.035   2.929    43.485
