# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz --solver cuopt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_trips.tntp.gz coef=4.1
Instance: 12982 vertices, 39018 arcs, 2297945 commodities, 1771 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1771, capped_arcs=39018)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   5.4984e+06   2.1137e+04   3542   1771  1757      0      0      0      0   0.410   0.418   0.009   0.837     0.837
    2          inf   5.4984e+06   2.0847e+05   3542   1771  1717      0      0      0      0   0.027   0.423   0.010   0.459     1.296
    3          inf   5.4984e+06   1.8320e+06   3542   1771  1324      0      0      0      0   0.032   0.409   0.010   0.451     1.747
    4          inf   5.4984e+06   5.3729e+06   3542   2014    32      0      0    243      0   0.028   0.425   0.014   0.466     2.213
    5          inf   5.4984e+06   7.6852e+06   5302   2025   563   1760      0     11      0   0.250   0.216   0.009   0.755     2.968
    6          inf   5.4984e+06   1.6048e+07   7061   2028   592   1759      0      3      0   0.342   0.212   0.015   0.843     3.811
    7          inf   5.4984e+06   2.6499e+07   8819   2031   523   1758      0      3      0   0.617   0.208   0.022   1.106     4.917
    8          inf   5.4984e+06   4.0753e+07  10580   2058   319   1761      0     27      0   0.964   0.207   0.027   1.450     6.367
    9          inf   5.4984e+06   5.3751e+07  12341   2068   309   1761      0     10      0   1.329   0.205   0.035   1.848     8.214
   10          inf   5.4984e+06   5.4104e+07  14035   2073   180   1760     66     16     11   2.096   0.203   0.038   2.709    10.923
   11          inf   5.4984e+06   1.8621e+07  15335   2119    71   1757    457     46      0   2.806   0.207   0.046   3.404    14.327
   12          inf   5.4984e+06   1.1501e+07  16623   2131    32   1760    472     13      1   2.425   0.208   0.048   3.034    17.361
   13          inf   5.4984e+06   5.5345e+06  18270   2136     0   1757    110      5      0   1.752   0.208   0.057   2.391    19.752
   14          inf   5.4984e+06   5.5280e+06  19935   2141     0   1754     89      5      0   1.219   0.212   0.056   1.928    21.680
   15          inf   5.4984e+06   5.5239e+06  21623   2143     0   1746     58      2      0   1.263   0.207   0.061   1.975    23.655
   16          inf   5.5043e+06   5.5204e+06  23256   2110     0   1738    105      2     35   1.318   0.208   0.066   2.049    25.704
