# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Sydney_net.tntp.gz --solver cuopt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Sydney_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Sydney_trips.tntp.gz coef=1.9
Instance: 33113 vertices, 75379 arcs, 3343560 commodities, 3257 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=3257, capped_arcs=75379)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   4.9542e+06   1.5043e+05   6514   3257  3042      0      0      0      0   0.486   1.590   0.023   2.099     2.099
    2          inf   4.9542e+06   1.2093e+06   6514   3257  2029      0      0      0      0   0.038   1.575   0.024   1.636     3.735
    3          inf   4.9542e+06   4.6463e+06   6514   3477    94      0      0    220      0   0.038   1.564   0.029   1.631     5.366
    4          inf   4.9542e+06   5.5264e+06   9757   3482   702   3243      0      5      0   0.289   0.821   0.024   1.984     7.351
    5          inf   4.9542e+06   5.8190e+06  13011   3497   724   3254      0     15      0   0.418   0.803   0.039   2.097     9.448
    6          inf   4.9542e+06   5.6737e+06  16263   3543   230   3252      0     46      0   0.561   0.807   0.057   2.272    11.720
    7          inf   4.9542e+06   5.4936e+06  19503   3593    25   3240      0     50      0   0.918   0.819   0.076   2.650    14.370
    8          inf   4.9542e+06   4.9880e+06  22745   3605     1   3242      0     12      0   1.241   0.813   0.090   3.011    17.381
    9          inf   4.9542e+06   4.9794e+06  25957   3521     0   3226     14      4     88   1.113   0.812   0.103   3.143    20.524
   10   4.9733e+06   4.9612e+06   4.9733e+06  29131   3520     0   3188     14      0      1   0.998   0.838   0.124   3.115    23.638
   11   4.9711e+06   4.9641e+06   4.9711e+06  32108   3512     0   3142    165      0      8   1.061   0.854   0.139   3.257    26.895
   12   4.9711e+06   4.9652e+06   4.9699e+06  34881   3470     0   3115    342      1     43   1.131   0.905   0.149   3.341    30.236
   13   4.9711e+06   4.9655e+06   4.9691e+06  37582   3428     0   3095    394      2     44   1.032   0.892   0.153   3.285    33.521
   14   4.9688e+06   4.9661e+06   4.9688e+06  37456   3410     0   2888   3014      0     18   0.617   0.869   0.171   2.730    36.251
   15   4.9685e+06   4.9661e+06   4.9685e+06  38566   3398     0   2788   1678      0     12   0.531   0.890   0.165   2.652    38.903
   16   4.9683e+06   4.9664e+06   4.9683e+06  39924   3395     0   2339    981      0      3   0.582   0.857   0.168   2.645    41.547
   17   4.9683e+06   4.9664e+06   4.9683e+06  41613   3392     0   2138    449      0      3   0.592   0.865   0.178   2.739    44.287
   18   4.9682e+06   4.9664e+06   4.9682e+06  41677   3390     0   1834   1770      0      2   0.601   0.878   0.186   2.596    46.883
   19   4.9682e+06   4.9664e+06   4.9682e+06  42533   3389     0   1153    297      0      1   0.569   0.850   0.186   2.518    49.401
   20   4.9682e+06   4.9665e+06   4.9682e+06  41951   3386     0    621   1203      0      3   0.608   0.828   0.193   2.310    51.712
   21   4.9682e+06   4.9665e+06   4.9682e+06  38003   3386     0    227   4175      0      0   0.559   0.844   0.191   2.317    54.029
   22   4.9682e+06   4.9665e+06   4.9682e+06  37924   3385     0    112    191      0      1   0.516   0.847   0.172   2.017    56.046
   23   4.9682e+06   4.9665e+06   4.9682e+06  37776   3385     0     21    169      0      0   0.467   0.787   0.178   1.909    57.954
   24   4.9682e+06   4.9665e+06   4.9682e+06  37777   3383     0      2      1      0      2   0.486   0.784   0.167   1.893    59.847
   25   4.9682e+06   4.9665e+06   4.9682e+06  37778   3383     0      1      0      0      0   0.476   0.788   0.123   1.389    61.236
   26   4.9682e+06   4.9665e+06   4.9682e+06  37778   3383     0      0      0      0      0   0.480   1.694   0.125   2.298    63.535
CG optimal after 26 iterations. UB=4968211.837680 LB=4966458.292337 gap=1.754e+03 tol=4.968e+02  t_LP=16.410  t_PR=26.557  t_SP=3.232  t_Tot=65.220

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Sydney_net.tntp.gz,tree,26,34521,4968211.837680,4966458.292337,1,65.765,16.410,26.557,3.232
