# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Winnipeg_net.tntp.gz --solver cuopt --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Winnipeg_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Winnipeg_trips.tntp.gz coef=2000.0
Instance: 1052 vertices, 2836 arcs, 4345 commodities, 135 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=135, capped_arcs=2836)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   3.9643e+02   3.7371e+02    270    270     6      0      0    135      0   0.355   0.002   0.000   0.357     0.357
    2          inf   3.9643e+02   6.0255e+02    386    278    42    116      0      8      0   0.052   0.001   0.000   0.054     0.411
    3          inf   3.9643e+02   1.5717e+03    507    280    51    121      0      2      0   0.061   0.001   0.000   0.063     0.474
    4          inf   3.9643e+02   1.5637e+03    622    332    28    115      0     52      0   0.068   0.001   0.000   0.070     0.545
    5          inf   3.9643e+02   2.7107e+03    746    337    30    124      0      5      0   0.075   0.001   0.000   0.078     0.622
    6          inf   3.9643e+02   1.6720e+03    873    361    16    127      0     24      0   0.080   0.001   0.000   0.082     0.705
    7          inf   3.9643e+02   3.0869e+03    993    308    16    129      9     14     67   0.100   0.001   0.000   0.104     0.808
    8          inf   3.9643e+02   5.6455e+02   1080    349     1    126     39     55     14   0.101   0.001   0.001   0.104     0.913
    9          inf   3.9643e+02   2.0139e+03   1143    352     9    128     65      4      1   0.108   0.001   0.000   0.111     1.024
   10          inf   3.9643e+02   9.9180e+02   1185    335     1    126     84     13     30   0.095   0.001   0.001   0.099     1.123
   11          inf   3.9643e+02   4.5648e+02   1226    334     0    123     82      1      2   0.101   0.001   0.000   0.105     1.227
   12          inf   3.9643e+02   4.4743e+02   1260    332     0    121     87     10     12   0.090   0.001   0.001   0.094     1.321
   13          inf   4.0153e+02   4.3993e+02   1303    323     0    119     76      2     11   0.089   0.001   0.000   0.092     1.413
   14          inf   4.0153e+02   4.3251e+02   1290    297     0    118    131     10     36   0.083   0.001   0.001   0.087     1.500
   15          inf   4.0153e+02   4.2895e+02   1293    298     0    118    115      5      4   0.080   0.001   0.000   0.083     1.583
   16   4.2681e+02   4.0153e+02   4.2681e+02   1249    286     0    115    159      0     12   0.082   0.001   0.000   0.085     1.668
   17   4.2681e+02   4.1517e+02   4.2571e+02   1202    279     0    111    158      1      8   0.082   0.001   0.001   0.086     1.754
   18   4.2428e+02   4.1517e+02   4.2428e+02   1168    269     0    112    146      0     10   0.073   0.001   0.001   0.076     1.830
   19   4.2318e+02   4.1623e+02   4.2318e+02   1157    263     0    104    115      0      6   0.071   0.001   0.000   0.074     1.905
   20   4.2318e+02   4.1750e+02   4.2226e+02   1145    263     0    101    113      2      2   0.070   0.001   0.000   0.074     1.978
   21   4.2318e+02   4.1811e+02   4.2161e+02   1116    256     0     92    121      1      8   0.071   0.001   0.000   0.074     2.052
   22   4.2318e+02   4.1914e+02   4.2116e+02   1093    255     0     87    110      1      2   0.066   0.001   0.000   0.069     2.121
   23   4.2318e+02   4.1914e+02   4.2079e+02   1108    251     0     90     75      1      5   0.069   0.001   0.000   0.072     2.193
   24   4.2068e+02   4.1914e+02   4.2068e+02   1098    251     0     74     84      0      0   0.065   0.001   0.000   0.068     2.261
   25   4.2063e+02   4.1945e+02   4.2063e+02   1059    243     0     68    107      0      8   0.069   0.001   0.000   0.072     2.333
   26   4.2063e+02   4.1956e+02   4.2045e+02   1057    243     0     70     72      1      1   0.064   0.001   0.000   0.067     2.400
   27   4.2035e+02   4.1975e+02   4.2035e+02   1064    243     0     64     57      0      0   0.065   0.001   0.000   0.068     2.468
   28   4.2035e+02   4.1981e+02   4.2027e+02   1069    242     0     54     49      1      2   0.064   0.001   0.000   0.067     2.535
   29   4.2023e+02   4.1998e+02   4.2023e+02   1049    242     0     37     57      0      0   0.067   0.001   0.001   0.071     2.606
   30   4.2021e+02   4.1998e+02   4.2021e+02   1017    240     0     34     66      0      2   0.068   0.001   0.000   0.071     2.677
   31   4.2021e+02   4.1998e+02   4.2021e+02   1039    238     0     46     24      0      2   0.067   0.001   0.000   0.070     2.747
   32   4.2021e+02   4.1999e+02   4.2021e+02   1024    238     0     23     38      0      0   0.068   0.001   0.000   0.070     2.817
   33   4.2018e+02   4.2006e+02   4.2018e+02   1000    238     0      9     33      0      0   0.067   0.001   0.000   0.070     2.887
   34   4.2017e+02   4.2007e+02   4.2017e+02    993    237     0      4     11      0      1   0.068   0.001   0.000   0.070     2.957
   35   4.2017e+02   4.2007e+02   4.2017e+02    988    237     0      1      6      0      0   0.067   0.001   0.000   0.070     3.026
   36   4.2017e+02   4.2007e+02   4.2017e+02    966    237     0      4     26      0      0   0.067   0.001   0.000   0.069     3.095
   37   4.2017e+02   4.2007e+02   4.2017e+02    926    237     0      3     43      0      0   0.066   0.001   0.000   0.069     3.164
   38   4.2017e+02   4.2007e+02   4.2017e+02    938    236     0     41     29      0      1   0.063   0.001   0.000   0.066     3.230
   39   4.2017e+02   4.2008e+02   4.2017e+02    938    236     0      0      0      0      0   0.064   0.003   0.000   0.067     3.297
CG optimal after 39 iterations. UB=420.170234 LB=420.078361 gap=9.187e-02 tol=4.202e-02  t_LP=3.183  t_PR=0.055  t_SP=0.017  t_Tot=3.303

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Winnipeg_net.tntp.gz,tree,39,803,420.170234,420.078361,1,3.310,3.183,0.055,0.017
