# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/grid/grid9 --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 625 vertices, 2400 arcs, 1000 commodities, 495 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=495, capped_arcs=2400)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   8.1702e+07   4.9500e+04    990    495   495      0      0      0      0   0.007   0.003   0.000   0.010     0.010
    2          inf   8.1702e+07   4.9500e+05    990    495   495      0      0      0      0   0.000   0.003   0.000   0.004     0.014
    3          inf   8.1702e+07   4.9481e+06    990    495   493      0      0      0      0   0.000   0.003   0.000   0.003     0.017
    4          inf   8.1702e+07   4.1744e+07    990    495   314      0      0      0      0   0.000   0.003   0.000   0.003     0.021
    5          inf   8.1702e+07   8.1702e+07    990    823     0      0      0    328      0   0.000   0.003   0.001   0.003     0.024
    6          inf   8.1702e+07   1.7605e+08   1392    823   253    402      0      0      0   0.070   0.002   0.000   0.073     0.097
    7          inf   8.1702e+07   5.1433e+08   1804    826   217    412      0      3      0   0.081   0.002   0.000   0.084     0.181
    8          inf   8.1702e+07   6.3667e+08   2236    885   138    432      0     59      0   0.089   0.002   0.000   0.092     0.273
    9          inf   8.1702e+07   5.6312e+08   2671    922   109    435      0     37      0   0.132   0.002   0.001   0.135     0.409
   10          inf   8.1702e+07   9.0287e+07   3118    996    14    447      0     74      0   0.155   0.002   0.001   0.159     0.567
   11          inf   8.1702e+07   8.2965e+07   3483    932     0    435     70     21     85   0.232   0.002   0.001   0.236     0.804
   12          inf   8.2227e+07   8.2851e+07   3768    954     0    415    130     22      0   0.170   0.002   0.001   0.174     0.977
   13          inf   8.2340e+07   8.2793e+07   4006    966     0    381    143     13      1   0.197   0.002   0.001   0.201     1.178
   14          inf   8.2431e+07   8.2753e+07   4158    974     0    366    214     17      9   0.186   0.001   0.002   0.191     1.369
   15          inf   8.2480e+07   8.2722e+07   4247    977     0    356    267     12      9   0.169   0.001   0.002   0.175     1.544
   16          inf   8.2545e+07   8.2702e+07   4060    957     0    350    537      8     28   0.198   0.001   0.001   0.202     1.745
   17          inf   8.2568e+07   8.2685e+07   3866    947     0    318    512     10     20   0.162   0.002   0.001   0.166     1.911
   18          inf   8.2597e+07   8.2672e+07   3781    948     0    301    386      8      7   0.193   0.002   0.001   0.196     2.108
   19          inf   8.2625e+07   8.2663e+07   3706    950     0    266    341      6      4   0.167   0.002   0.001   0.171     2.279
   20          inf   8.2627e+07   8.2660e+07   3620    954     0    251    337      8      4   0.192   0.002   0.001   0.196     2.475
   21          inf   8.2638e+07   8.2656e+07   3535    956     0    233    318      7      5   0.168   0.002   0.001   0.172     2.647
   22          inf   8.2646e+07   8.2655e+07   3447    946     0    225    313      2     12   0.192   0.002   0.001   0.196     2.842
   23          inf   8.2650e+07   8.2654e+07   3303    937     0    139    283      1     10   0.174   0.002   0.001   0.178     3.020
   24          inf   8.2650e+07   8.2653e+07   3186    940     0    146    263      6      3   0.175   0.001   0.001   0.178     3.199
   25          inf   8.2652e+07   8.2653e+07   3040    935     0     39    185      2      7   0.178   0.002   0.001   0.182     3.381
   26   8.2653e+07   8.2653e+07   8.2653e+07   3040    935     0    *81      0      0      0   0.162   0.002   0.000   0.164     3.544
CG optimal after 26 iterations. UB=82652989.690476 LB=82652790.595740 gap=1.991e+02 tol=8.265e+03  t_LP=3.449  t_PR=0.053  t_SP=0.018  t_Tot=3.551

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/commalab/grid/grid9,tree,26,2545,82652989.690476,82652790.595740,1,3.556,3.449,0.053,0.018
