# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/intermodal/BUS-18424-0.txt.gz --solver mosek --formulation tree --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 151455 vertices, 1338522 arcs, 18388 commodities, 18388 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=18388, capped_arcs=1151624)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   4.7151e+05  36776  18454  1078      0      0     66      0   0.021   0.000   0.094   0.116     0.116
    2          inf         -inf   4.7582e+05  37662  18454  1435    886      0      0      0   0.041   0.144   0.094   0.282     0.398
    3          inf         -inf   4.8674e+05  37662  18497   131      0      0     43      0   0.058   0.000   0.097   0.157     0.555
    4          inf         -inf   4.8823e+05  38323  18497   239    661      0      0      0   0.077   0.133   0.095   0.306     0.862
    5          inf         -inf   4.9238e+05  38323  18505   110      0      0      8      0   0.083   0.000   0.093   0.177     1.039
    6          inf         -inf   4.9243e+05  38323  18509   117      0      0      4      0   0.108   0.000   0.093   0.202     1.241
    7          inf         -inf   4.9243e+05  38328  18487   118      5      0      0     22   0.096   0.041   0.093   0.230     1.471
    8          inf         -inf   5.0894e+05  38328  18488   108      0      0      1      0   0.091   0.000   0.093   0.185     1.656
    9          inf         -inf   5.0894e+05  38371  18461   109     43      0      0     27   0.089   0.041   0.094   0.224     1.880
   10          inf         -inf   5.2617e+05  38371  18469   109      0      0      8      0   0.076   0.000   0.096   0.173     2.053
   11          inf         -inf   5.2625e+05  38526  18451   113    155      0      0     18   0.079   0.067   0.093   0.240     2.293
   12          inf         -inf   5.0631e+05  38526  18465    51      0      0     14      0   0.086   0.000   0.092   0.180     2.473
   13          inf         -inf   5.0631e+05  38616  18459    51     90      0      0      6   0.087   0.072   0.092   0.252     2.724
   14          inf         -inf   4.9751e+05  38616  18472    39      0      0     13      0   0.105   0.000   0.094   0.200     2.924
   15          inf         -inf   4.9752e+05  38702  18471    43     86      0      0      1   0.098   0.058   0.092   0.249     3.173
   16          inf         -inf   5.2323e+05  38702  18472    27      0      0      1      0   0.093   0.000   0.092   0.186     3.359
   17          inf         -inf   5.2323e+05  38718  18464    27     16      0      0      8   0.100   0.041   0.092   0.234     3.593
   18          inf         -inf   5.6449e+05  38718  18467    28      0      0      3      0   0.083   0.000   0.093   0.177     3.770
   19          inf         -inf   5.6449e+05  38722  18457    28      4      0      0     10   0.089   0.048   0.093   0.230     4.000
   20          inf         -inf   5.6473e+05  38722  18464    28      0      0      7      0   0.089   0.000   0.093   0.183     4.183
   21          inf   2.1595e+05   5.6473e+05  39350  18459    28    628      0      0      5   0.091   0.796   0.095   0.984     5.167
   22          inf   2.1595e+05   4.8498e+05  39350  18490     0      0      0     31      0   0.086   0.000   0.094   0.181     5.348
   23          inf   2.1595e+05   4.8511e+05  39350  18491     1      0      0      1      0   0.114   0.000   0.095   0.210     5.558
   24          inf   2.1595e+05   4.8511e+05  39365  18489     1     15      0      0      2   0.113   0.038   0.095   0.247     5.805
   25          inf   2.1595e+05   4.8511e+05  39365  18490     0      0      0      1      0   0.115   0.000   0.094   0.210     6.016
   26   4.8511e+05   4.8449e+05   4.8511e+05  39662  18483     0    297      0      0      7   0.119   0.764   0.093   0.977     6.993
   27   4.8511e+05   4.8449e+05   4.8503e+05  39662  18492     0      0      0      9      0   0.121   0.000   0.092   0.214     7.207
   28   4.8503e+05   4.8449e+05   4.8503e+05  39674  18460     0     12      0      0     32   0.123   0.069   0.095   0.287     7.494
   29   4.8503e+05   4.8449e+05   4.8503e+05  39674  18467     0      0      0      7      0   0.123   0.000   0.094   0.217     7.711
   30   4.8503e+05   4.8499e+05   4.8503e+05  39674  18467     0     *6      0      0      0   0.124   0.786   0.097   1.007     8.718
CG optimal after 30 iterations. UB=485026.500001 LB=484988.523169 gap=3.798e+01 tol=4.850e+01  t_LP=2.780  t_PR=3.878  t_SP=2.809  t_Tot=9.500

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/intermodal/BUS-18424-0.txt.gz,tree,30,21286,485026.500001,484988.523169,1,9.788,2.780,3.878,2.809
