# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/intermodal/BUS-2632-0.txt.gz --solver mosek --formulation path --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 119865 vertices, 397362 arcs, 2628 commodities, 2628 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=2628, capped_arcs=210464)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.8906e+04   5256   2721   161      0      0     93      0   0.015   0.000   0.030   0.045     0.045
    2          inf         -inf   6.9679e+04   5424   2721   229    168      0      0      0   0.005   0.019   0.029   0.055     0.100
    3          inf         -inf   7.1078e+04   5424   2805    11      0      0     84      0   0.007   0.000   0.028   0.035     0.135
    4          inf         -inf   7.2127e+04   5424   2806    42      0      0      1      0   0.010   0.000   0.028   0.038     0.173
    5          inf         -inf   7.2145e+04   5432   2806    43      8      0      0      0   0.009   0.012   0.028   0.050     0.224
    6          inf   4.5332e+04   7.6330e+04   5658   2806    45    226      0      0      0   0.010   0.065   0.028   0.104     0.327
    7          inf   4.5332e+04   7.1516e+04   5658   2857     1      0      0     51      0   0.013   0.000   0.029   0.043     0.370
    8          inf   4.5332e+04   7.1605e+04   5658   2859     6      0      0      2      0   0.023   0.000   0.028   0.051     0.421
    9          inf   4.5332e+04   7.1608e+04   5661   2819     6      3      0      0     40   0.021   0.011   0.028   0.061     0.482
   10          inf   4.5332e+04   7.1654e+04   5661   2823     6      0      0      4      0   0.016   0.000   0.028   0.044     0.526
   11          inf   4.5332e+04   7.1654e+04   5666   2812     6      5      0      0     11   0.022   0.013   0.028   0.063     0.589
   12          inf   4.5332e+04   7.1690e+04   5666   2813     4      0      0      1      0   0.015   0.000   0.028   0.044     0.633
   13          inf   4.5332e+04   7.1693e+04   5669   2764     5      3      0      0     49   0.019   0.012   0.028   0.060     0.693
   14          inf   4.5332e+04   7.2116e+04   5669   2766     3      0      0      2      0   0.014   0.000   0.028   0.042     0.735
   15          inf   4.5332e+04   7.2116e+04   5669   2767     3      0      0      1      0   0.014   0.000   0.028   0.043     0.778
   16          inf   4.5332e+04   7.2116e+04   5676   2764     3      7      0      0      3   0.014   0.014   0.028   0.057     0.835
   17          inf   4.5332e+04   7.2144e+04   5676   2766     4      0      0      2      0   0.018   0.000   0.028   0.046     0.881
   18          inf   5.5506e+04   7.2144e+04   5809   2765     4    133      0      0      1   0.018   0.072   0.028   0.119     1.000
   19          inf   5.5506e+04   7.1028e+04   5809   2774     0      0      0      9      0   0.019   0.000   0.028   0.047     1.048
   20   7.1028e+04   5.5506e+04   7.1028e+04   5815   2771     0      6      0      0      3   0.019   0.015   0.029   0.064     1.112
   21   7.1028e+04   5.5506e+04   7.1028e+04   5815   2773     0      0      0      2      0   0.018   0.000   0.028   0.047     1.159
   22   7.1028e+04   7.0975e+04   7.1028e+04   5846   2771     0     31      0      0      2   0.018   0.068   0.028   0.113     1.272
   23   7.1028e+04   7.0975e+04   7.1027e+04   5846   2777     0      0      0      6      0   0.021   0.000   0.028   0.049     1.321
   24   7.1027e+04   7.0975e+04   7.1027e+04   5851   2754     0      5      0      0     23   0.020   0.013   0.029   0.063     1.384
   25   7.1027e+04   7.0975e+04   7.1027e+04   5851   2759     0      0      0      5      0   0.018   0.000   0.028   0.046     1.429
   26   7.1027e+04   7.1021e+04   7.1027e+04   5851   2759     0     *1      0      0      0   0.019   0.068   0.029   0.116     1.546
CG optimal after 26 iterations. UB=71026.500115 LB=71020.992783 gap=5.507e+00 tol=7.103e+00  t_LP=0.420  t_PR=0.457  t_SP=0.736  t_Tot=1.621

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/intermodal/BUS-2632-0.txt.gz,path,26,3223,71026.500115,71020.992783,1,1.724,0.420,0.457,0.736
