# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/planar/planar2500 --solver mosek --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 2500 vertices, 12990 arcs, 81430 commodities, 2500 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=81430, capped_arcs=12990)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   1.0946e+10   1.0946e+10  83123  83123     0      0      0   1693      0   0.126   0.100   0.196   0.422     0.422
    2          inf   1.0946e+10   2.9836e+12 133123  83123  1693  50000      0      0      0  11.611   0.064   0.003  11.741    12.163
    3          inf   1.0946e+10   2.3308e+10 184285  84285     7  50000      0   1162      0  15.764   0.075   0.197  16.189    28.352
    4          inf   1.0946e+10   1.1427e+12 234325  84325  1060  50000      0     40      0  27.224   0.074   0.241  27.692    56.044
    5          inf   1.0946e+10   5.3095e+12 284510  84510  1239  50000      0    185      0  30.287   0.065   0.315  30.773    86.817
    6          inf   1.0946e+10   2.4207e+12 334831  84831   518  50000      0    321      0  39.034   0.075   0.395  39.631   126.448
    7          inf   1.0946e+10   6.5549e+12 384889  84889   700  50000      0     58      0  44.216   0.075   0.482  44.890   171.338
    8          inf   1.0946e+10   2.9421e+12 399785  84951   430  50000  35166     62      0  54.670   0.077   0.570  55.510   226.849
    9          inf   1.0946e+10   6.5103e+11 410399  84984   173  50000  39419     33      0  54.556   0.075   0.582  55.409   282.258
   10          inf   1.0946e+10   1.3395e+10 417060  84992     0  50000  43347      8      0  50.620   0.072   0.601  51.501   333.759
   11          inf   1.1077e+10   1.3227e+10 429054  84998     0  50000  38012      6      0  41.363   0.074   0.596  42.226   375.985
   12          inf   1.1536e+10   1.3109e+10 436632  85009     0  50000  42433     11      0  40.702   0.069   0.600  41.571   417.556
   13          inf   1.1763e+10   1.3015e+10 442880  84990     0  50000  43733      4     23  39.656   0.073   0.646  40.608   458.164
   14          inf   1.1884e+10   1.2938e+10 444518  84995     0  50000  48367      5      0  41.020   0.073   0.634  41.934   500.098
   15          inf   1.1992e+10   1.2873e+10 430463  83336     0  50000  62396     11   1670  39.819   0.071   0.641  40.746   540.843
   16          inf   1.2153e+10   1.2822e+10 424590  83318     0  50000  55855     60     78  19.887   0.077   0.396  20.537   561.380
   17          inf   1.2275e+10   1.2779e+10 424912  83317     0  50000  49677     64     65  18.805   0.074   0.405  19.461   580.841
   18          inf   1.2361e+10   1.2748e+10 427041  83304     0  50000  47858     50     63  18.741   0.071   0.393  19.377   600.219
   19          inf   1.2432e+10   1.2725e+10 430220  83309     0  50000  46826     53     48  18.710   0.072   0.404  19.360   619.579
   20          inf   1.2490e+10   1.2708e+10 432070  83303     0  50000  48144     40     46  18.201   0.078   0.418  18.872   638.451
   21          inf   1.2525e+10   1.2695e+10 433181  83287     0  50000  48873     34     50  19.355   0.072   0.401  20.007   658.458
   22          inf   1.2562e+10   1.2685e+10 433278  83290     0  50000  49906     40     37  18.610   0.077   0.402  19.258   677.716
   23          inf   1.2584e+10   1.2676e+10 433964  83290     0  50000  49314     34     34  19.649   0.074   0.411  20.304   698.020
   24          inf   1.2610e+10   1.2671e+10 435010  83287     0  50000  48951     29     32  19.972   0.073   0.417  20.628   718.648
   25          inf   1.2629e+10   1.2667e+10 435823  83284     0  50000  49184     31     34  20.504   0.074   0.413  21.177   739.825
   26          inf   1.2639e+10   1.2665e+10 438771  83286     0  50000  47054     23     21  20.583   0.076   0.403  21.226   761.051
   27          inf   1.2650e+10   1.2663e+10 443359  83279     0  50000  45405     23     30  22.123   0.075   0.413  22.784   783.835
   28          inf   1.2658e+10   1.2663e+10 453035  83273     0  50000  40318     15     21  24.038   0.071   0.417  24.690   808.525
   29          inf   1.2661e+10   1.2662e+10 482568  83259     0  50000  20453      4     18  29.385   0.067   0.415  30.028   838.553
   30          inf   1.2662e+10   1.2662e+10 469548  83249     0   4654  17664      2     12  26.661   0.059   0.446  27.262   865.815
   31   1.2662e+10   1.2662e+10   1.2662e+10 469548  83249     0 *14924      0      0      0  24.306   0.056   0.009  24.374   890.189
CG optimal after 31 iterations. UB=12662328093.558182 LB=12662325095.214235 gap=2.998e+03 tol=1.266e+06  t_LP=870.198  t_PR=2.431  t_SP=12.860  t_Tot=890.365

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/commalab/planar/planar2500,path,31,467729,12662328093.558182,12662325095.214235,1,890.563,870.198,2.431,12.860
