# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Austin_net.tntp.gz --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Austin_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Austin_trips.tntp.gz coef=6.0
Instance: 7388 vertices, 18961 arcs, 1081717 commodities, 1117 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1117, capped_arcs=18961)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   5.1777e+06   3.5219e+04   2234   1117  1117      0      0      0      0   0.008   0.191   0.002   0.201     0.201
    2          inf   5.1777e+06   3.3149e+05   2234   1117   959      0      0      0      0   0.001   0.188   0.002   0.191     0.392
    3          inf   5.1777e+06   2.1109e+06   2234   1117   447      0      0      0      0   0.001   0.193   0.003   0.197     0.589
    4          inf   5.1777e+06   5.1112e+06   2234   1589    12      0      0    472      0   0.001   0.187   0.016   0.204     0.792
    5          inf   5.1777e+06   8.7293e+06   3325   1589   592   1091      0      0      0   1.590   0.103   0.005   1.821     2.613
    6          inf   5.1777e+06   2.1695e+07   4440   1589   569   1115      0      0      0   1.324   0.095   0.007   1.563     4.176
    7          inf   5.1777e+06   4.9654e+07   5555   1592   444   1115      0      3      0   2.235   0.100   0.015   2.479     6.655
    8          inf   5.1777e+06   1.1894e+08   6670   1604   496   1115      0     12      0   2.618   0.109   0.015   2.892     9.547
    9          inf   5.1777e+06   2.3092e+08   7785   1609   396   1115      0      5      0   3.327   0.104   0.018   3.582    13.129
   10          inf   5.1777e+06   3.6340e+08   8682   1301   327   1115    218     75    383   4.493   0.110   0.022   4.795    17.925
   11          inf   5.1777e+06   8.4687e+08   9085   1337   273   1115    712     39      3   0.555   0.098   0.027   0.835    18.760
   12          inf   5.1777e+06   1.2362e+09   9698   1431   283   1117    504    103      9   0.684   0.102   0.021   0.988    19.748
   13          inf   5.1777e+06   2.1775e+09   9665   1454   225   1115   1148     23      0   1.723   0.098   0.028   1.994    21.742
   14          inf   5.1777e+06   3.4090e+09   9557   1482   266   1115   1223     37      9   1.797   0.097   0.035   2.088    23.830
   15          inf   5.1777e+06   5.6719e+09   9679   1573   214   1115    993     93      2   2.557   0.100   0.037   2.858    26.688
   16          inf   5.1777e+06   9.1262e+09   9786   1532   143   1117   1010      6     47   3.595   0.100   0.033   3.906    30.595
   17          inf   5.1777e+06   1.1343e+10   9905   1537   156   1117    998     29     24   2.598   0.098   0.032   2.898    33.493
   18          inf   5.1777e+06   1.3443e+10   9986   1494    98   1116   1035     13     56   3.463   0.104   0.026   3.762    37.255
   19          inf   5.1777e+06   1.3987e+10  10008   1492    55   1117   1095     14     16   2.590   0.112   0.019   2.886    40.141
   20          inf   5.1777e+06   9.5015e+09  10027   1504    75   1115   1096     44     32   2.720   0.099   0.028   3.016    43.157
   21          inf   5.1777e+06   7.3623e+09   9745   1442    86   1115   1397     24     86   2.338   0.104   0.038   2.635    45.792
   22          inf   5.1777e+06   6.7083e+09   9738   1443    52   1115   1122     16     15   1.793   0.099   0.032   2.076    47.868
   23          inf   5.1777e+06   6.9927e+09   9808   1458    24   1115   1045     30     15   2.133   0.098   0.030   2.407    50.275
   24          inf   5.1777e+06   4.4846e+09   9919   1455    16   1117   1006     10     13   2.069   0.100   0.025   2.343    52.619
   25          inf   5.1777e+06   3.0601e+09   9985   1459    16   1117   1051     20     16   2.455   0.098   0.027   2.730    55.348
   26          inf   5.1777e+06   2.2376e+09   9946   1444    18   1117   1156     17     32   1.923   0.109   0.014   2.188    57.537
   27          inf   5.1777e+06   1.1125e+09   9960   1452    18   1117   1103     14      6   2.538   0.103   0.019   2.804    60.340
   28          inf   5.1777e+06   3.8408e+08  10107   1452    13   1117    970     19     19   2.412   0.097   0.028   2.687    63.027
   29          inf   5.1777e+06   5.2264e+08  10095   1507     8   1115   1127     79     24   2.391   0.099   0.031   2.668    65.694
   30          inf   5.1777e+06   4.8089e+08  10113   1508     6   1115   1097     11     10   2.656   0.095   0.031   2.931    68.625
   31          inf   5.1777e+06   3.6759e+08  10047   1500     7   1114   1180      6     14   2.737   0.108   0.013   3.008    71.633
   32          inf   5.1777e+06   8.8497e+07  10041   1508     3   1115   1121     15      7   2.962   0.100   0.015   3.223    74.856
   33          inf   5.1777e+06   5.7065e+06   9976   1501     0   1117   1182      7     14   3.726   0.094   0.030   3.999    78.854
   34          inf   5.1777e+06   5.6546e+06  10118   1475     0   1115    973      3     29   3.477   0.097   0.029   3.753    82.607
   35          inf   5.1777e+06   5.6214e+06   9952   1397     0   1116   1282      3     81   2.976   0.096   0.029   3.251    85.857
   36          inf   5.1777e+06   5.6064e+06   9902   1384     0   1115   1165      6     19   1.917   0.094   0.030   2.179    88.036
   37          inf   5.1777e+06   5.6088e+06   9940   1376     0   1117   1079     14     22   1.504   0.099   0.028   1.774    89.810
   38   5.5908e+06   5.1777e+06   5.5908e+06   9860   1357     0   1117   1197      0     19   1.593   0.098   0.023   1.857    91.666
   39   5.5908e+06   5.1777e+06   5.5800e+06   9960   1338     0   1117   1017      3     22   1.892   0.097   0.028   2.167    93.834
   40   5.5908e+06   5.1902e+06   5.5676e+06   9972   1333     0   1117   1105      4      9   2.071   0.101   0.031   2.375    96.209
   41   5.5908e+06   5.1902e+06   5.5575e+06  10017   1341     0   1115   1070     15      7   1.536   0.097   0.029   1.805    98.014
   42   5.5908e+06   5.1902e+06   5.5515e+06  10023   1340     0   1116   1110      2      3   1.262   0.098   0.029   1.529    99.543
   43   5.5908e+06   5.1902e+06   5.5402e+06   9938   1341     0   1116   1201     16     15   1.512   0.097   0.029   1.781   101.324
   44   5.5908e+06   5.1902e+06   5.5443e+06   9905   1336     0   1117   1150      3      8   1.501   0.097   0.029   1.769   103.094
   45   5.5908e+06   5.1902e+06   5.5515e+06   9983   1341     0   1117   1039     11      6   1.379   0.097   0.028   1.650   104.743
   46   5.5908e+06   5.1902e+06   5.5301e+06  10044   1344     0   1115   1054     11      8   1.480   0.098   0.031   1.757   106.500
   47   5.5908e+06   5.1902e+06   5.5255e+06  10198   1337     0   1116    962      4     11   2.034   0.099   0.029   2.314   108.815
   48   5.5908e+06   5.2233e+06   5.5185e+06  10228   1338     0   1117   1087      3      2   1.936   0.098   0.029   2.206   111.021
   49   5.5908e+06   5.2557e+06   5.5154e+06  10157   1327     0   1115   1186      2     13   1.449   0.098   0.030   1.725   112.746
   50   5.5908e+06   5.2735e+06   5.5097e+06  10125   1324     0   1115   1147      3      6   1.348   0.099   0.033   1.635   114.381
   51   5.5908e+06   5.2735e+06   5.5063e+06  10003   1323     0   1115   1237      7      8   1.450   0.099   0.029   1.729   116.110
   52   5.5908e+06   5.3142e+06   5.5041e+06   9904   1332     0   1115   1214     12      3   1.307   0.100   0.029   1.577   117.687
   53   5.5033e+06   5.3193e+06   5.5033e+06   9899   1331     0   1115   1120      0      1   1.159   0.101   0.023   1.420   119.107
   54   5.5033e+06   5.3395e+06   5.5005e+06   9816   1327     0   1115   1198      2      6   1.232   0.099   0.028   1.500   120.607
   55   5.5033e+06   5.3395e+06   5.4953e+06   9880   1327     0   1115   1051      8      8   1.189   0.096   0.028   1.461   122.068
   56   5.5033e+06   5.3395e+06   5.7854e+08   9930   1346     6   1117   1067     21      2   2.459   0.096   0.032   2.726   124.794
   57   5.5033e+06   5.3395e+06   7.5684e+08  10066   1358    22   1117    981     16      4   2.121   0.113   0.013   2.387   127.181
