# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_trips.tntp.gz coef=0.5
Instance: 12981 vertices, 28376 arcs, 49688 commodities, 865 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=865, capped_arcs=28376)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   2.6118e+07   2.6017e+05   1730    865   853      0      0      0      0   0.013   0.056   0.002   0.071     0.071
    2          inf   2.6118e+07   2.4449e+06   1730    865   754      0      0      0      0   0.000   0.052   0.002   0.055     0.126
    3          inf   2.6118e+07   1.5789e+07   1730    891   303      0      0     26      0   0.000   0.050   0.003   0.054     0.180
    4          inf   2.6118e+07   4.0348e+07   2184   1138   237    454      0    247      0   0.016   0.025   0.003   0.051     0.231
    5          inf   2.6118e+07   1.0208e+08   2896   1185   376    712      0     47      0   0.115   0.032   0.003   0.161     0.392
    6          inf   2.6118e+07   3.1197e+08   3611   1251   302    746     31     66      0   0.130   0.034   0.004   0.181     0.573
    7          inf   2.6118e+07   7.6574e+08   4350   1301   255    739      0     50      0   0.202   0.038   0.006   0.257     0.829
    8          inf   2.6118e+07   1.4509e+09   5094   1375   186    744      0     74      0   0.268   0.044   0.006   0.329     1.159
    9          inf   2.6118e+07   2.3064e+09   5783   1411   140    746     57     36      0   0.376   0.038   0.005   0.437     1.595
   10          inf   2.6118e+07   1.4912e+09   6242   1403    95    732    273     36     44   0.454   0.039   0.006   0.516     2.111
   11          inf   2.6118e+07   1.9762e+09   6562   1427    54    724    404     32      8   0.375   0.041   0.007   0.440     2.551
   12          inf   2.6118e+07   2.8068e+08   6813   1468     9    721    470     53     12   0.502   0.039   0.007   0.566     3.117
   13          inf   2.6118e+07   8.8737e+08   7072   1480    10    706    447     30     18   0.513   0.043   0.007   0.581     3.698
   14          inf   2.6118e+07   2.8613e+08   7184   1475     3    694    582     16     21   0.580   0.036   0.007   0.641     4.339
   15          inf   2.6362e+07   2.8284e+07   7240   1476     0    694    638     11     10   0.560   0.041   0.007   0.626     4.965
   16          inf   2.6563e+07   2.7999e+07   7227   1459     0    664    677      4     21   0.587   0.032   0.008   0.644     5.609
   17          inf   2.7154e+07   2.7848e+07   7227   1445     0    682    682      6     20   0.555   0.042   0.007   0.622     6.230
   18          inf   2.7245e+07   2.7744e+07   7165   1431     0    634    696     11     25   0.469   0.042   0.008   0.535     6.766
   19          inf   2.7307e+07   2.7671e+07   6982   1407     0    635    818      8     32   0.467   0.043   0.007   0.534     7.299
   20   2.7631e+07   2.7307e+07   2.7631e+07   6621   1367     0    607    968      0     40   0.459   0.041   0.006   0.521     7.821
   21   2.7631e+07   2.7416e+07   2.7600e+07   6552   1356     0    568    637      7     18   0.388   0.041   0.007   0.451     8.271
   22   2.7569e+07   2.7421e+07   2.7569e+07   6409   1346     0    485    628      0     10   0.365   0.041   0.005   0.424     8.696
   23   2.7569e+07   2.7478e+07   2.7553e+07   6317   1343     0    458    550      4      7   0.330   0.041   0.007   0.392     9.088
   24   2.7546e+07   2.7483e+07   2.7546e+07   6250   1335     0    438    505      0      8   0.342   0.041   0.005   0.400     9.488
   25   2.7546e+07   2.7508e+07   2.7540e+07   6216   1336     0    422    456      2      1   0.349   0.039   0.008   0.410     9.898
   26   2.7546e+07   2.7514e+07   2.7537e+07   6125   1330     0    402    493      1      7   0.326   0.041   0.007   0.387    10.285
   27   2.7546e+07   2.7514e+07   2.7535e+07   6165   1320     0    439    399      2     12   0.316   0.037   0.007   0.373    10.658
   28   2.7532e+07   2.7517e+07   2.7532e+07   6114   1318     0    361    412      0      2   0.348   0.042   0.005   0.406    11.064
   29   2.7531e+07   2.7522e+07   2.7531e+07   6125   1316     0    368    357      0      2   0.364   0.041   0.005   0.422    11.486
   30   2.7530e+07   2.7524e+07   2.7530e+07   6130   1316     0    330    325      0      0   0.332   0.041   0.005   0.389    11.875
   31   2.7530e+07   2.7527e+07   2.7530e+07   6203   1316     0    370    297      0      0   0.326   0.042   0.005   0.384    12.259
   32   2.7529e+07   2.7528e+07   2.7529e+07   6203   1316     0   *283      0      0      0   0.335   0.042   0.005   0.383    12.642
CG optimal after 32 iterations. UB=27529369.122813 LB=27527554.356436 gap=1.815e+03 tol=2.753e+03  t_LP=10.763  t_PR=1.340  t_SP=0.182  t_Tot=12.689

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz,tree,32,5338,27529369.122813,27527554.356436,1,12.712,10.763,1.340,0.182
