# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz --solver mosek --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Birmingham_trips.tntp.gz coef=0.9
Instance: 14639 vertices, 33937 arcs, 471637 commodities, 898 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=471637, capped_arcs=33937)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   2.1008e+05   2.1212e+05 473068 473068     0      0      0   1431      0   0.837   0.175   0.435   1.451     1.451
    2          inf   2.1008e+05   2.2151e+06 523068 473068  1431  50000      0      0      0  64.902   0.222   0.011  65.307    66.757
    3          inf   2.1008e+05   8.1600e+06 573692 473692   973  50000      0    624      0  74.004   0.178   0.312  74.636   141.393
    4          inf   2.1008e+05   1.8900e+07 623997 473997   872  50000      0    305      0 100.778   0.195   0.340 101.511   242.904
    5          inf   2.1008e+05   4.4767e+07 674115 474115   699  50000      0    118      0 123.796   0.193   0.408 124.510   367.415
    6          inf   2.1008e+05   1.2696e+07 724236 474236   384  50000      0    121      0 148.792   0.183   0.410 149.557   516.972
    7          inf   2.1008e+05   2.0287e+06 774308 474308   124  50000      0     72      0 137.012   0.193   0.477 137.835   654.807
    8          inf   2.1008e+05   1.8197e+06 800343 473992    18  50000  23649     24    340 108.997   0.171   0.493 109.989   764.796
    9          inf   2.1008e+05   2.1862e+05 831062 473552     0  50000  18841     19    459  75.691   0.174   0.419  76.614   841.411
   10          inf   2.1017e+05   2.1737e+05 863847 473273     0  50000  16936     46    325  68.095   0.173   0.395  68.983   910.393
   11          inf   2.1156e+05   2.1676e+05 888090 473023     0  50000  25507     26    276  57.034   0.162   0.335  57.862   968.255
   12          inf   2.1258e+05   2.1635e+05 890935 472838     0  50000  46970     33    218  49.084   0.158   0.323  49.893  1018.148
   13          inf   2.1279e+05   2.1609e+05 864560 472749     0  50000  76286     56    145  48.519   0.152   0.298  49.311  1067.459
   14          inf   2.1316e+05   2.1593e+05 845389 472685     0  50000  69107     25     89  42.160   0.127   0.268  42.867  1110.326
   15          inf   2.1335e+05   2.1580e+05 831856 472672     0  50000  63520     33     46  46.295   0.121   0.265  46.993  1157.319
   16          inf   2.1345e+05   2.1571e+05 828627 472655     0  50000  53212     27     44  48.444   0.113   0.244  49.092  1206.411
   17          inf   2.1353e+05   2.1567e+05 811067 472639     0  32004  49548     21     37  46.533   0.098   0.241  47.146  1253.558
   18          inf   2.1359e+05   2.1565e+05 781274 472621     0  12932  42707     17     35  49.132   0.097   0.239  49.692  1303.250
   19          inf   2.1359e+05   2.1565e+05 744677 472613     0   3084  39673     11     19  47.508   0.101   0.219  48.031  1351.281
   20          inf   2.1360e+05   2.1565e+05 687580 472592     0   1573  58649      5     26  44.783   0.094   0.200  45.271  1396.551
   21   2.1565e+05   2.1360e+05   2.1565e+05 642201 472562     0    178  45527      0     30  43.520   0.089   0.020  43.805  1440.356
   22   2.1565e+05   2.1360e+05   2.1565e+05 601934 472553     0     15  40273      5     14  44.671   0.094   0.155  45.082  1485.438
   23   2.1565e+05   2.1360e+05   2.1565e+05 574473 472530     0     93  27531      2     25  43.394   0.098   0.141  43.780  1529.219
   24   2.1565e+05   2.1360e+05   2.1565e+05 564397 472522     0   2446  12514      4     12  44.873   0.098   0.130  45.235  1574.454
   25   2.1565e+05   2.1360e+05   2.1565e+05 559300 472517     0    352   5444      3      8  46.234   0.103   0.121  46.587  1621.041
   26   2.1565e+05   2.1360e+05   2.1565e+05 557806 472510     0   1361   2848      3     10  45.527   0.086   0.128  45.868  1666.909
   27   2.1565e+05   2.1360e+05   2.1565e+05 556885 472512     0    434   1357      2      0  44.186   0.098   0.119  44.500  1711.409
   28   2.1565e+05   2.1360e+05   2.1565e+05 556885 472512     0      0      0      0      0  45.036   0.175   0.015  45.231  1756.639
CG optimal after 28 iterations. UB=215647.500637 LB=213600.260423 gap=2.047e+03 tol=2.156e+01  t_LP=1739.837  t_PR=4.858  t_SP=7.162  t_Tot=1757.575

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz,path,28,556010,215647.500637,213600.260423,1,1757.920,1739.837,4.858,7.162
