# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Birmingham_trips.tntp.gz coef=0.9
Instance: 14639 vertices, 33937 arcs, 471637 commodities, 898 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=898, capped_arcs=33937)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   2.1008e+05   1.8318e+03   1796    898   898      0      0      0      0   0.008   0.196   0.003   0.206     0.206
    2          inf   2.1008e+05   1.8243e+04   1796    898   886      0      0      0      0   0.001   0.195   0.003   0.198     0.405
    3          inf   2.1008e+05   1.1672e+05   1796   1216   246      0      0    318      0   0.001   0.195   0.008   0.204     0.609
    4          inf   2.1008e+05   2.3860e+05   2680   1456   360    884      0    240      0   0.231   0.103   0.007   0.458     1.067
    5          inf   2.1008e+05   5.7122e+05   3578   1509   452    898      0     53      0   0.437   0.109   0.010   0.678     1.745
    6          inf   2.1008e+05   1.3369e+06   4470   1650   347    898      6    141      0   0.633   0.103   0.015   0.902     2.647
    7          inf   2.1008e+05   2.4450e+06   5368   1815   309    898      0    165      0   1.285   0.105   0.025   1.538     4.185
    8          inf   2.1008e+05   4.0280e+06   6266   1971   255    898      0    156      0   1.895   0.109   0.024   2.167     6.352
    9          inf   2.1008e+05   5.9963e+06   7056   2076   193    898    108    206    101   3.091   0.118   0.028   3.411     9.762
   10          inf   2.1008e+05   4.6025e+06   7348   2141   148    898    606    144     79   3.954   0.115   0.034   4.275    14.037
   11          inf   2.1008e+05   3.9389e+06   7731   2299    89    898    515    180     22   3.697   0.100   0.042   4.017    18.054
   12          inf   2.1008e+05   1.5512e+06   7991   2416    46    898    638    158     41   6.482   0.112   0.034   6.809    24.863
   13          inf   2.1008e+05   2.2109e+05   8282   2453     0    898    607     94     57   9.385   0.101   0.047   9.717    34.580
   14          inf   2.1008e+05   2.1979e+05   8585   2430     0    898    595     45     68   7.316   0.098   0.047   7.651    42.231
   15          inf   2.1008e+05   2.1861e+05   8848   2389     0    898    635     42     83   7.314   0.102   0.047   7.653    49.884
   16          inf   2.1008e+05   2.1786e+05   9058   2359     0    898    688     29     59   7.785   0.104   0.047   8.124    58.009
   17          inf   2.1095e+05   2.1745e+05   9055   2281     0    898    901     16     94   7.035   0.103   0.049   7.367    65.376
   18          inf   2.1164e+05   2.1704e+05   8924   2204     0    898   1029     26    103   6.354   0.092   0.055   6.680    72.055
   19          inf   2.1182e+05   2.1670e+05   8578   2127     0    898   1244     31    108   5.751   0.098   0.047   6.082    78.137
   20          inf   2.1259e+05   2.1645e+05   8399   2078     0    898   1077     35     84   6.024   0.094   0.049   6.347    84.484
   21          inf   2.1262e+05   2.1624e+05   8398   2037     0    898    899     20     61   5.332   0.097   0.045   5.645    90.129
   22          inf   2.1285e+05   2.1610e+05   8386   2006     0    898    910     25     56   5.080   0.098   0.042   5.392    95.520
   23          inf   2.1306e+05   2.1601e+05   8398   1983     0    896    884     21     44   5.552   0.101   0.042   5.867   101.387
   24          inf   2.1318e+05   2.1592e+05   8449   1958     0    896    845     16     41   4.802   0.100   0.042   5.114   106.501
   25          inf   2.1327e+05   2.1586e+05   8423   1949     0    896    922     32     41   4.751   0.100   0.042   5.063   111.564
   26          inf   2.1334e+05   2.1581e+05   8481   1923     0    896    838     15     41   5.194   0.099   0.042   5.504   117.068
   27          inf   2.1338e+05   2.1577e+05   8484   1909     0    896    893     12     26   5.523   0.099   0.041   5.830   122.898
   28          inf   2.1343e+05   2.1573e+05   8519   1900     0    897    862     26     35   4.356   0.101   0.042   4.672   127.570
   29          inf   2.1347e+05   2.1571e+05   8560   1881     0    896    855      8     27   5.167   0.097   0.042   5.476   133.045
   30          inf   2.1351e+05   2.1569e+05   8597   1883     0    891    854     22     20   5.139   0.097   0.043   5.445   138.491
   31          inf   2.1352e+05   2.1568e+05   8667   1854     0    893    823      3     32   5.014   0.095   0.048   5.324   143.815
   32          inf   2.1354e+05   2.1567e+05   8694   1845     0    885    858      8     17   4.744   0.098   0.043   5.053   148.867
   33          inf   2.1355e+05   2.1567e+05   8675   1827     0    875    894      8     26   4.956   0.092   0.046   5.264   154.132
   34          inf   2.1355e+05   2.1566e+05   8633   1816     0    877    919      1     12   4.391   0.100   0.040   4.695   158.827
   35          inf   2.1355e+05   2.1566e+05   8638   1813     0    870    865      8     11   4.488   0.102   0.039   4.792   163.619
   36          inf   2.1358e+05   2.1565e+05   8614   1808     0    839    863      5     10   4.929   0.098   0.040   5.230   168.848
   37          inf   2.1358e+05   2.1565e+05   8576   1812     0    802    840     10      6   5.461   0.098   0.042   5.762   174.611
   38          inf   2.1358e+05   2.1565e+05   8547   1801     0    757    786      2     13   4.613   0.099   0.040   4.906   179.517
   39          inf   2.1359e+05   2.1565e+05   8481   1802     0    707    773     10      9   4.097   0.100   0.040   4.395   183.912
   40          inf   2.1360e+05   2.1565e+05   8348   1809     0    560    693      7      0   4.432   0.101   0.041   4.712   188.624
   41          inf   2.1360e+05   2.1565e+05   8064   1805     0    488    772      1      5   3.874   0.096   0.039   4.148   192.772
   42   2.1565e+05   2.1360e+05   2.1565e+05   7816   1801     0    448    696      0      4   3.918   0.097   0.022   4.148   196.920
   43   2.1565e+05   2.1360e+05   2.1565e+05   7480   1802     0    302    638      5      4   3.879   0.099   0.038   4.133   201.052
