# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz --solver mosek --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_trips.tntp.gz coef=4.1
Instance: 12982 vertices, 39018 arcs, 2297945 commodities, 1771 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=2297945, capped_arcs=39018)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   5.4984e+06   5.4992e+06 2298237 2298237     0      0      0    292      0   4.347   0.381   0.770   5.519     5.519
    2          inf   5.4984e+06   6.4563e+06 2348237 2298237   292  50000      0      0      0 192.281   0.409   0.031 192.813   198.332
    3          inf   5.4984e+06   1.1705e+07 2398249 2298249   239  50000      0     12      0 261.818   0.379   0.261 262.585   460.917
    4          inf   5.4984e+06   4.4172e+07 2448267 2298267   208  50000      0     18      0 279.142   0.377   0.294 279.929   740.846
    5          inf   5.4984e+06   2.4770e+08 2498270 2298270   164  50000      0      3      0 245.372   0.365   0.313 246.169   987.015
    6          inf   5.4984e+06   1.4780e+09 2548275 2298275   154  50000      0      5      0 299.185   0.361   0.304 299.961  1286.975
    7          inf   5.4984e+06   6.9733e+09 2598285 2298285   124  50000      0     10      0 315.656   0.356   0.327 316.454  1603.430
    8          inf   5.4984e+06   4.1470e+09 2623428 2298288    78  50000  24860      6      3 454.769   0.346   0.329 456.033  2059.463
    9          inf   5.4984e+06   1.8383e+09 2663165 2298282    57  50000  10257      3      9 470.732   0.325   0.327 471.987  2531.450
   10          inf   5.4984e+06   9.1849e+08 2699074 2298280    36  50000  14089      0      2 414.093   0.303   0.042 415.039  2946.489
   11          inf   5.4984e+06   8.2522e+08 2741641 2298281    24  50000   7434      1      0 361.241   0.309   0.331 362.328  3308.817
   12          inf   5.4984e+06   8.8633e+06 2789671 2298281     4  50000   1970      0      0 203.774   0.305   0.049 204.614  3513.431
   13   5.5257e+06   5.4984e+06   5.5257e+06 2836778 2298273     0  50000   2885      0      8 161.413   0.300   0.049 162.402  3675.833
   14   5.5257e+06   5.4984e+06   5.5205e+06 2886069 2298274     0  50000    710      3      2 179.632   0.300   0.334 180.898  3856.731
   15   5.5257e+06   5.5007e+06   5.5179e+06 2935658 2298246     0  50000    383      2     30 189.808   0.278   0.357 191.120  4047.851
   16   5.5257e+06   5.5062e+06   5.5165e+06 2978330 2298234     0  50000   7316      2     14 175.059   0.263   0.330 176.362  4224.212
   17   5.5257e+06   5.5075e+06   5.5155e+06 2754630 2298172     0  50000 273638      5     67 185.292   0.265   0.338 186.647  4410.859
   18   5.5257e+06   5.5092e+06   5.5148e+06 2757609 2298169     0  50000  47018      3      6 168.479   0.246   0.276 169.624  4580.483
   19   5.5257e+06   5.5108e+06   5.5139e+06 2738262 2298174     0  50000  69352      7      2 182.545   0.226   0.290 183.692  4764.174
   20   5.5257e+06   5.5116e+06   5.5135e+06 2738954 2298176     0  50000  49310      2      0 161.849   0.221   0.276 162.847  4927.021
   21   5.5257e+06   5.5118e+06   5.5132e+06 2725444 2298181     0  50000  63515      6      1 167.406   0.208   0.287 168.527  5095.548
   22   5.5257e+06   5.5123e+06   5.5132e+06 2707559 2298180     0  20728  38612      1      2 166.626   0.192   0.279 167.687  5263.235
   23   5.5257e+06   5.5124e+06   5.5132e+06 2694742 2298180     0  12612  25429      1      1 160.989   0.189   0.281 162.029  5425.265
   24   5.5132e+06   5.5124e+06   5.5132e+06 2645216 2298179     0   1937  51462      0      1 166.412   0.182   0.046 167.195  5592.459
   25   5.5132e+06   5.5124e+06   5.5132e+06 2612353 2298178     0     21  32883      0      1 171.037   0.183   0.047 171.810  5764.270
   26   5.5132e+06   5.5124e+06   5.5132e+06 2612353 2298178     0      0      0      0      0 177.123   0.367   0.051 177.564  5941.833
CG optimal after 26 iterations. UB=5513156.997787 LB=5512372.271577 gap=7.847e+02 tol=5.513e+02  t_LP=5916.077  t_PR=10.989  t_SP=6.620  t_Tot=5945.185

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz,path,26,2612120,5513156.997787,5512372.271577,1,5946.083,5916.077,10.989,6.620
