# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_trips.tntp.gz coef=4.1
Instance: 12982 vertices, 39018 arcs, 2297945 commodities, 1771 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1771, capped_arcs=39018)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   5.4984e+06   2.1129e+04   3542   1771  1757      0      0      0      0   0.038   0.434   0.003   0.475     0.475
    2          inf   5.4984e+06   2.0846e+05   3542   1771  1717      0      0      0      0   0.001   0.419   0.003   0.423     0.899
    3          inf   5.4984e+06   1.8320e+06   3542   1771  1324      0      0      0      0   0.001   0.425   0.005   0.431     1.329
    4          inf   5.4984e+06   5.3729e+06   3542   2014    24      0      0    243      0   0.001   0.419   0.015   0.434     1.763
    5          inf   5.4984e+06   7.6699e+06   5301   2025   567   1759      0     11      0   0.227   0.210   0.012   0.732     2.496
    6          inf   5.4984e+06   1.5956e+07   7060   2028   587   1759      0      3      0   0.348   0.212   0.013   0.860     3.355
    7          inf   5.4984e+06   2.6328e+07   8819   2031   509   1759      0      3      0   0.499   0.208   0.024   1.007     4.362
    8          inf   5.4984e+06   3.7103e+07  10579   2059   315   1760      0     28      0   0.623   0.207   0.030   1.135     5.497
    9          inf   5.4984e+06   5.3614e+07  12337   2070   289   1758      0     11      0   0.848   0.209   0.032   1.400     6.897
   10          inf   5.4984e+06   4.8338e+07  14022   2004   181   1766     81     14     80   1.063   0.212   0.019   1.682     8.579
   11          inf   5.4984e+06   5.5346e+06  14989   2061     1   1765    798     60      3   0.961   0.208   0.053   1.582    10.161
   12          inf   5.4984e+06   2.4497e+07  15631   2068    96   1763   1121     10      3   1.627   0.207   0.051   2.247    12.408
   13          inf   5.4984e+06   1.0653e+07  16059   2071     6   1761   1333      4      1   1.289   0.208   0.054   1.904    14.311
   14          inf   5.4984e+06   5.5251e+06  16361   2073     0   1757   1455     12     10   1.153   0.206   0.059   1.766    16.077
   15          inf   5.4984e+06   5.5218e+06  16693   2071     0   1755   1423      4      6   1.353   0.204   0.059   1.973    18.050
   16          inf   5.5000e+06   5.5197e+06  16511   2061     0   1754   1936      3     13   1.458   0.206   0.061   2.066    20.116
   17          inf   5.5062e+06   5.5182e+06  16477   2043     0   1753   1787      3     21   1.417   0.204   0.063   2.033    22.149
   18          inf   5.5073e+06   5.5172e+06  15728   2031     0   1750   2499      2     14   1.355   0.203   0.059   1.959    24.109
   19          inf   5.5088e+06   5.5164e+06  15505   2025     0   1753   1976      3      9   1.203   0.205   0.060   1.802    25.910
   20          inf   5.5088e+06   5.5155e+06  15567   2021     0   1750   1688      5      9   1.210   0.199   0.059   1.807    27.717
   21          inf   5.5088e+06   5.5148e+06  15765   2018     0   1745   1547      4      7   1.033   0.199   0.056   1.626    29.344
   22          inf   5.5103e+06   5.5146e+06  16021   2017     0   1739   1483      2      3   1.546   0.198   0.057   2.136    31.480
