# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Sydney_net.tntp.gz --solver mosek --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Sydney_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Sydney_trips.tntp.gz coef=1.9
Instance: 33113 vertices, 75379 arcs, 3343560 commodities, 3257 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=3343560, capped_arcs=75379)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   4.9542e+06   4.9560e+06 3343934 3343934     0      0      0    374      0   6.258   1.545   1.981   9.814     9.814
    2          inf   4.9542e+06   1.4287e+07 3393934 3343934   374  50000      0      0      0 455.347   1.129   0.081 456.748   466.562
    3          inf   4.9542e+06   7.1300e+07 3443934 3343934   281  50000      0      0      0 450.635   1.059   0.101 452.061   918.623
    4          inf   4.9542e+06   4.4518e+08 3493938 3343938   207  50000      0      4      0 365.340   1.049   0.840 367.448  1286.070
    5          inf   4.9542e+06   2.3775e+09 3543943 3343943   164  50000      0      5      0 287.544   1.032   0.803 289.642  1575.712
    6          inf   4.9542e+06   1.1227e+10 3593949 3343949   153  50000      0      6      0 310.464   1.059   0.838 312.586  1888.298
    7          inf   4.9542e+06   6.1101e+10 3643999 3343999   166  50000      0     50      0 309.657   0.992   0.990 311.849  2200.147
    8          inf   4.9542e+06   8.8398e+10 3678025 3344049   159  50000  16024     50      0 313.397   1.056   1.053 316.541  2516.688
    9          inf   4.9542e+06   3.1043e+10 3683355 3344049   130  50000  44670      0      0 430.679   0.981   0.106 432.803  2949.490
   10          inf   4.9542e+06   8.4839e+09 3731446 3344049    98  50000   1909      0      0 346.090   0.983   0.109 348.173  3297.663
   11          inf   4.9542e+06   1.5536e+09 3777292 3344049    31  50000   4154      0      0 271.005   0.925   0.106 273.085  3570.748
   12   4.9946e+06   4.9542e+06   4.9946e+06 3825814 3344049     0  50000   1478      0      0 274.642   0.951   0.103 276.761  3847.509
   13   4.9891e+06   4.9542e+06   4.9891e+06 3875228 3344049     0  50000    586      0      0 270.826   0.897   0.106 272.903  4120.411
   14   4.9844e+06   4.9542e+06   4.9844e+06 3924794 3344048     0  50000    433      0      1 275.101   0.920   0.115 277.475  4397.886
   15   4.9803e+06   4.9542e+06   4.9803e+06 3974667 3344027     0  50000    106      0     21 247.760   0.911   0.110 250.119  4648.005
   16   4.9763e+06   4.9542e+06   4.9763e+06 4024658 3344018     0  50000      0      0      9 280.177   0.827   0.091 281.540  4929.546
   17   4.9739e+06   4.9575e+06   4.9739e+06 3798722 3343669     0  50000 275587      0    349 259.697   0.831   0.103 262.032  5191.577
   18   4.9739e+06   4.9611e+06   4.9718e+06 3786491 3343668     0  50000  62230      2      3 218.806   0.826   0.423 221.254  5412.831
   19   4.9710e+06   4.9611e+06   4.9710e+06 3770611 3343664     0  50000  65876      0      4 221.177   0.850   0.100 223.323  5636.153
   20   4.9710e+06   4.9626e+06   4.9700e+06 3761066 3343679     0  50000  59560     15      0 200.281   0.817   0.466 202.576  5838.729
   21   4.9710e+06   4.9635e+06   4.9698e+06 3742993 3343685     0  50000  68079      8      2 216.565   0.801   0.459 219.039  6057.768
   22   4.9710e+06   4.9645e+06   4.9695e+06 3737346 3343687     0  50000  55649      3      1 212.639   0.819   0.458 215.130  6272.898
   23   4.9692e+06   4.9645e+06   4.9692e+06 3741349 3343684     0  50000  45994      0      3 187.755   0.888   0.106 189.948  6462.847
   24   4.9688e+06   4.9660e+06   4.9688e+06 3752939 3343683     0  50000  38409      0      1 224.807   0.809   0.112 226.894  6689.741
   25   4.9684e+06   4.9662e+06   4.9684e+06 3778051 3343683     0  50000  24888      0      0 192.739   0.789   0.104 194.630  6884.371
   26   4.9684e+06   4.9663e+06   4.9682e+06 3769010 3343676     0  24730  33764      1      8 204.097   0.799   0.476 206.524  7090.895
   27   4.9682e+06   4.9664e+06   4.9682e+06 3731423 3343675     0   2966  40552      0      1 212.177   0.752   0.106 214.153  7305.047
CG stopped after 27 iterations. UB=4968193.232911 LB=4966368.640382 gap=1.825e+03 tol=4.968e+02  t_LP=7245.661  t_PR=33.436  t_SP=10.446  t_Tot=7313.218

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Sydney_net.tntp.gz,path,27,3731308,4968193.232911,4966368.640382,0,7314.828,7245.661,33.436,10.446
