# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Winnipeg_net.tntp.gz --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Winnipeg_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Winnipeg_trips.tntp.gz coef=2000.0
Instance: 1052 vertices, 2836 arcs, 4345 commodities, 135 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=135, capped_arcs=2836)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   3.9643e+02   3.7371e+02    270    270     6      0      0    135      0   0.015   0.003   0.000   0.019     0.019
    2          inf   3.9643e+02   6.0255e+02    386    278    42    116      0      8      0   0.010   0.002   0.000   0.013     0.032
    3          inf   3.9643e+02   1.5717e+03    507    280    51    121      0      2      0   0.012   0.002   0.000   0.015     0.046
    4          inf   3.9643e+02   1.5637e+03    622    332    28    115      0     52      0   0.016   0.002   0.000   0.019     0.065
    5          inf   3.9643e+02   2.7107e+03    746    337    30    124      0      5      0   0.030   0.002   0.000   0.033     0.098
    6          inf   3.9643e+02   1.6720e+03    873    361    16    127      0     24      0   0.033   0.002   0.001   0.036     0.135
    7          inf   3.9643e+02   3.0869e+03    993    307    16    129      9     14     68   0.058   0.002   0.001   0.062     0.197
    8          inf   3.9643e+02   5.6455e+02   1079    348     1    126     40     54     13   0.036   0.002   0.001   0.040     0.237
    9          inf   3.9643e+02   2.0138e+03   1141    352     9    128     66      5      1   0.043   0.002   0.001   0.048     0.284
   10          inf   3.9643e+02   9.9454e+02   1178    331     1    125     88     12     33   0.042   0.001   0.001   0.046     0.331
   11          inf   3.9643e+02   4.5680e+02   1214    332     0    122     86      3      2   0.047   0.001   0.001   0.051     0.382
   12          inf   3.9643e+02   4.4841e+02   1243    323     0    125     96      6     15   0.046   0.001   0.001   0.050     0.432
   13          inf   4.0112e+02   4.3992e+02   1272    317     0    119     90      2      8   0.049   0.001   0.001   0.054     0.486
   14          inf   4.0112e+02   4.3213e+02   1258    283     0    116    130      6     40   0.050   0.001   0.001   0.054     0.540
