# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/grid/grid11 --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 625 vertices, 2400 arcs, 4000 commodities, 625 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=625, capped_arcs=2400)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.2500e+04   1250    625   625      0      0      0      0   0.038   0.006   0.000   0.044     0.044
    2          inf         -inf   6.2500e+05   1250    625   625      0      0      0      0   0.000   0.005   0.000   0.005     0.050
    3          inf         -inf   6.2500e+06   1250    625   625      0      0      0      0   0.000   0.004   0.000   0.004     0.054
    4          inf         -inf   6.2161e+07   1250    625   613      0      0      0      0   0.000   0.004   0.000   0.004     0.058
    5          inf         -inf   3.2192e+08   1250    817    31      0      0    192      0   0.000   0.004   0.001   0.006     0.064
    6          inf         -inf   4.3436e+08   1849    817   305    599      0      0      0   0.078   0.003   0.000   0.083     0.147
    7          inf         -inf   1.1131e+09   2449    819   312    600      0      2      0   0.090   0.003   0.001   0.096     0.243
    8          inf         -inf   1.1415e+09   3067    833   137    618      0     14      0   0.081   0.003   0.001   0.087     0.330
    9          inf         -inf   6.3992e+08   3681    884    46    614      0     51      0   0.100   0.004   0.001   0.107     0.437
   10          inf         -inf   4.2810e+08   4302    916    18    621      0     32      0   0.126   0.003   0.001   0.133     0.570
   11          inf         -inf   3.3046e+08   4819    879     0    618    101     16     53   0.192   0.003   0.002   0.201     0.770
   12          inf         -inf   3.3005e+08   5130    892     0    609    298     13      0   0.144   0.004   0.001   0.152     0.922
   13          inf         -inf   3.2981e+08   5470    910     0    606    266     18      0   0.178   0.002   0.001   0.184     1.106
   14          inf         -inf   3.2963e+08   5711    922     0    602    361     16      4   0.181   0.003   0.001   0.188     1.294
   15          inf         -inf   3.2953e+08   5801    920     0    597    507      8     10   0.181   0.003   0.002   0.189     1.483
   16          inf         -inf   3.2944e+08   5599    915     0    572    774      6     11   0.203   0.002   0.002   0.211     1.694
   17          inf         -inf   3.2937e+08   5437    912     0    573    735      3      6   0.207   0.003   0.002   0.215     1.909
   18          inf         -inf   3.2933e+08   5395    915     0    559    601      9      6   0.203   0.003   0.002   0.212     2.120
   19          inf         -inf   3.2930e+08   5381    916     0    563    577      3      2   0.199   0.003   0.002   0.206     2.327
   20          inf         -inf   3.2928e+08   5335    910     0    540    586      2      8   0.188   0.003   0.002   0.197     2.523
   21          inf         -inf   3.2927e+08   5273    908     0    523    585      3      5   0.241   0.002   0.002   0.248     2.771
   22          inf         -inf   3.2927e+08   5231    903     0    484    526      2      7   0.200   0.003   0.001   0.207     2.978
   23          inf         -inf   3.2926e+08   5106    902     0    437    562      2      3   0.190   0.002   0.001   0.196     3.174
   24          inf         -inf   3.2926e+08   5056    901     0    403    453      1      2   0.194   0.003   0.001   0.201     3.375
   25          inf         -inf   3.2926e+08   4810    902     0    245    491      4      3   0.216   0.003   0.002   0.223     3.598
   26   3.2926e+08   3.2926e+08   3.2926e+08   4810    902     0   *108      0      0      0   0.176   0.002   0.001   0.179     3.776
CG optimal after 26 iterations. UB=329258292.607263 LB=329257892.217877 gap=4.004e+02 tol=3.293e+04  t_LP=3.605  t_PR=0.087  t_SP=0.029  t_Tot=3.783

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/commalab/grid/grid11,tree,26,4185,329258292.607263,329257892.217877,1,3.791,3.605,0.087,0.029
