# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/planar/planar2500 --solver mosek --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 2500 vertices, 12990 arcs, 81430 commodities, 2500 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=81430, capped_arcs=12990)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   1.0946e+10  83123  83123     0      0      0   1693      0   0.120   0.095   0.194   0.409     0.409
    2          inf         -inf   2.9836e+12 133123  83123  1693  50000      0      0      0  11.629   0.064   0.002  11.764    12.173
    3          inf         -inf   2.3308e+10 184285  84285     7  50000      0   1162      0  15.625   0.072   0.203  16.054    28.227
    4          inf         -inf   1.1427e+12 234325  84325  1059  50000      0     40      0  26.164   0.066   0.235  26.621    54.848
    5          inf         -inf   5.3095e+12 284508  84508  1234  50000      0    183      0  29.045   0.075   0.315  29.538    84.387
    6          inf         -inf   2.2250e+12 334814  84814   530  50000      0    306      0  35.757   0.074   0.398  36.357   120.743
    7          inf         -inf   3.1139e+12 384876  84876   661  50000      0     62      0  44.637   0.075   0.477  45.305   166.048
    8          inf         -inf   1.4879e+12 399603  84927   386  50000  35324     51      0  51.758   0.073   0.574  52.594   218.642
    9          inf         -inf   1.7540e+11 410342  84950   106  50000  39284     23      0  63.015   0.075   0.566  63.846   282.487
   10          inf         -inf   1.3351e+10 417238  84955     0  50000  43109      5      0  39.128   0.075   0.563  39.964   322.451
   11          inf         -inf   1.3201e+10 429096  84961     0  50000  38148      6      0  33.587   0.073   0.583  34.444   356.896
   12          inf         -inf   1.3097e+10 436506  84967     0  50000  42596      6      0  34.317   0.076   0.605  35.196   392.092
   13          inf         -inf   1.3010e+10 442185  84973     0  50000  44327      6      0  33.449   0.075   0.616  34.338   426.430
   14          inf         -inf   1.2937e+10 442367  83995     0  50000  48840     11    989  32.541   0.075   0.632  33.481   459.911
   15          inf         -inf   1.2871e+10 427895  83349     0  50000  63826     46    692  23.820   0.075   0.492  24.581   484.492
   16          inf         -inf   1.2822e+10 424559  83339     0  50000  53326     64     74  18.065   0.075   0.397  18.712   503.204
   17          inf         -inf   1.2782e+10 425477  83329     0  50000  49072     54     64  16.985   0.077   0.400  17.642   520.846
   18          inf         -inf   1.2752e+10 427671  83325     0  50000  47802     49     53  17.636   0.076   0.394  18.282   539.128
   19          inf         -inf   1.2728e+10 430200  83312     0  50000  47458     46     59  17.130   0.076   0.407  17.794   556.922
   20          inf         -inf   1.2709e+10 430971  83321     0  50000  49238     52     43  17.395   0.077   0.399  18.052   574.974
   21          inf         -inf   1.2694e+10 432056  83318     0  50000  48912     36     39  17.267   0.073   0.404  17.914   592.888
   22          inf         -inf   1.2685e+10 433103  83309     0  50000  48944     33     42  18.035   0.075   0.403  18.681   611.569
   23          inf         -inf   1.2677e+10 434004  83289     0  50000  49079     30     50  16.584   0.073   0.407  17.230   628.799
   24          inf         -inf   1.2671e+10 434985  83285     0  50000  49015     30     34  17.212   0.064   0.418  17.863   646.662
   25          inf         -inf   1.2667e+10 436925  83277     0  50000  48052     28     36  17.375   0.074   0.425  18.047   664.709
   26          inf         -inf   1.2665e+10 439524  83270     0  50000  47394     28     35  18.471   0.074   0.400  19.112   683.821
   27          inf         -inf   1.2663e+10 442930  83264     0  50000  46588     19     25  18.995   0.073   0.402  19.634   703.454
   28          inf         -inf   1.2663e+10 448682  83251     0  50000  44235     13     26  19.805   0.074   0.405  20.455   723.909
   29          inf         -inf   1.2662e+10 483182  83249     0  50000  15498     11     13  25.760   0.068   0.413  26.400   750.309
   30          inf         -inf   1.2662e+10 477992  83246     0   8146  13333      2      5  23.577   0.050   0.439  24.166   774.475
   31   1.2662e+10   1.2662e+10   1.2662e+10 477992  83246     0   *470      0      0      0  22.206   0.050   0.010  22.269   796.744
CG optimal after 31 iterations. UB=12662327943.099277 LB=12662310464.963673 gap=1.748e+04 tol=1.266e+06  t_LP=777.093  t_PR=2.403  t_SP=12.579  t_Tot=796.904

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/commalab/planar/planar2500,path,31,476176,12662327943.099277,12662310464.963673,1,797.087,777.093,2.403,12.579
