# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Austin_net.tntp.gz --solver mosek --formulation tree --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Austin_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Austin_trips.tntp.gz coef=6.0
Instance: 7388 vertices, 18961 arcs, 1081717 commodities, 1117 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1117, capped_arcs=18961)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
    1          inf         -inf   3.5219e+04   2234   1117  1117      0      0      0      0   0.013   0.192   0.002   0.207
    2          inf         -inf   3.3149e+05   2234   1117   959      0      0      0      0   0.001   0.183   0.002   0.186
    3          inf         -inf   2.1109e+06   2234   1117   447      0      0      0      0   0.001   0.199   0.004   0.204
    4          inf         -inf   5.1112e+06   2234   1589    12      0      0    472      0   0.001   0.192   0.021   0.214
    5          inf         -inf   8.7293e+06   3325   1589   592   1091      0      0      0   1.187   0.119   0.013   1.553
    6          inf         -inf   2.1593e+07   4440   1589   565   1115      0      0      0   1.653   0.114   0.010   1.941
    7          inf         -inf   4.8568e+07   5555   1592   442   1115      0      3      0   1.844   0.101   0.019   2.118
    8          inf         -inf   1.0469e+08   6670   1609   445   1115      0     17      0   2.847   0.119   0.037   3.168
    9          inf         -inf   1.9949e+08   7785   1660   368   1115      0     51      0   3.504   0.122   0.051   3.827
   10          inf         -inf   3.1136e+08   8833   1303   250   1117     69     21    378   3.588   0.100   0.040   3.997
   11          inf         -inf   3.7755e+08   9574   1379   112   1115    374     78      2   0.590   0.099   0.028   0.883
   12          inf         -inf   3.9304e+08  10076   1379   167   1117    615      9      9   1.081   0.113   0.035   1.495
   13          inf         -inf   3.5461e+08   9927   1404    80   1117   1266     29      4   1.534   0.107   0.023   1.825
   14          inf         -inf   3.0159e+08  10026   1442    37   1117   1018     53     15   1.823   0.128   0.046   2.295
   15          inf         -inf   2.1804e+08  10010   1474    34   1117   1133     74     42   1.569   0.100   0.039   1.923
   16          inf         -inf   1.7496e+08  10182   1501    23   1115    943     28      1   3.413   0.116   0.049   3.808
   17          inf         -inf   1.7963e+08  10253   1492    20   1116   1045     11     20   3.311   0.110   0.049   3.657
   18          inf         -inf   1.4981e+08  10152   1521    15   1117   1218     30      1   3.819   0.092   0.035   4.219
   19          inf         -inf   1.3606e+08  10502   1532    14   1115    765     18      7   3.063   0.103   0.048   3.418
   20          inf         -inf   1.1995e+08  10556   1525    14   1115   1061      9     16   3.702   0.110   0.039   4.030
   21          inf         -inf   9.8272e+07  10307   1513    10   1117   1366      3     15   4.104   0.100   0.071   4.579
   22          inf         -inf   7.9691e+07  10078   1409     8   1115   1344     13    117   2.807   0.124   0.031   3.211
