# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Barcelona_net.tntp.gz --solver mosek --formulation tree --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Barcelona_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Barcelona_trips.tntp.gz coef=5050.0
Instance: 1020 vertices, 2522 arcs, 7922 commodities, 97 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=97, capped_arcs=2522)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
    1          inf         -inf   2.3756e+02    194    227     0      0      0    130      0   0.007   0.003   0.000   0.010
    2          inf         -inf   1.4151e+03    290    227    26     96      0      0      0   0.003   0.001   0.000   0.006
    3          inf         -inf   3.8357e+03    385    230    37     95      0      3      0   0.014   0.001   0.000   0.016
    4          inf         -inf   8.5734e+03    480    233    39     95      0      3      0   0.016   0.001   0.000   0.019
    5          inf         -inf   8.4091e+03    576    254    11     96      0     21      0   0.022   0.001   0.000   0.024
    6          inf         -inf   4.4248e+03    672    262     9     96      0      8      0   0.027   0.001   0.000   0.030
    7          inf         -inf   1.1533e+04    761    215     2     96      7     14     61   0.033   0.001   0.000   0.036
    8   2.4862e+02   2.0771e+02   2.4862e+02    810    214     0     95     46      0      1   0.020   0.001   0.000   0.023
    9   2.4862e+02   2.0771e+02   2.4706e+02    854    219     0     93     49      6      1   0.020   0.001   0.000   0.023
   10   2.4862e+02   2.0771e+02   2.4609e+02    899    217     0     87     42      4      6   0.023   0.001   0.000   0.026
   11   2.4862e+02   2.0771e+02   2.4569e+02    901    208     0     85     83      3     12   0.026   0.001   0.000   0.029
   12   2.4862e+02   2.0771e+02   2.4499e+02    907    211     0     82     76      9      6   0.019   0.001   0.001   0.022
   13   2.4472e+02   2.4116e+02   2.4472e+02    861    202     0     80    126      0      9   0.023   0.001   0.000   0.025
   14   2.4435e+02   2.4231e+02   2.4435e+02    841    199     0     75     95      0      3   0.022   0.001   0.000   0.025
   15   2.4435e+02   2.4231e+02   2.4413e+02    808    196     0     69    102      3      6   0.019   0.002   0.000   0.022
   16   2.4401e+02   2.4267e+02   2.4401e+02    801    195     0     68     75      0      1   0.017   0.001   0.000   0.020
   17   2.4389e+02   2.4279e+02   2.4389e+02    772    190     0     63     92      0      5   0.018   0.001   0.000   0.021
   18   2.4389e+02   2.4279e+02   2.4385e+02    757    188     0     59     74      2      4   0.018   0.001   0.000   0.021
   19   2.4376e+02   2.4293e+02   2.4376e+02    726    184     0     58     89      0      4   0.019   0.001   0.000   0.021
   20   2.4376e+02   2.4293e+02   2.4370e+02    701    185     0     45     70      1      0   0.018   0.001   0.000   0.021
   21   2.4367e+02   2.4324e+02   2.4367e+02    671    181     0     40     70      0      4   0.017   0.001   0.000   0.019
   22   2.4367e+02   2.4324e+02   2.4362e+02    652    181     0     43     62      1      1   0.019   0.001   0.000   0.021
   23   2.4367e+02   2.4324e+02   2.4358e+02    648    183     0     51     55      2      0   0.018   0.001   0.000   0.020
   24   2.4356e+02   2.4333e+02   2.4356e+02    610    182     0     31     69      0      1   0.017   0.001   0.000   0.019
   25   2.4354e+02   2.4333e+02   2.4354e+02    580    182     0     32     62      0      0   0.020   0.001   0.000   0.022
   26   2.4354e+02   2.4333e+02   2.4353e+02    555    182     0     24     49      1      1   0.023   0.001   0.001   0.025
   27   2.4353e+02   2.4340e+02   2.4353e+02    523    182     0     14     46      0      0   0.019   0.001   0.000   0.022
   28   2.4352e+02   2.4342e+02   2.4352e+02    491    182     0      7     39      0      0   0.017   0.001   0.000   0.019
   29   2.4352e+02   2.4343e+02   2.4352e+02    451    181     0      2     42      0      1   0.016   0.001   0.000   0.018
   30   2.4352e+02   2.4343e+02   2.4352e+02    420    177     0      3     34      0      4   0.013   0.001   0.000   0.015
   31   2.4352e+02   2.4343e+02   2.4352e+02    389    176     0      2     33      0      1   0.011   0.001   0.000   0.013
   32   2.4352e+02   2.4343e+02   2.4352e+02    359    175     0      2     32      0      1   0.012   0.001   0.000   0.013
   33   2.4352e+02   2.4343e+02   2.4352e+02    339    175     0      1     21      0      0   0.010   0.001   0.000   0.011
   34   2.4352e+02   2.4343e+02   2.4352e+02    337    175     0      2      4      0      0   0.010   0.001   0.000   0.011
   35   2.4352e+02   2.4344e+02   2.4352e+02    337    175     0      0      0      0      0   0.010   0.002   0.000   0.012
CG optimal after 35 iterations. UB=243.517225 LB=243.438085 gap=7.914e-02 tol=2.435e-02  t_LP=0.617  t_PR=0.044  t_SP=0.011  t_Tot=0.704

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Barcelona_net.tntp.gz,tree,35,240,243.517225,243.438085,1,0.708,0.617,0.044,0.011
