# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz --solver mosek --formulation tree --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_trips.tntp.gz coef=0.5
Instance: 12981 vertices, 28376 arcs, 49688 commodities, 865 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=865, capped_arcs=28376)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
    1          inf         -inf   2.6017e+05   1730    865   853      0      0      0      0   0.007   0.057   0.002   0.067
    2          inf         -inf   2.4449e+06   1730    865   754      0      0      0      0   0.000   0.054   0.002   0.057
    3          inf         -inf   1.5789e+07   1730    891   303      0      0     26      0   0.000   0.053   0.003   0.056
    4          inf         -inf   4.0348e+07   2184   1138   237    454      0    247      0   0.016   0.027   0.003   0.054
    5          inf         -inf   1.0208e+08   2896   1185   376    712      0     47      0   0.113   0.033   0.003   0.160
    6          inf         -inf   2.3439e+08   3617   1257   292    750     29     72      0   0.125   0.039   0.004   0.181
    7          inf         -inf   3.1675e+08   4376   1307   221    759      0     50      0   0.173   0.041   0.006   0.231
    8          inf         -inf   2.4793e+08   5121   1356   129    745      0     49      0   0.253   0.030   0.005   0.300
    9          inf         -inf   1.6305e+08   5828   1403    53    757     50     47      0   0.328   0.044   0.006   0.395
   10          inf         -inf   7.7448e+07   6315   1413    23    728    241     42     32   0.357   0.045   0.006   0.425
   11          inf         -inf   6.6253e+07   6683   1444    15    723    355     32      1   0.381   0.047   0.007   0.453
   12          inf         -inf   3.2949e+07   6944   1477     2    733    472     53     20   0.503   0.042   0.007   0.571
   13          inf         -inf   4.5860e+07   7158   1485     3    700    486     12      4   0.498   0.043   0.008   0.566
   14          inf         -inf   2.9801e+07   7272   1477     1    711    597      6     14   0.512   0.042   0.008   0.579
   15          inf         -inf   2.8064e+07   7219   1456     0    676    729      2     23   0.454   0.043   0.007   0.522
   16          inf         -inf   2.7880e+07   7168   1446     0    675    726      6     16   0.394   0.044   0.007   0.463
   17          inf         -inf   2.7780e+07   7002   1442     0    644    810     11     15   0.415   0.043   0.008   0.482
   18          inf         -inf   2.7700e+07   6872   1388     0    647    777      2     56   0.400   0.035   0.007   0.459
   19          inf         -inf   2.7650e+07   6793   1383     0    606    685      4      9   0.343   0.042   0.007   0.408
   20          inf         -inf   2.7610e+07   6619   1366     0    595    769      7     24   0.376   0.040   0.008   0.441
   21          inf         -inf   2.7586e+07   6659   1355     0    599    559      2     13   0.349   0.043   0.007   0.413
   22   2.7568e+07   2.7438e+07   2.7568e+07   6601   1344     0    529    587      0     11   0.300   0.044   0.005   0.363
   23   2.7555e+07   2.7456e+07   2.7555e+07   6517   1334     0    461    545      0     10   0.295   0.034   0.005   0.347
   24   2.7555e+07   2.7456e+07   2.7545e+07   6546   1330     0    436    407      1      5   0.276   0.042   0.007   0.338
   25   2.7541e+07   2.7497e+07   2.7541e+07   6490   1321     0    426    482      0      9   0.294   0.041   0.005   0.353
   26   2.7541e+07   2.7497e+07   2.7537e+07   6478   1322     0    364    376      4      3   0.265   0.042   0.007   0.327
   27   2.7541e+07   2.7497e+07   2.7535e+07   6478   1324     0    372    372      3      1   0.258   0.041   0.007   0.321
   28   2.7532e+07   2.7517e+07   2.7532e+07   6429   1323     0    359    408      0      1   0.288   0.041   0.005   0.345
   29   2.7531e+07   2.7524e+07   2.7531e+07   6441   1321     0    382    370      0      2   0.246   0.042   0.005   0.306
   30   2.7530e+07   2.7524e+07   2.7530e+07   6499   1321     0    364    306      0      0   0.286   0.040   0.005   0.343
   31   2.7530e+07   2.7524e+07   2.7530e+07   6600   1322     0    359    258      1      0   0.308   0.044   0.007   0.373
   32   2.7529e+07   2.7527e+07   2.7529e+07   6600   1322     0   *299      0      0      0   0.290   0.031   0.005   0.327
CG optimal after 32 iterations. UB=27529307.070050 LB=27527138.020435 gap=2.169e+03 tol=2.753e+03  t_LP=9.103  t_PR=1.382  t_SP=0.185  t_Tot=11.078

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/BerlinCenter_net.tntp.gz,tree,32,5735,27529307.070050,27527138.020435,1,11.101,9.103,1.382,0.185
