# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz --solver mosek --formulation path --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Birmingham_trips.tntp.gz coef=0.9
Instance: 14639 vertices, 33937 arcs, 471637 commodities, 898 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=471637, capped_arcs=33937)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
    1          inf         -inf   2.1212e+05 473068 473068     0      0      0   1431      0   0.762   0.204   0.433   1.402
    2          inf         -inf   2.2151e+06 523068 473068  1431  50000      0      0      0  65.484   0.227   0.011  65.895
    3          inf         -inf   8.1599e+06 573692 473692   973  50000      0    624      0  71.602   0.185   0.322  72.246
    4          inf         -inf   1.8876e+07 623998 473998   959  50000      0    306      0 106.074   0.182   0.337 106.755
    5          inf         -inf   4.3304e+07 674121 474121   810  50000      0    123      0 117.570   0.193   0.371 118.247
    6          inf         -inf   8.3691e+06 724214 474214   390  50000      0     93      0 144.599   0.193   0.408 145.374
    7          inf         -inf   1.5614e+06 774282 474282    80  50000      0     68      0 122.996   0.192   0.488 123.829
    8          inf         -inf   2.2844e+05 801778 473998     5  50000  22220     28    312  90.066   0.188   0.491  91.110
    9          inf         -inf   2.1841e+05 833412 473603     0  50000  17971     21    416  73.086   0.172   0.412  73.992
   10          inf         -inf   2.1729e+05 866649 473368     0  50000  16528     27    262  68.900   0.180   0.400  69.814
   11          inf         -inf   2.1672e+05 892083 473007     0  50000  24205     27    388  57.303   0.160   0.385  58.179
   12          inf         -inf   2.1627e+05 892650 472814     0  50000  49240     37    230  48.165   0.150   0.308  48.951
   13          inf         -inf   2.1604e+05 859197 472726     0  50000  83365     44    132  48.234   0.142   0.287  48.991
   14          inf         -inf   2.1587e+05 841476 472667     0  50000  67662     27     86  46.320   0.138   0.259  47.026
   15          inf         -inf   2.1577e+05 832012 472662     0  50000  59459     32     37  46.929   0.137   0.242  47.605
   16          inf         -inf   2.1571e+05 826559 472653     0  50000  55444     33     42  43.760   0.120   0.247  44.422
   17          inf         -inf   2.1567e+05 802075 472636     0  27548  52015     27     44  43.630   0.107   0.244  44.237
   18          inf         -inf   2.1565e+05 763003 472621     0   9289  48346     12     27  43.613   0.099   0.222  44.149
   19          inf         -inf   2.1565e+05 722264 472602     0   3271  43991      1     20  40.128   0.103   0.214  40.646
   20          inf         -inf   2.1565e+05 678235 472580     0    545  44552      1     23  42.554   0.105   0.191  43.036
   21   2.1565e+05   2.1359e+05   2.1565e+05 635732 472554     0     83  42560      0     26  39.589   0.093   0.020  39.872
   22   2.1565e+05   2.1359e+05   2.1565e+05 603261 472535     0    486  32938      6     25  44.200   0.103   0.151  44.611
   23   2.1565e+05   2.1359e+05   2.1565e+05 584609 472527     0     78  18722      3     11  41.588   0.100   0.135  41.965
   24   2.1565e+05   2.1359e+05   2.1565e+05 575713 472519     0    690   9578      0      8  41.056   0.091   0.017  41.299
   25   2.1565e+05   2.1359e+05   2.1565e+05 575714 472520     0      0      0      1      0  43.034   0.188   0.123  43.349
   26   2.1565e+05   2.1360e+05   2.1565e+05 575714 472520     0      0      0      0      0  41.785   0.172   0.015  41.977
CG optimal after 26 iterations. UB=215647.762932 LB=213596.078427 gap=2.052e+03 tol=2.156e+01  t_LP=1573.029  t_PR=4.845  t_SP=6.734  t_Tot=1589.902

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz,path,26,574831,215647.762932,213596.078427,1,1590.189,1573.029,4.845,6.734
