# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz --solver mosek --formulation tree --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Birmingham_trips.tntp.gz coef=0.9
Instance: 14639 vertices, 33937 arcs, 471637 commodities, 898 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=898, capped_arcs=33937)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
    1          inf         -inf   1.8318e+03   1796    898   898      0      0      0      0   0.037   0.192   0.003   0.233
    2          inf         -inf   1.8243e+04   1796    898   886      0      0      0      0   0.001   0.188   0.003   0.192
    3          inf         -inf   1.1672e+05   1796   1216   246      0      0    318      0   0.000   0.190   0.008   0.199
    4          inf         -inf   2.3860e+05   2680   1456   360    884      0    240      0   0.221   0.110   0.006   0.455
    5          inf         -inf   5.7122e+05   3578   1509   452    898      0     53      0   0.455   0.107   0.010   0.696
    6          inf         -inf   1.3369e+06   4470   1650   347    898      6    141      0   0.617   0.105   0.015   0.882
    7          inf         -inf   2.4450e+06   5368   1785   309    898      0    135      0   1.190   0.105   0.023   1.450
    8          inf         -inf   3.9696e+06   6266   1946   245    898      0    161      0   1.996   0.100   0.026   2.251
    9          inf         -inf   5.4951e+06   7055   2072   186    898    109    232    106   2.825   0.109   0.038   3.145
   10          inf         -inf   4.1848e+06   7367   2156   145    898    586    161     77   3.631   0.105   0.036   3.946
   11          inf         -inf   3.0007e+06   7740   2303    74    898    525    167     20   4.014   0.108   0.036   4.333
   12          inf         -inf   2.0781e+06   8016   2404    54    898    622    150     49   6.738   0.104   0.044   7.063
   13          inf         -inf   2.2066e+05   8305   2458     0    898    609    102     48   9.843   0.103   0.047  10.172
   14          inf         -inf   2.1939e+05   8613   2421     0    898    590     38     75   8.102   0.104   0.045   8.437
   15          inf         -inf   2.1846e+05   8885   2372     0    898    626     30     79   6.822   0.102   0.046   7.156
   16          inf         -inf   2.1778e+05   9055   2312     0    898    728     28     88   7.491   0.103   0.046   7.826
   17          inf         -inf   2.1725e+05   9037   2264     0    898    916     30     78   6.833   0.103   0.050   7.170
   18          inf         -inf   2.1688e+05   8832   2180     0    898   1103     28    112   6.532   0.108   0.047   6.865
   19          inf         -inf   2.1661e+05   8592   2109     0    898   1138     22     93   5.354   0.100   0.044   5.676
   20          inf         -inf   2.1636e+05   8400   2069     0    898   1090     19     59   4.925   0.102   0.045   5.248
   21          inf         -inf   2.1619e+05   8426   2012     0    898    872     15     72   4.966   0.101   0.043   5.283
   22          inf         -inf   2.1606e+05   8537   2000     0    897    786     23     35   4.787   0.101   0.043   5.097
   23          inf         -inf   2.1596e+05   8557   1965     0    898    878     16     51   5.221   0.105   0.044   5.540
   24          inf         -inf   2.1589e+05   8588   1957     0    897    866     27     35   4.357   0.101   0.044   4.672
   25          inf         -inf   2.1583e+05   8567   1930     0    898    919     19     46   4.869   0.104   0.042   5.194
   26          inf         -inf   2.1578e+05   8602   1918     0    897    862     18     30   4.994   0.108   0.042   5.315
   27          inf         -inf   2.1575e+05   8667   1923     0    897    832     20     15   4.664   0.108   0.048   4.990
   28          inf         -inf   2.1573e+05   8685   1900     0    897    879     12     35   4.662   0.105   0.044   4.982
   29          inf         -inf   2.1571e+05   8803   1888     0    895    777      5     17   4.276   0.107   0.042   4.593
   30          inf         -inf   2.1569e+05   8847   1868     0    893    849      8     28   5.140   0.106   0.044   5.459
   31          inf         -inf   2.1568e+05   8887   1862     0    893    853     11     17   4.237   0.103   0.043   4.551
   32          inf         -inf   2.1567e+05   8968   1846     0    886    805      9     25   4.129   0.099   0.042   4.439
   33          inf         -inf   2.1566e+05   9038   1830     0    877    807      3     19   4.610   0.099   0.042   4.921
   34          inf         -inf   2.1566e+05   9134   1830     0    861    765      9      9   3.811   0.103   0.043   4.127
   35          inf         -inf   2.1565e+05   9269   1826     0    852    717     10     14   4.028   0.102   0.044   4.344
   36          inf         -inf   2.1565e+05   9155   1823     0    810    924      8     11   3.801   0.105   0.045   4.118
   37          inf         -inf   2.1565e+05   9337   1822     0    780    598      7      8   4.906   0.104   0.043   5.214
   38          inf         -inf   2.1565e+05   9405   1824     0    724    656      7      5   3.912   0.107   0.044   4.226
   39          inf         -inf   2.1565e+05   9574   1821     0    635    466      4      7   4.074   0.103   0.044   4.375
   40          inf         -inf   2.1565e+05   9768   1823     0    490    296      7      5   4.466   0.098   0.049   4.772
   41          inf         -inf   2.1565e+05   9850   1822     0    411    329      4      5   4.518   0.097   0.046   4.800
   42          inf         -inf   2.1565e+05   9955   1823     0    324    219      3      2   4.038   0.096   0.046   4.312
   43          inf         -inf   2.1565e+05   9428   1816     0    227    754      1      8   5.643   0.097   0.047   5.914
   44          inf         -inf   2.1565e+05   9314   1811     0    144    258     10     15   5.057   0.091   0.045   5.302
   45          inf         -inf   2.1565e+05   9291   1810     0     54     77      9     10   4.160   0.097   0.045   4.399
   46          inf         -inf   2.1565e+05   9044   1806     0    131    378      3      7   3.909   0.099   0.050   4.167
   47          inf         -inf   2.1565e+05   9054   1811     0     81     71      6      1   4.964   0.097   0.044   5.203
   48          inf         -inf   2.1565e+05   9375   1806     0    357     36      2      7   4.748   0.101   0.043   5.016
   49          inf         -inf   2.1565e+05   9379   1805     0     43     39      1      2   3.767   0.104   0.041   4.007
   50          inf         -inf   2.1565e+05   9180   1798     0     13    212      2      9   4.144   0.106   0.042   4.387
   51          inf         -inf   2.1565e+05   9154   1796     0     16     42      8     10   4.097   0.099   0.040   4.327
   52          inf         -inf   2.1565e+05   9147   1803     0      5     12     10      3   4.555   0.101   0.040   4.785
   53          inf         -inf   2.1565e+05   9064   1799     0      6     89      3      7   3.813   0.101   0.041   4.046
   54          inf         -inf   2.1564e+05   8796   1804     0     22    290      7      2   4.236   0.102   0.041   4.471
   55          inf         -inf   2.1565e+05   8776   1806     0      1     21      2      0   4.055   0.096   0.040   4.274
   56   2.1565e+05   2.1353e+05   2.1565e+05   8789   1805     0     19      6      0      1   3.991   0.090   0.022   4.173
   57   2.1565e+05   2.1360e+05   2.1565e+05   8789   1805     0      0      0      0      0   3.807   0.193   0.018   4.018
CG optimal after 57 iterations. UB=215645.146205 LB=213604.097195 gap=2.041e+03 tol=2.156e+01  t_LP=241.041  t_PR=6.417  t_SP=2.187  t_Tot=257.439

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Birmingham_net.tntp.gz,tree,57,7891,215645.146205,213604.097195,1,257.611,241.041,6.417,2.187
