# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz --solver mosek --formulation tree --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_trips.tntp.gz coef=4.1
Instance: 12982 vertices, 39018 arcs, 2297945 commodities, 1771 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1771, capped_arcs=39018)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
    1          inf         -inf   2.1129e+04   3542   1771  1757      0      0      0      0   0.014   0.412   0.003   0.429
    2          inf         -inf   2.0846e+05   3542   1771  1717      0      0      0      0   0.001   0.401   0.003   0.405
    3          inf         -inf   1.8320e+06   3542   1771  1324      0      0      0      0   0.001   0.433   0.005   0.438
    4          inf         -inf   5.3729e+06   3542   2014    24      0      0    243      0   0.001   0.413   0.015   0.429
    5          inf         -inf   7.6699e+06   5301   2025   567   1759      0     11      0   0.280   0.213   0.011   0.783
    6          inf         -inf   1.5956e+07   7060   2028   587   1759      0      3      0   0.359   0.207   0.017   0.868
    7          inf         -inf   2.6328e+07   8819   2031   510   1759      0      3      0   0.760   0.208   0.024   1.268
    8          inf         -inf   3.6796e+07  10579   2059   315   1760      0     28      0   0.565   0.205   0.031   1.081
    9          inf         -inf   5.3477e+07  12337   2071   291   1758      0     12      0   0.962   0.203   0.036   1.499
   10          inf         -inf   4.8320e+07  14022   2005   182   1767     82     14     80   0.950   0.202   0.043   1.574
   11          inf         -inf   5.5384e+06  15001   2070     1   1763    784     68      3   0.821   0.203   0.057   1.432
   12          inf         -inf   2.6965e+07  15882   2078   106   1762    881     10      2   1.700   0.210   0.059   2.324
   13          inf         -inf   1.0667e+07  16619   2083     6   1759   1022      7      2   1.441   0.204   0.061   2.071
   14          inf         -inf   5.5246e+06  17138   2082     0   1758   1239      8      9   1.323   0.204   0.059   1.939
   15          inf         -inf   5.5214e+06  17695   2083     0   1754   1197      7      6   1.454   0.204   0.061   2.072
   16          inf         -inf   5.5192e+06  17847   2074     0   1754   1602      2     11   1.295   0.204   0.064   1.914
   17          inf         -inf   5.5178e+06  18086   2049     0   1754   1515      4     29   1.464   0.207   0.066   2.085
   18          inf         -inf   5.5169e+06  17211   2033     0   1751   2626      2     18   1.368   0.205   0.064   2.018
   19   5.5161e+06   5.5091e+06   5.5161e+06  16642   2018     0   1749   2318      0     15   1.243   0.203   0.052   1.844
   20   5.5161e+06   5.5091e+06   5.5150e+06  16748   2014     0   1751   1645      4      8   1.169   0.205   0.057   1.772
   21   5.5161e+06   5.5091e+06   5.5146e+06  17225   2012     0   1743   1266      3      5   1.213   0.216   0.065   1.830
   22   5.5161e+06   5.5091e+06   5.5143e+06  17505   2010     0   1741   1461      1      3   1.251   0.203   0.065   1.863
   23   5.5161e+06   5.5091e+06   5.5140e+06  17586   2009     0   1733   1652      3      4   1.301   0.201   0.061   1.910
   24   5.5161e+06   5.5091e+06   5.5139e+06  18264   2004     0   1727   1049      1      6   1.118   0.199   0.062   1.721
   25   5.5161e+06   5.5091e+06   5.5137e+06  17840   2004     0   1732   2156      2      2   1.166   0.201   0.065   1.793
   26   5.5161e+06   5.5091e+06   5.5136e+06  18640   2005     0   1711    911      2      1   1.266   0.202   0.062   1.867
   27   5.5161e+06   5.5091e+06   5.5135e+06  19553   2005     0   1722    809      1      1   1.359   0.211   0.069   2.026
   28   5.5134e+06   5.5117e+06   5.5134e+06  20324   2004     0   1714    943      0      1   1.461   0.210   0.059   2.121
   29   5.5134e+06   5.5117e+06   5.5133e+06  20962   2004     0   1694   1056      1      1   1.483   0.211   0.073   2.173
   30   5.5134e+06   5.5117e+06   5.5133e+06  21994   2005     0   1684    652      1      0   1.526   0.214   0.073   2.240
   31   5.5134e+06   5.5117e+06   5.5133e+06  23111   2007     0   1686    569      2      0   3.176   0.212   0.076   3.923
