# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Philadelphia_net.tntp.gz --solver mosek --formulation path --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Philadelphia_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Philadelphia_trips.tntp.gz coef=7.0
Instance: 13389 vertices, 40003 arcs, 1151166 commodities, 1489 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=1151166, capped_arcs=40003)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
    1          inf         -inf   2.5101e+07 1152093 1152093     0      0      0    927      0   2.569   0.346   1.146   4.070
    2          inf         -inf   6.9281e+07 1202093 1152093   927  50000      0      0      0 176.605   0.468   0.025 177.290
    3          inf         -inf   3.2271e+08 1252148 1152148   755  50000      0     55      0 194.870   0.345   0.572 195.967
    4          inf         -inf   2.3270e+09 1302189 1152189   724  50000      0     41      0 153.282   0.351   0.598 154.398
    5          inf         -inf   1.8371e+10 1352206 1152206   794  50000      0     17      0 170.343   0.356   0.616 171.471
    6          inf         -inf   1.4127e+11 1402230 1152230   838  50000      0     24      0 164.039   0.360   0.628 165.169
    7          inf         -inf   1.0876e+12 1452363 1152363   894  50000      0    133      0 177.383   0.346   0.733 178.600
    8          inf         -inf   1.0915e+12 1452419 1152419   701  50000  50000     56      0 171.093   0.358   0.750 172.616
    9          inf         -inf   7.7062e+11 1452614 1152439   577  50000  49825     20      0 150.390   0.359   0.675 151.846
   10          inf         -inf   5.5751e+11 1453423 1152462   481  50000  49214     23      0 159.650   0.352   0.638 161.057
   11          inf         -inf   3.8595e+11 1454919 1152479   416  50000  48521     17      0 168.150   0.337   0.596 169.466
   12          inf         -inf   1.5649e+11 1458537 1152484   239  50000  46387      5      0 165.849   0.325   0.586 167.139
   13          inf         -inf   5.1553e+10 1474845 1152488   108  50000  33696      4      0 170.744   0.337   0.551 172.034
   14          inf         -inf   1.0992e+10 1512834 1152489    35  50000  12012      1      0 154.089   0.348   0.552 155.384
   15   2.6015e+07   2.4735e+07   2.6015e+07 1558923 1152489     0  50000   3911      0      0 113.963   0.340   0.041 114.805
   16   2.6015e+07   2.4735e+07   2.5952e+07 1606285 1152491     0  50000   2640      2      0 114.734   0.360   0.639 116.182
   17   2.5905e+07   2.4979e+07   2.5905e+07 1650995 1152491     0  50000   5290      0      0 123.875   0.358   0.047 124.748
   18   2.5905e+07   2.4979e+07   2.5866e+07 1699515 1152483     0  50000   1472      1      9 126.213   0.368   0.732 127.894
   19   2.5905e+07   2.4979e+07   2.5826e+07 1745642 1152323     0  50000   3713      3    163 114.977   0.380   0.767 116.740
   20   2.5905e+07   2.4979e+07   2.5799e+07 1607664 1151641     0  50000 187296      6    688 112.733   0.374   0.753 114.542
   21   2.5905e+07   2.4979e+07   2.5770e+07 1601605 1151663     0  50000  56081     29      7  75.076   0.365   0.379  76.370
   22   2.5905e+07   2.4979e+07   2.5755e+07 1597537 1151681     0  50000  54086     22      4  81.781   0.366   0.377  83.076
   23   2.5905e+07   2.4979e+07   2.5743e+07 1591304 1151692     0  50000  56244     12      1  80.484   0.371   0.382  81.793
   24   2.5905e+07   2.4979e+07   2.5726e+07 1581808 1151704     0  50000  59508     20      8  83.363   0.383   0.392  84.674
   25   2.5905e+07   2.4979e+07   2.5711e+07 1579200 1151712     0  50000  52616     16      8  82.109   0.357   0.395  83.396
   26   2.5905e+07   2.4979e+07   2.5696e+07 1577672 1151714     0  50000  51530     12     10  87.111   0.370   0.406  88.427
   27   2.5905e+07   2.4979e+07   2.5683e+07 1580017 1151724     0  50000  47665     15      5  91.158   0.372   0.418  92.494
   28   2.5905e+07   2.4979e+07   2.5671e+07 1585475 1151733     0  50000  44551     17      8  91.092   0.374   0.419  92.424
   29   2.5905e+07   2.4979e+07   2.5662e+07 1586848 1151739     0  50000  48633     12      6  84.641   0.368   0.450  86.010
   30   2.5905e+07   2.4979e+07   2.5652e+07 1589204 1151740     0  50000  47645      9      8  89.759   0.371   0.435  91.102
   31   2.5905e+07   2.4979e+07   2.5642e+07 1590680 1151745     0  50000  48529     13      8  89.362   0.355   0.446  90.707
   32   2.5905e+07   2.4979e+07   2.5633e+07 1591474 1151755     0  50000  49216     14      4  89.799   0.364   0.454  91.167
   33   2.5905e+07   2.4979e+07   2.5626e+07 1592177 1151759     0  50000  49301      8      4  89.047   0.352   0.451  90.390
   34   2.5905e+07   2.4979e+07   2.5619e+07 1590643 1151759     0  50000  51534      8      8  88.904   0.352   0.466  90.250
   35   2.5905e+07   2.4979e+07   2.5613e+07 1597770 1151761     1  50000  42875      7      5  92.128   0.346   0.466  93.472
   36   2.5905e+07   2.4979e+07   2.5607e+07 1604396 1151762     0  50000  43375      7      6  89.933   0.332   0.478  91.271
   37   2.5905e+07   2.4979e+07   2.5602e+07 1606765 1151758     0  50000  47627      4      8  87.176   0.329   0.476  88.512
   38   2.5905e+07   2.4979e+07   2.5597e+07 1612604 1151762     0  50000  44165     12      8  85.705   0.335   0.488  87.069
   39   2.5905e+07   2.4979e+07   2.5594e+07 1617070 1151757     0  50000  45529      4      9  87.930   0.321   0.469  89.283
   40   2.5905e+07   2.4979e+07   2.5591e+07 1622041 1151764     0  50000  45036     10      3  89.213   0.302   0.475  90.527
   41   2.5905e+07   2.4979e+07   2.5588e+07 1614490 1151769     0  50000  57556     10      5  88.838   0.304   0.477  90.156
   42   2.5905e+07   2.4979e+07   2.5585e+07 1610386 1151772     0  50000  54107      6      3  83.875   0.290   0.479  85.181
   43   2.5905e+07   2.4979e+07   2.5584e+07 1642342 1151772    10  50000  18044      4      4  81.176   0.288   0.496  82.471
   44   2.5905e+07   2.4979e+07   2.5581e+07 1678392 1151779     0  50000  13957      8      1  88.738   0.288   0.498  90.058
   45   2.5905e+07   2.4979e+07   2.5581e+07 1718617 1151779     1  50000   9775      3      3  95.885   0.259   0.511  97.186
   46   2.5905e+07   2.4979e+07   2.5579e+07 1760795 1151781     0  50000   7824      6      4  95.473   0.268   0.534  96.845
   47   2.5905e+07   2.4979e+07   2.5579e+07 1809642 1151780     9  50000   1152      2      3  91.042   0.270   0.591  92.474
   48   2.5905e+07   2.4979e+07   2.5578e+07 1850724 1151783     0  50000   8921      4      1  99.548   0.225   0.587 100.968
   49   2.5578e+07   2.5571e+07   2.5578e+07 1897127 1151780     0  50000   3594      0      3 113.763   0.190   0.050 114.607
   50   2.5578e+07   2.5571e+07   2.5578e+07 1946987 1151778     0  50000    138      0      2 122.059   0.192   0.061 122.927
   51   2.5577e+07   2.5572e+07   2.5577e+07 1993024 1151776     0  50000   3961      0      2 109.131   0.170   0.051 110.005
   52   2.5577e+07   2.5572e+07   2.5577e+07 2039766 1151775     0  46743      0      0      1  96.802   0.163   0.054  97.271
   53   2.5577e+07   2.5572e+07   2.5577e+07 2038192 1151769     0    301   1869      0      6 113.353   0.164   0.058 114.117
   54   2.5577e+07   2.5572e+07   2.5577e+07 2038236 1151769     0     44      0      0      0 110.521   0.164   0.054 110.757
   55   2.5577e+07   2.5572e+07   2.5577e+07 2038276 1151769     0     40      0      0      0 101.382   0.161   0.054 101.615
   56   2.5577e+07   2.5572e+07   2.5577e+07 2038281 1151769     0      5      0      0      0 117.365   0.162   0.055 117.600
   57   2.5577e+07   2.5572e+07   2.5577e+07 2038282 1151769     0      1      0      0      0 116.730   0.161   0.054 116.964
   58   2.5577e+07   2.5572e+07   2.5577e+07 2038282 1151769     0      0      0      0      0 108.862   0.319   0.055 109.253
CG optimal after 58 iterations. UB=25577427.241198 LB=25572047.303721 gap=5.380e+03 tol=2.558e+03  t_LP=6455.861  t_PR=20.837  t_SP=25.084  t_Tot=6526.850

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Philadelphia_net.tntp.gz,path,58,2037679,25577427.241198,25572047.303721,1,6527.836,6455.861,20.837,25.084
