# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Philadelphia_net.tntp.gz --solver mosek --formulation tree --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Philadelphia_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Philadelphia_trips.tntp.gz coef=7.0
Instance: 13389 vertices, 40003 arcs, 1151166 commodities, 1489 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1489, capped_arcs=40003)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
    1          inf         -inf   2.6999e+04   2978   1489  1489      0      0      0      0   0.012   0.354   0.003   0.370
    2          inf         -inf   2.6971e+05   2978   1489  1485      0      0      0      0   0.001   0.348   0.003   0.352
    3          inf         -inf   2.6695e+06   2978   1489  1438      0      0      0      0   0.001   0.364   0.003   0.368
    4          inf         -inf   1.7209e+07   2978   1625   442      0      0    136      0   0.001   0.362   0.010   0.373
    5          inf         -inf   3.7087e+07   4454   1736   836   1476      0    111      0   0.185   0.184   0.009   0.565
    6          inf         -inf   1.1360e+08   5902   1795   740   1489     41     59      0   0.492   0.182   0.013   0.890
    7          inf         -inf   2.9689e+08   7391   1812   727   1489      0     17      0   0.871   0.183   0.020   1.260
    8          inf         -inf   6.7126e+08   8880   1840   556   1489      0     28      0   1.081   0.181   0.023   1.474
    9          inf         -inf   9.1306e+08  10369   1900   352   1489      0     60      0   1.373   0.179   0.031   1.781
   10          inf         -inf   7.5521e+08  11338   1982   176   1489    520    115     33   2.132   0.178   0.043   2.602
   11          inf         -inf   6.7584e+08  11880   2049   165   1489    947     84     17   2.668   0.176   0.045   3.140
   12          inf         -inf   3.7574e+08  12401   2101    74   1489    968     63     11   2.804   0.192   0.048   3.300
   13          inf         -inf   1.6216e+08  12867   2172    29   1489   1023     77      6   3.911   0.177   0.058   4.409
   14          inf         -inf   4.1124e+07  13404   2232     5   1489    952     69      9   5.978   0.177   0.056   6.479
   15          inf         -inf   2.8024e+07  13777   2277     3   1489   1116     53      8   6.157   0.180   0.061   6.681
   16          inf         -inf   2.8195e+07  14089   2272     1   1489   1177     16     21   7.372   0.178   0.063   7.891
   17          inf         -inf   2.5838e+07  14437   2258     0   1489   1141      7     21   6.423   0.178   0.062   6.939
   18          inf         -inf   2.5778e+07  14760   2262     0   1489   1166     22     18   6.351   0.179   0.061   6.869
   19          inf         -inf   2.5734e+07  14841   2260     0   1489   1408     15     17   6.610   0.178   0.067   7.128
   20          inf         -inf   2.5704e+07  14536   2252     0   1489   1794     16     24   6.040   0.176   0.066   6.543
   21          inf         -inf   2.5681e+07  13885   2215     0   1489   2140      4     41   5.881   0.176   0.063   6.381
