# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/grid/grid10 --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 625 vertices, 2400 arcs, 2000 commodities, 593 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=593, capped_arcs=2400)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   1.6221e+08   5.9300e+04   1186    593   593      0      0      0      0   0.012   0.004   0.000   0.016     0.016
    2          inf   1.6221e+08   5.9300e+05   1186    593   593      0      0      0      0   0.000   0.004   0.000   0.004     0.021
    3          inf   1.6221e+08   5.9216e+06   1186    593   590      0      0      0      0   0.000   0.004   0.000   0.004     0.025
    4          inf   1.6221e+08   5.5288e+07   1186    593   495      0      0      0      0   0.000   0.003   0.000   0.004     0.029
    5          inf   1.6221e+08   1.6218e+08   1186    911     1      0      0    318      0   0.000   0.003   0.001   0.004     0.033
    6          inf   1.6221e+08   2.8039e+08   1706    911   271    520      0      0      0   0.104   0.002   0.000   0.108     0.142
    7          inf   1.6221e+08   7.6444e+08   2249    914   298    543      0      3      0   0.120   0.002   0.001   0.124     0.266
    8          inf   1.6221e+08   1.3568e+09   2801    929   209    552      0     15      0   0.137   0.002   0.001   0.141     0.407
    9          inf   1.6221e+08   1.4291e+09   3362    962   165    561      0     33      0   0.149   0.002   0.001   0.154     0.560
   10          inf   1.6221e+08   1.0131e+09   3921   1011   104    559      0     49      0   0.188   0.002   0.001   0.193     0.753
   11          inf   1.6221e+08   1.6542e+08   4398   1073     0    559     82     62      0   0.274   0.004   0.001   0.281     1.034
   12          inf   1.6244e+08   1.6469e+08   4653   1107     0    543    288     34      0   0.239   0.002   0.001   0.244     1.279
   13          inf   1.6329e+08   1.6452e+08   4918   1121     0    537    272     14      0   0.249   0.002   0.002   0.256     1.535
   14          inf   1.6368e+08   1.6441e+08   5133   1131     0    519    304     10      0   0.254   0.002   0.001   0.260     1.795
   15          inf   1.6374e+08   1.6432e+08   5298   1067     0    508    343      7     71   0.277   0.002   0.002   0.284     2.079
   16          inf   1.6379e+08   1.6425e+08   5332   1067     0    504    470     12     12   0.271   0.003   0.001   0.279     2.358
   17          inf   1.6395e+08   1.6421e+08   5129   1047     0    494    697      5     25   0.245   0.002   0.001   0.252     2.610
   18          inf   1.6397e+08   1.6418e+08   5060   1030     0    483    552      6     23   0.240   0.002   0.001   0.247     2.856
   19          inf   1.6400e+08   1.6415e+08   4973   1024     0    441    528      9     15   0.217   0.002   0.001   0.223     3.079
   20          inf   1.6403e+08   1.6414e+08   4911   1021     0    438    500      4      7   0.206   0.002   0.001   0.212     3.291
   21          inf   1.6406e+08   1.6413e+08   4850   1023     0    438    499      7      5   0.267   0.002   0.001   0.273     3.563
   22          inf   1.6407e+08   1.6412e+08   4779   1028     0    412    483      6      1   0.230   0.002   0.001   0.237     3.800
   23          inf   1.6409e+08   1.6412e+08   4707   1026     0    373    445      1      3   0.250   0.002   0.001   0.256     4.056
   24          inf   1.6410e+08   1.6411e+08   4612   1027     0    352    447      3      2   0.245   0.002   0.001   0.251     4.308
   25          inf   1.6410e+08   1.6411e+08   4533   1020     0    324    403      1      8   0.249   0.002   0.001   0.255     4.563
   26          inf   1.6411e+08   1.6411e+08   4477   1015     0    292    348      1      6   0.250   0.002   0.001   0.256     4.818
   27          inf   1.6411e+08   1.6411e+08   4289   1013     0    152    340      1      3   0.285   0.002   0.001   0.290     5.108
   28          inf   1.6411e+08   1.6411e+08   4138   1010     0    150    301      2      5   0.254   0.002   0.001   0.259     5.367
   29          inf   1.6411e+08   1.6411e+08   3983   1010     0     58    213      2      2   0.229   0.002   0.001   0.234     5.601
   30   1.6411e+08   1.6411e+08   1.6411e+08   3983   1010     0    *27      0      0      0   0.238   0.002   0.000   0.240     5.841
CG optimal after 30 iterations. UB=164110882.188347 LB=164110693.854744 gap=1.883e+02 tol=1.641e+04  t_LP=5.680  t_PR=0.082  t_SP=0.029  t_Tot=5.849

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/commalab/grid/grid10,tree,30,3390,164110882.188347,164110693.854744,1,5.855,5.680,0.082,0.029
