# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/planar/planar150 --solver mosek --formulation tree --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 150 vertices, 850 arcs, 2239 commodities, 150 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=150, capped_arcs=850)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   4.6091e+08   2.8355e+07    300    150   150      0      0      0      0   0.009   0.001   0.000   0.010     0.010
    2          inf   4.6091e+08   2.7752e+08    300    150   137      0      0      0      0   0.000   0.001   0.000   0.001     0.011
    3          inf   4.6091e+08   4.6091e+08    300    366     0      0      0    216      0   0.000   0.001   0.000   0.001     0.012
    4          inf   4.6091e+08   1.9672e+09    447    366   120    147      0      0      0   0.036   0.000   0.000   0.037     0.050
    5          inf   4.6091e+08   1.1631e+10    597    366   109    150      0      0      0   0.036   0.000   0.000   0.037     0.087
    6          inf   4.6091e+08   3.5622e+10    747    370   103    150      0      4      0   0.034   0.001   0.000   0.035     0.122
    7          inf   4.6091e+08   6.3698e+10    897    372    88    150      0      2      0   0.036   0.000   0.000   0.037     0.159
    8          inf   4.6091e+08   5.5124e+10   1047    379    69    150      0      7      0   0.046   0.000   0.000   0.047     0.206
    9          inf   4.6091e+08   4.2550e+10   1131    394    55    150     66     15      0   0.048   0.000   0.000   0.049     0.255
   10          inf   4.6091e+08   3.5557e+10   1212    411    48    150     69     17      0   0.049   0.000   0.000   0.051     0.306
   11          inf   4.6091e+08   2.8457e+10   1256    420    35    150    106      9      0   0.070   0.000   0.000   0.072     0.378
   12          inf   4.6091e+08   2.0911e+10   1309    445    36    150     97     25      0   0.056   0.000   0.001   0.058     0.436
   13          inf   4.6091e+08   1.9028e+10   1358    454    29    150    101      9      0   0.072   0.000   0.000   0.073     0.510
   14          inf   4.6091e+08   1.3152e+10   1412    467    23    150     96     13      0   0.088   0.000   0.001   0.089     0.599
   15          inf   4.6091e+08   8.9930e+09   1458    481    19    150    104     14      0   0.098   0.000   0.001   0.100     0.699
   16          inf   4.6091e+08   3.0426e+09   1511    498     3    150     97     17      0   0.089   0.000   0.001   0.091     0.790
   17          inf   4.6091e+08   6.1059e+08   1519    508     0    150    142     10      0   0.143   0.000   0.001   0.145     0.934
   18          inf   4.6091e+08   5.9449e+08   1566    502     0    150    103      2      8   0.127   0.000   0.001   0.129     1.063
   19          inf   4.6091e+08   5.8844e+08   1588    501     0    150    128      4      5   0.114   0.000   0.001   0.116     1.179
   20          inf   4.6592e+08   5.8116e+08   1625    503     0    150    113      2      0   0.110   0.000   0.001   0.112     1.291
   21          inf   4.8005e+08   5.7592e+08   1641    471     0    150    134      1     33   0.121   0.000   0.001   0.123     1.415
   22          inf   4.9052e+08   5.7218e+08   1626    467     0    150    165      2      6   0.101   0.000   0.001   0.103     1.517
   23          inf   4.9752e+08   5.6828e+08   1565    454     0    150    211      5     18   0.101   0.000   0.001   0.103     1.620
   24          inf   5.0972e+08   5.6478e+08   1578    449     0    150    137      1      6   0.104   0.000   0.001   0.106     1.726
   25          inf   5.1498e+08   5.6278e+08   1579    433     0    150    149      4     20   0.095   0.000   0.001   0.097     1.823
   26          inf   5.2423e+08   5.6052e+08   1576    425     0    150    153      6     14   0.078   0.000   0.001   0.080     1.903
   27          inf   5.2973e+08   5.5871e+08   1567    416     0    150    159      4     13   0.070   0.000   0.001   0.072     1.974
   28          inf   5.3013e+08   5.5673e+08   1570    420     0    150    147      6      2   0.068   0.000   0.001   0.070     2.044
   29          inf   5.3013e+08   5.5517e+08   1572    417     0    150    148      3      6   0.082   0.000   0.001   0.085     2.129
   30          inf   5.3273e+08   5.5362e+08   1586    415     0    150    136      5      7   0.078   0.000   0.001   0.080     2.209
   31          inf   5.3504e+08   5.5262e+08   1591    414     0    150    145      2      3   0.073   0.000   0.001   0.075     2.284
   32          inf   5.3796e+08   5.5181e+08   1594    409     0    150    147      1      6   0.073   0.000   0.001   0.075     2.359
   33   5.5114e+08   5.3859e+08   5.5114e+08   1611    406     0    150    133      0      3   0.066   0.000   0.000   0.067     2.426
   34   5.5114e+08   5.4076e+08   5.5047e+08   1616    407     0    150    145      5      4   0.059   0.000   0.001   0.061     2.486
   35   5.5114e+08   5.4199e+08   5.4994e+08   1608    406     0    150    158      5      6   0.059   0.000   0.001   0.061     2.548
   36   5.5114e+08   5.4244e+08   5.4960e+08   1620    401     0    150    138      2      7   0.053   0.000   0.001   0.055     2.603
   37   5.5114e+08   5.4312e+08   5.4927e+08   1621    404     0    150    149      5      2   0.056   0.000   0.001   0.058     2.661
   38   5.4898e+08   5.4378e+08   5.4898e+08   1611    398     0    149    159      0      6   0.061   0.000   0.000   0.062     2.723
