# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/commalab/planar/planar2500 --solver mosek --formulation path --max-iters 10000 --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 2500 vertices, 12990 arcs, 81430 commodities, 2500 sources
Pricing threads: 32 (auto)
Slack mode: EdgeRows (struct=81430, capped_arcs=12990)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf   1.0946e+10   1.0946e+10  83123  83123     0      0      0   1693      0   0.145   0.108   0.201   0.454     0.454
    2          inf   1.0946e+10   2.9836e+12 133123  83123  1693  50000      0      0      0  11.785   0.070   0.003  11.926    12.380
    3          inf   1.0946e+10   2.3308e+10 184285  84285     7  50000      0   1162      0  16.138   0.076   0.195  16.563    28.943
    4          inf   1.0946e+10   1.1427e+12 234325  84325  1059  50000      0     40      0  25.856   0.073   0.238  26.322    55.264
    5          inf   1.0946e+10   5.3050e+12 284508  84508  1234  50000      0    183      0  27.183   0.076   0.313  27.675    82.940
    6          inf   1.0946e+10   2.3960e+12 334836  84836   516  50000      0    328      0  38.358   0.071   0.403  38.961   121.901
    7          inf   1.0946e+10   6.3166e+12 384888  84888   701  50000      0     52      0  47.082   0.070   0.501  47.769   169.670
    8          inf   1.0946e+10   2.9562e+12 399921  84948   433  50000  35027     60      0  49.979   0.071   0.580  50.821   220.491
    9          inf   1.0946e+10   5.3717e+11 410463  84965   171  50000  39475     17      0  57.076   0.076   0.565  57.911   278.402
   10          inf   1.0946e+10   1.3392e+10 417502  84973     0  50000  42969      8      0  50.633   0.074   0.589  51.511   329.914
   11          inf   1.1060e+10   1.3225e+10 430207  84982     0  50000  37304      9      0  42.467   0.067   0.624  43.369   373.282
   12          inf   1.1520e+10   1.3113e+10 438111  84984     0  50000  42098      2      0  41.976   0.073   0.622  42.872   416.154
   13          inf   1.1721e+10   1.3024e+10 444625  84987     0  50000  43489      3      0  39.292   0.075   0.622  40.187   456.341
   14          inf   1.1848e+10   1.2946e+10 444276  84700     0  50000  50062     10    297  39.268   0.063   0.673  40.240   496.580
   15          inf   1.2059e+10   1.2879e+10 430362  83336     0  50000  62550     15   1379  35.250   0.074   0.642  36.181   532.761
   16          inf   1.2160e+10   1.2826e+10 424707  83338     0  50000  55657     81     79  21.737   0.069   0.518  22.519   555.281
   17          inf   1.2257e+10   1.2788e+10 425746  83338     0  50000  48961     64     64  20.447   0.075   0.423  21.118   576.399
   18          inf   1.2329e+10   1.2752e+10 427509  83337     0  50000  48236     52     53  18.976   0.070   0.422  19.647   596.046
   19          inf   1.2413e+10   1.2728e+10 429945  83322     0  50000  47549     46     61  18.632   0.070   0.414  19.298   615.344
   20          inf   1.2475e+10   1.2710e+10 430666  83311     0  50000  49268     37     48  18.785   0.075   0.418  19.456   634.800
   21          inf   1.2523e+10   1.2695e+10 432535  83300     0  50000  48120     34     45  19.407   0.075   0.474  20.128   654.928
   22          inf   1.2552e+10   1.2684e+10 433198  83293     0  50000  49330     39     46  20.030   0.065   0.424  20.694   675.621
   23          inf   1.2584e+10   1.2677e+10 433342  83287     0  50000  49850     34     40  19.800   0.074   0.416  20.460   696.081
   24          inf   1.2608e+10   1.2671e+10 434352  83280     0  50000  48983     40     47  19.960   0.073   0.430  20.644   716.725
   25          inf   1.2628e+10   1.2667e+10 436178  83271     0  50000  48165     30     39  20.327   0.075   0.408  20.983   737.708
   26          inf   1.2638e+10   1.2665e+10 438280  83279     0  50000  47906     33     25  21.359   0.074   0.464  22.074   759.781
   27          inf   1.2650e+10   1.2663e+10 441935  83264     0  50000  46330     10     25  22.323   0.073   0.432  23.002   782.783
   28          inf   1.2657e+10   1.2663e+10 448592  83265     0  50000  43344     17     16  23.798   0.076   0.414  24.464   807.247
   29          inf   1.2661e+10   1.2662e+10 469394  83258     0  50000  29191      9     16  30.500   0.070   0.420  31.157   838.404
   30          inf   1.2662e+10   1.2662e+10 456456  83243     0  11231  24154      1     16  27.957   0.059   0.442  28.575   866.979
   31   1.2662e+10   1.2662e+10   1.2662e+10 456456  83243     0    *36      0      0      0  23.632   0.053   0.011  23.700   890.678
CG optimal after 31 iterations. UB=12662328106.926273 LB=12662325501.283211 gap=2.606e+03 tol=1.266e+06  t_LP=870.156  t_PR=2.418  t_SP=13.302  t_Tot=890.855

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/commalab/planar/planar2500,path,31,454643,12662328106.926273,12662325501.283211,1,891.051,870.156,2.418,13.302
