# cmd: /usr/bin/time -o /tmp/mcfcg_mem_4rkk0n_a.txt -f %M build/mcfcg_cli data/intermodal/BUS-18424-0.txt.gz --solver cuopt --formulation path --max-iters 10000 --strategy pricer-heavy --bounded-pricing --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1313548
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 151455 vertices, 1338522 arcs, 18388 commodities, 18388 sources
Solver: cuopt, formulation: path
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=18388, capped_arcs=1151624)
[lp-config] backend=cuopt version=26.8.0 method=barrier exec=GPU presolve=off crossover=off tol=0.0001 threads=n/a(GPU)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   4.7151e+05  36776  18454  1078      0      0     66      0   0.530   0.000   0.090   0.621     0.621
    2          inf         -inf   4.7582e+05  37645  18454  1435    869      0      0      0   0.110   0.127   0.088   0.327     0.948
    3          inf         -inf   4.8637e+05  37645  18497   112      0      0     43      0   0.144   0.000   0.089   0.234     1.182
    4          inf         -inf   4.8791e+05  38224  18497   230    579      0      0      0   0.129   0.127   0.089   0.347     1.528
    5          inf         -inf   4.9548e+05  38224  18504   102      0      0      7      0   0.139   0.000   0.089   0.228     1.757
    6          inf         -inf   4.9559e+05  38224  18510   113      0      0      6      0   0.139   0.000   0.089   0.229     1.986
    7          inf         -inf   4.9560e+05  38333  18487   115    109      0      0     23   0.138   0.054   0.091   0.284     2.270
    8          inf         -inf   5.0795e+05  38333  18489   105      0      0      2      0   0.148   0.000   0.089   0.238     2.507
    9          inf         -inf   5.0796e+05  38333  18490   106      0      0      1      0   0.172   0.000   0.089   0.262     2.770
   10          inf         -inf   5.0796e+05  38353  18446   106     20      0      0     44   0.159   0.038   0.090   0.288     3.058
   11          inf         -inf   5.2571e+05  38353  18452   117      0      0      6      0   0.140   0.000   0.095   0.236     3.294
   12          inf         -inf   5.2572e+05  38353  18453   116      0      0      1      0   0.193   0.000   0.093   0.287     3.580
   13          inf         -inf   5.2572e+05  38426  18444   116     73      0      0      9   0.137   0.046   0.089   0.274     3.854
   14          inf         -inf   5.1569e+05  38426  18455    65      0      0     11      0   0.185   0.000   0.091   0.277     4.131
   15          inf         -inf   5.1572e+05  38426  18456    73      0      0      1      0   0.140   0.000   0.090   0.231     4.362
   16          inf         -inf   5.1572e+05  38433  18454    74      7      0      0      2   0.188   0.046   0.090   0.325     4.687
   17          inf         -inf   6.0338e+05  38433  18457    65      0      0      3      0   0.145   0.000   0.090   0.236     4.922
   18          inf         -inf   6.0339e+05  38463  18452    65     30      0      0      5   0.151   0.042   0.089   0.283     5.205
   19          inf         -inf   6.4015e+05  38463  18457    71      0      0      5      0   0.148   0.000   0.088   0.236     5.442
   20          inf         -inf   6.4015e+05  38473  18444    71     10      0      0     13   0.145   0.040   0.088   0.274     5.716
   21          inf         -inf   6.8416e+05  38473  18449    67      0      0      5      0   0.187   0.000   0.091   0.279     5.995
   22          inf         -inf   6.8421e+05  38548  18446    68     75      0      0      3   0.148   0.055   0.090   0.294     6.289
   23          inf         -inf   5.7019e+05  38548  18455    44      0      0      9      0   0.153   0.000   0.093   0.247     6.536
   24          inf         -inf   5.7020e+05  38633  18453    47     85      0      0      2   0.177   0.054   0.092   0.325     6.861
   25          inf         -inf   5.9301e+05  38633  18456    27      0      0      3      0   0.203   0.000   0.091   0.295     7.156
   26          inf         -inf   5.9308e+05  38633  18457    30      0      0      1      0   0.149   0.000   0.091   0.240     7.395
   27          inf         -inf   5.9308e+05  38655  18450    30     22      0      0      7   0.210   0.047   0.094   0.353     7.748
   28          inf         -inf   8.7237e+05  38655  18456    28      0      0      6      0   0.199   0.000   0.090   0.289     8.038
   29          inf         -inf   8.7237e+05  38721  18453    29     66      0      0      3   0.173   0.048   0.089   0.311     8.348
   30          inf         -inf   1.2863e+06  38721  18454    27      0      0      1      0   0.200   0.000   0.091   0.292     8.640
   31          inf  -2.1896e+06   1.2863e+06  39242  18444    27    521      0      0     10   0.170   0.809   0.090   1.071     9.711
   32          inf  -2.1896e+06   4.8508e+05  39242  18456     0      0      0     12      0   0.128   0.000   0.090   0.218     9.930
   33          inf  -2.1896e+06   4.8511e+05  39242  18459     0      0      0      3      0   0.127   0.000   0.087   0.215    10.145
   34   4.8511e+05  -2.1896e+06   4.8511e+05  39249  18456     0      7      0      0      3   0.129   0.048   0.093   0.270    10.415
   35   4.8511e+05  -2.1896e+06   4.8511e+05  39249  18458     0      0      0      2      0   0.130   0.000   0.091   0.221    10.636
   36   4.8511e+05   4.8484e+05   4.8511e+05  39385  18454     0    136      0      0      4   0.136   0.766   0.091   0.995    11.631
   37   4.8511e+05   4.8484e+05   4.8502e+05  39385  18465     0      0      0     11      0   0.185   0.000   0.090   0.276    11.907
   38   4.8511e+05   4.8484e+05   4.8503e+05  39385  18467     0      0      0      2      0   0.130   0.000   0.089   0.220    12.127
   39   4.8503e+05   4.8502e+05   4.8503e+05  39385  18467     0    *11      0      0      0   0.176   0.790   0.088   1.053    13.180
CG optimal after 39 iterations. UB=485028.457988 LB=485021.056724 gap=7.401e+00 tol=4.850e+01  t_LP=6.488  t_PR=3.916  t_SP=3.519  t_Tot=13.962
[bounded-pricing] enabled=1 cut=55811 priced=76819 rate=72.7%

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
data/intermodal/BUS-18424-0.txt.gz,path,39,20997,485028.457988,485021.056724,1,14.245,6.488,3.916,3.519
