# cmd: /usr/bin/time -o /tmp/mcfcg_mem_pvixoka9.txt -f %M build/mcfcg_cli data/intermodal/BUS-18424-0.txt.gz --solver cuopt --formulation tree --max-iters 10000 --strategy pricer-heavy --bounded-pricing --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1313192
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 151455 vertices, 1338522 arcs, 18388 commodities, 18388 sources
Solver: cuopt, formulation: tree
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=18388, capped_arcs=1151624)
[lp-config] backend=cuopt version=26.8.0 method=barrier exec=GPU presolve=off crossover=off tol=0.0001 threads=n/a(GPU)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   4.7151e+05  36776  18454  1078      0      0     66      0   0.512   0.000   0.098   0.612     0.612
    2          inf         -inf   4.7582e+05  37645  18454  1435    869      0      0      0   0.152   0.134   0.093   0.382     0.994
    3          inf         -inf   4.8637e+05  37645  18497   112      0      0     43      0   0.135   0.000   0.093   0.228     1.222
    4          inf         -inf   4.8791e+05  38224  18497   230    579      0      0      0   0.124   0.136   0.097   0.360     1.583
    5          inf         -inf   4.9548e+05  38224  18504   102      0      0      7      0   0.131   0.000   0.094   0.225     1.808
    6          inf         -inf   4.9559e+05  38224  18510   113      0      0      6      0   0.127   0.000   0.094   0.221     2.030
    7          inf         -inf   4.9560e+05  38333  18487   115    109      0      0     23   0.132   0.053   0.093   0.280     2.310
    8          inf         -inf   5.0795e+05  38333  18489   105      0      0      2      0   0.132   0.000   0.096   0.228     2.538
    9          inf         -inf   5.0796e+05  38333  18490   106      0      0      1      0   0.130   0.000   0.095   0.226     2.763
   10          inf         -inf   5.0796e+05  38353  18446   106     20      0      0     44   0.134   0.038   0.092   0.265     3.028
   11          inf         -inf   5.2571e+05  38353  18452   117      0      0      6      0   0.162   0.000   0.096   0.260     3.288
   12          inf         -inf   5.2572e+05  38353  18453   116      0      0      1      0   0.170   0.000   0.096   0.267     3.555
   13          inf         -inf   5.2572e+05  38426  18444   116     73      0      0      9   0.172   0.049   0.097   0.319     3.874
   14          inf         -inf   5.1569e+05  38426  18455    65      0      0     11      0   0.153   0.000   0.096   0.250     4.123
   15          inf         -inf   5.1572e+05  38426  18456    73      0      0      1      0   0.162   0.000   0.098   0.261     4.384
   16          inf         -inf   5.1572e+05  38433  18454    74      7      0      0      2   0.183   0.046   0.099   0.329     4.713
   17          inf         -inf   6.0338e+05  38433  18457    65      0      0      3      0   0.138   0.000   0.097   0.236     4.949
   18          inf         -inf   6.0339e+05  38463  18452    65     30      0      0      5   0.181   0.043   0.096   0.322     5.271
   19          inf         -inf   6.4015e+05  38463  18457    71      0      0      5      0   0.175   0.000   0.096   0.272     5.543
   20          inf         -inf   6.4015e+05  38473  18444    71     10      0      0     13   0.182   0.041   0.094   0.317     5.860
   21          inf         -inf   6.8416e+05  38473  18449    67      0      0      5      0   0.166   0.000   0.095   0.262     6.122
   22          inf         -inf   6.8421e+05  38548  18446    68     75      0      0      3   0.181   0.059   0.095   0.337     6.459
   23          inf         -inf   5.7019e+05  38548  18455    44      0      0      9      0   0.172   0.000   0.098   0.271     6.730
   24          inf         -inf   5.7020e+05  38633  18453    47     85      0      0      2   0.174   0.055   0.096   0.326     7.056
   25          inf         -inf   5.9301e+05  38633  18456    27      0      0      3      0   0.176   0.000   0.095   0.272     7.328
   26          inf         -inf   5.9308e+05  38633  18457    30      0      0      1      0   0.183   0.000   0.097   0.281     7.609
   27          inf         -inf   5.9308e+05  38655  18450    30     22      0      0      7   0.198   0.047   0.097   0.343     7.953
   28          inf         -inf   8.7237e+05  38655  18456    28      0      0      6      0   0.197   0.000   0.095   0.293     8.246
   29          inf         -inf   8.7237e+05  38721  18453    29     66      0      0      3   0.166   0.048   0.093   0.308     8.554
   30          inf         -inf   1.2863e+06  38721  18454    27      0      0      1      0   0.127   0.000   0.093   0.220     8.774
   31          inf  -2.1896e+06   1.2863e+06  39239  18444    27    518      0      0     10   0.125   0.831   0.092   1.050     9.824
   32          inf  -2.1896e+06   4.8508e+05  39239  18456     0      0      0     12      0   0.158   0.000   0.098   0.257    10.081
   33          inf  -2.1896e+06   4.8511e+05  39239  18459     0      0      0      3      0   0.168   0.000   0.095   0.264    10.345
   34   4.8511e+05   4.8476e+05   4.8511e+05  39399  18456     0    160      0      0      3   0.175   0.826   0.096   1.099    11.444
   35   4.8511e+05   4.8476e+05   4.8502e+05  39399  18467     0      0      0     11      0   0.169   0.000   0.097   0.267    11.711
   36   4.8503e+05   4.8476e+05   4.8503e+05  39409  18466     0     10      0      0      1   0.135   0.057   0.097   0.291    12.001
   37   4.8503e+05   4.8502e+05   4.8503e+05  39409  18466     0     *4      0      0      0   0.186   0.802   0.097   1.085    13.086
CG optimal after 37 iterations. UB=485026.697207 LB=485023.601364 gap=3.096e+00 tol=4.850e+01  t_LP=6.246  t_PR=4.061  t_SP=3.535  t_Tot=13.884
[bounded-pricing] enabled=1 cut=55910 priced=76935 rate=72.7%

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
data/intermodal/BUS-18424-0.txt.gz,tree,37,21021,485026.697207,485023.601364,1,14.170,6.246,4.061,3.535
