# cmd: /usr/bin/time -o /tmp/mcfcg_mem_4t33omxb.txt -f %M build/mcfcg_cli data/intermodal/BUS-23688-0.txt.gz --solver highs --formulation path --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1048084
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 161993 vertices, 1653437 arcs, 23643 commodities, 23643 sources
Solver: highs, formulation: path
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=23643, capped_arcs=1466539)
[lp-config] backend=highs version=1.15.1-04024d701f method=hipo exec=CPU presolve=off crossover=off tol=0.0001 threads=auto(32)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.0693e+05  47286  23709  1421      0      0     66      0   0.463   0.000   0.107   0.571     0.571
    2          inf         -inf   6.1290e+05  48444  23709  1888   1158      0      0      0   1.282   0.222   0.108   1.615     2.186
    3          inf         -inf   6.2722e+05  48444  23756   172      0      0     47      0   1.359   0.000   0.106   1.466     3.652
    4          inf         -inf   6.2915e+05  48444  23758   329      0      0      2      0   1.412   0.000   0.106   1.519     5.171
    5          inf         -inf   6.2916e+05  48551  23758   332    107      0      0      0   1.430   0.054   0.107   1.592     6.762
    6          inf         -inf   6.4618e+05  48551  23759   323      0      0      1      0   1.479   0.000   0.108   1.588     8.351
    7          inf         -inf   6.4618e+05  48585  23735   324     34      0      0     24   1.510   0.058   0.115   1.684    10.035
    8          inf         -inf   7.1823e+05  48585  23736   284      0      0      1      0   2.120   0.000   0.110   2.230    12.266
    9          inf         -inf   7.1828e+05  48627  23701   285     42      0      0     35   2.003   0.051   0.109   2.163    14.429
   10          inf         -inf   7.4738e+05  48627  23712   299      0      0     11      0   1.702   0.000   0.112   1.814    16.244
   11          inf         -inf   7.5011e+05  48808  23708   309    181      0      0      4   1.782   0.070   0.114   1.969    18.212
   12          inf         -inf   8.7028e+05  48808  23715   266      0      0      7      0   1.854   0.000   0.114   1.968    20.181
