# cmd: /usr/bin/time -o /tmp/mcfcg_mem__lcdp54l.txt -f %M build/mcfcg_cli data/intermodal/BUS-23688-0.txt.gz --solver highs --formulation tree --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1020476
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 161993 vertices, 1653437 arcs, 23643 commodities, 23643 sources
Solver: highs, formulation: tree
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=23643, capped_arcs=1466539)
[lp-config] backend=highs version=1.15.1-04024d701f method=hipo exec=CPU presolve=off crossover=off tol=0.0001 threads=auto(32)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.0693e+05  47286  23709  1421      0      0     66      0   0.332   0.000   0.113   0.446     0.446
    2          inf         -inf   6.1290e+05  48449  23709  1888   1163      0      0      0   0.677   0.221   0.114   1.016     1.462
    3          inf         -inf   6.2657e+05  48449  23759   133      0      0     50      0   0.997   0.000   0.113   1.111     2.573
    4          inf         -inf   6.2867e+05  48449  23761   300      0      0      2      0   1.117   0.000   0.111   1.229     3.802
    5          inf         -inf   6.2871e+05  48579  23761   305    130      0      0      0   1.104   0.056   0.112   1.272     5.074
    6          inf         -inf   6.4460e+05  48579  23766   291      0      0      5      0   1.075   0.000   0.110   1.186     6.261
    7          inf         -inf   6.4464e+05  48673  23741   292     94      0      0     25   1.107   0.064   0.113   1.285     7.546
    8          inf         -inf   6.9459e+05  48673  23743   237      0      0      2      0   1.212   0.000   0.110   1.322     8.868
    9          inf         -inf   6.9459e+05  48775  23706   244    102      0      0     37   1.160   0.057   0.113   1.331    10.199
   10          inf         -inf   7.1930e+05  48775  23716   254      0      0     10      0   1.144   0.000   0.110   1.255    11.454
   11          inf         -inf   7.1938e+05  48775  23721   269      0      0      5      0   1.268   0.000   0.111   1.379    12.833
   12          inf         -inf   7.1941e+05  48868  23716   272     93      0      0      5   1.234   0.058   0.115   1.408    14.240
   13          inf         -inf   8.1687e+05  48868  23719   266      0      0      3      0   1.257   0.000   0.113   1.371    15.611
   14          inf         -inf   8.1701e+05  48897  23713   273     29      0      0      6   1.213   0.054   0.109   1.377    16.988
   15          inf         -inf   1.1696e+06  48897  23714   212      0      0      1      0   1.311   0.000   0.110   1.421    18.409
   16          inf         -inf   1.1696e+06  48917  23705   209     20      0      0      9   1.349   0.049   0.113   1.512    19.921
   17          inf         -inf   1.2111e+06  48917  23716   218      0      0     11      0   1.198   0.000   0.112   1.310    21.232
   18          inf         -inf   1.2112e+06  48917  23717   220      0      0      1      0   1.322   0.000   0.114   1.437    22.668
   19          inf  -8.9388e+05   1.2112e+06  50280  23716   220   1363      0      0      1   1.318   1.188   0.115   2.624    25.293
   20          inf  -8.9388e+05   6.2481e+05  50280  23752     0      0      0     36      0   1.238   0.000   0.111   1.351    26.643
   21          inf  -8.9388e+05   6.2501e+05  50280  23758    13      0      0      6      0   1.448   0.000   0.115   1.564    28.207
   22          inf  -8.9388e+05   6.2502e+05  50288  23757    15      8      0      0      1   1.459   0.055   0.110   1.626    29.832
   23          inf  -8.9388e+05   6.2513e+05  50288  23758     4      0      0      1      0   1.441   0.000   0.111   1.552    31.384
   24          inf  -8.9388e+05   6.2514e+05  50300  23752     4     12      0      0      6   1.500   0.049   0.112   1.661    33.046
   25          inf  -8.9388e+05   6.2512e+05  50300  23754     0      0      0      2      0   1.493   0.000   0.111   1.605    34.651
   26          inf  -8.9388e+05   6.2512e+05  50306  23714     1      6      0      0     40   1.356   0.047   0.110   1.514    36.164
   27          inf  -8.9388e+05   6.2512e+05  50306  23719     0      0      0      5      0   1.299   0.000   0.115   1.414    37.578
   28   6.2512e+05  -8.9388e+05   6.2512e+05  50337  23708     0     31      0      0     11   1.407   0.064   0.112   1.584    39.163
   29   6.2512e+05  -8.9388e+05   6.2511e+05  50337  23709     0      0      0      1      0   1.263   0.000   0.110   1.374    40.537
   30   6.2511e+05   6.2383e+05   6.2511e+05  50734  23708     0    397      0      0      1   1.205   1.177   0.113   2.497    43.034
   31   6.2511e+05   6.2383e+05   6.2490e+05  50734  23721     0      0      0     13      0   1.302   0.000   0.110   1.413    44.447
   32   6.2491e+05   6.2383e+05   6.2491e+05  50762  23719     0     28      0      0      2   1.307   0.097   0.111   1.516    45.963
