# cmd: /usr/bin/time -o /tmp/mcfcg_mem_c3xxvqtx.txt -f %M build/mcfcg_cli data/intermodal/BUS-23688-0.txt.gz --solver highs --formulation path --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1036208
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 161993 vertices, 1653437 arcs, 23643 commodities, 23643 sources
Solver: highs, formulation: path
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=23643, capped_arcs=1466539)
[lp-config] backend=highs version=1.15.1-04024d701f method=hipo exec=CPU presolve=off crossover=off tol=0.0001 threads=auto(32)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.0693e+05  47286  23709  1421      0      0     66      0   0.461   0.000   0.110   0.572     0.572
    2          inf         -inf   6.1290e+05  48444  23709  1888   1158      0      0      0   1.275   0.234   0.108   1.620     2.192
    3          inf         -inf   6.2764e+05  48444  23756   199      0      0     47      0   1.349   0.000   0.109   1.459     3.651
    4          inf         -inf   6.2956e+05  48444  23758   355      0      0      2      0   1.359   0.000   0.110   1.470     5.121
    5          inf         -inf   6.2957e+05  48549  23758   357    105      0      0      0   1.387   0.056   0.109   1.552     6.673
    6          inf         -inf   6.5982e+05  48549  23759   346      0      0      1      0   1.505   0.000   0.110   1.616     8.289
    7          inf         -inf   6.5982e+05  48583  23735   347     34      0      0     24   1.544   0.054   0.110   1.709     9.998
    8          inf         -inf   7.3567e+05  48583  23736   315      0      0      1      0   2.021   0.000   0.108   2.130    12.128
    9          inf         -inf   7.3571e+05  48625  23701   316     42      0      0     35   2.019   0.052   0.113   2.185    14.313
   10          inf         -inf   7.6215e+05  48625  23713   324      0      0     12      0   1.670   0.000   0.108   1.779    16.092
   11          inf         -inf   7.6489e+05  48805  23709   336    180      0      0      4   1.678   0.069   0.108   1.856    17.948
   12          inf         -inf   9.4076e+05  48805  23714   264      0      0      5      0   1.739   0.000   0.114   1.853    19.801
   13          inf         -inf   9.4078e+05  48950  23710   267    145      0      0      4   2.330   0.068   0.110   2.509    22.310
   14          inf         -inf   1.2532e+06  48950  23715   246      0      0      5      0   1.797   0.000   0.112   1.910    24.220
   15          inf         -inf   1.2532e+06  49038  23714   246     88      0      0      1   2.007   0.066   0.110   2.184    26.403
   16          inf         -inf   1.4441e+06  49038  23720   219      0      0      6      0   1.907   0.000   0.110   2.018    28.421
   17          inf         -inf   1.4444e+06  49038  23723   229      0      0      3      0   1.975   0.000   0.110   2.085    30.506
   18          inf         -inf   1.4445e+06  49141  23711   232    103      0      0     12   2.041   0.057   0.109   2.208    32.715
   19          inf         -inf   3.0292e+06  49141  23720   222      0      0      9      0   2.021   0.000   0.109   2.131    34.845
   20          inf         -inf   3.0292e+06  49165  23714   222     24      0      0      6   2.252   0.067   0.110   2.429    37.274
   21          inf         -inf   6.0138e+06  49165  23719   187      0      0      5      0   2.247   0.000   0.109   2.357    39.631
   22          inf         -inf   6.0138e+06  49198  23716   188     33      0      0      3   2.311   0.061   0.110   2.483    42.114
   23          inf         -inf   7.3426e+06  49198  23717   211      0      0      1      0   2.225   0.000   0.111   2.337    44.451
   24          inf         -inf   7.3426e+06  49210  23713   212     12      0      0      4   2.347   0.044   0.108   2.500    46.951
   25          inf  -9.9332e+07   2.1801e+07  50509  23707   215   1299      0      0      6   2.651   1.202   0.108   3.964    50.914
   26          inf  -9.9332e+07   6.2467e+05  50509  23761     0      0      0     54      0   2.363   0.000   0.111   2.474    53.389
   27          inf  -9.9332e+07   6.2507e+05  50509  23763    19      0      0      2      0   2.494   0.000   0.112   2.608    55.997
   28          inf  -9.9332e+07   6.2508e+05  50511  23756    19      2      0      0      7   2.324   0.053   0.113   2.490    58.487
   29          inf  -9.9332e+07   6.2518e+05  50511  23758     4      0      0      2      0   2.307   0.000   0.109   2.417    60.904
   30          inf  -9.9332e+07   6.2519e+05  50527  23756     4     16      0      0      2   2.453   0.053   0.107   2.614    63.518
   31          inf  -9.9332e+07   6.2516e+05  50527  23757     0      0      0      1      0   2.976   0.000   0.109   3.086    66.604
   32   6.2516e+05  -9.9332e+07   6.2516e+05  50529  23711     0      2      0      0     46   2.446   0.045   0.110   2.602    69.206
   33   6.2516e+05  -9.9332e+07   6.2516e+05  50529  23716     0      0      0      5      0   2.252   0.000   0.109   2.362    71.567
   34   6.2516e+05  -9.9332e+07   6.2516e+05  50530  23712     0      1      0      0      4   2.353   0.061   0.113   2.527    74.095
   35   6.2516e+05  -9.9332e+07   6.2516e+05  50530  23713     0      0      0      1      0   2.528   0.000   0.108   2.636    76.731
   36   6.2516e+05  -9.9332e+07   6.2516e+05  50531  23711     0      1      0      0      2   2.435   0.047   0.112   2.594    79.325
   37   6.2516e+05  -9.9332e+07   6.2516e+05  50531  23712     0      0      0      1      0   2.451   0.000   0.108   2.560    81.885
   38   6.2516e+05   6.2358e+05   6.2516e+05  51079  23710     0    548      0      0      2   2.330   1.213   0.109   3.654    85.540
   39   6.2516e+05   6.2358e+05   6.2490e+05  51079  23723     0      0      0     13      0   2.276   0.000   0.110   2.386    87.926
   40   6.2516e+05   6.2358e+05   6.2491e+05  51079  23724     0      0      0      1      0   2.324   0.000   0.111   2.436    90.361
   41   6.2491e+05   6.2477e+05   6.2491e+05  51143  23719     0     64      0      0      5   2.308   1.229   0.110   3.648    94.010
   42   6.2491e+05   6.2477e+05   6.2488e+05  51143  23726     0      0      0      7      0   2.318   0.000   0.110   2.429    96.438
   43   6.2488e+05   6.2484e+05   6.2488e+05  51143  23726     0     *1      0      0      0   2.361   1.229   0.129   3.719   100.157
CG optimal after 43 iterations. UB=624881.501507 LB=624840.018490 gap=4.148e+01 tol=6.249e+01  t_LP=89.413  t_PR=7.140  t_SP=4.742  t_Tot=101.340
[bounded-pricing] enabled=0 cut=0 priced=122057 rate=0.0%

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
data/intermodal/BUS-23688-0.txt.gz,path,43,27500,624881.501507,624840.018490,1,101.683,89.413,7.140,4.742
