# cmd: /usr/bin/time -o /tmp/mcfcg_mem_gqmwew6t.txt -f %M build/mcfcg_cli data/intermodal/BUS-23688-0.txt.gz --solver highs --formulation tree --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1031960
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 161993 vertices, 1653437 arcs, 23643 commodities, 23643 sources
Solver: highs, formulation: tree
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=23643, capped_arcs=1466539)
[lp-config] backend=highs version=1.15.1-04024d701f method=hipo exec=CPU presolve=off crossover=off tol=0.0001 threads=auto(32)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.0693e+05  47286  23709  1421      0      0     66      0   0.337   0.000   0.121   0.459     0.459
    2          inf         -inf   6.1290e+05  48449  23709  1888   1163      0      0      0   0.712   0.240   0.119   1.074     1.533
    3          inf         -inf   6.2658e+05  48449  23760   133      0      0     51      0   1.002   0.000   0.122   1.124     2.658
    4          inf         -inf   6.2867e+05  48449  23762   300      0      0      2      0   1.137   0.000   0.113   1.250     3.908
    5          inf         -inf   6.2871e+05  48579  23762   305    130      0      0      0   1.190   0.057   0.113   1.361     5.269
    6          inf         -inf   6.4460e+05  48579  23767   291      0      0      5      0   1.247   0.000   0.144   1.392     6.661
    7          inf         -inf   6.4464e+05  48673  23742   292     94      0      0     25   1.245   0.074   0.146   1.466     8.127
    8          inf         -inf   6.9459e+05  48673  23744   237      0      0      2      0   1.238   0.000   0.125   1.364     9.491
    9          inf         -inf   6.9460e+05  48775  23706   244    102      0      0     38   1.170   0.059   0.117   1.347    10.838
   10          inf         -inf   7.1930e+05  48775  23716   254      0      0     10      0   1.156   0.000   0.112   1.269    12.107
   11          inf         -inf   7.1938e+05  48775  23721   269      0      0      5      0   1.196   0.000   0.114   1.312    13.419
   12          inf         -inf   7.1942e+05  48868  23716   272     93      0      0      5   1.166   0.062   0.118   1.347    14.766
   13          inf         -inf   8.1687e+05  48868  23719   266      0      0      3      0   1.279   0.000   0.116   1.395    16.161
   14          inf         -inf   8.1702e+05  48897  23713   273     29      0      0      6   1.252   0.055   0.115   1.423    17.584
   15          inf         -inf   1.1696e+06  48897  23714   212      0      0      1      0   1.413   0.000   0.118   1.531    19.116
   16          inf         -inf   1.1696e+06  48920  23705   209     23      0      0      9   1.411   0.059   0.114   1.585    20.701
   17          inf         -inf   1.2100e+06  48920  23716   217      0      0     11      0   1.235   0.000   0.114   1.350    22.051
   18          inf         -inf   1.2101e+06  48920  23717   220      0      0      1      0   1.375   0.000   0.118   1.494    23.544
   19          inf  -8.9375e+05   1.2101e+06  50286  23716   220   1366      0      0      1   1.341   1.293   0.117   2.753    26.298
   20          inf  -8.9375e+05   6.2479e+05  50286  23751     0      0      0     35      0   1.280   0.000   0.115   1.396    27.693
   21          inf  -8.9375e+05   6.2501e+05  50286  23757    13      0      0      6      0   1.519   0.000   0.117   1.636    29.330
   22          inf  -8.9375e+05   6.2503e+05  50294  23756    15      8      0      0      1   1.440   0.057   0.114   1.612    30.942
   23          inf  -8.9375e+05   6.2514e+05  50294  23757     4      0      0      1      0   1.501   0.000   0.112   1.614    32.555
