# cmd: /usr/bin/time -o /tmp/mcfcg_mem_559fc44_.txt -f %M build/mcfcg_cli data/intermodal/BUS-23688-0.txt.gz --solver highs --formulation path --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1033748
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 161993 vertices, 1653437 arcs, 23643 commodities, 23643 sources
Solver: highs, formulation: path
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=23643, capped_arcs=1466539)
[lp-config] backend=highs version=1.15.1-04024d701f method=hipo exec=CPU presolve=off crossover=off tol=0.0001 threads=auto(32)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.0693e+05  47286  23709  1421      0      0     66      0   0.461   0.000   0.112   0.574     0.574
    2          inf         -inf   6.1290e+05  48444  23709  1888   1158      0      0      0   1.270   0.232   0.113   1.619     2.193
    3          inf         -inf   6.2764e+05  48444  23756   199      0      0     47      0   1.435   0.000   0.110   1.546     3.739
    4          inf         -inf   6.2956e+05  48444  23758   355      0      0      2      0   1.392   0.000   0.110   1.503     5.242
    5          inf         -inf   6.2957e+05  48549  23758   357    105      0      0      0   1.384   0.055   0.110   1.552     6.794
    6          inf         -inf   6.5982e+05  48549  23759   346      0      0      1      0   1.551   0.000   0.110   1.662     8.456
    7          inf         -inf   6.5982e+05  48583  23735   347     34      0      0     24   1.461   0.055   0.110   1.627    10.083
    8          inf         -inf   7.3567e+05  48583  23736   315      0      0      1      0   1.961   0.000   0.110   2.073    12.155
    9          inf         -inf   7.3571e+05  48625  23701   316     42      0      0     35   2.041   0.051   0.110   2.202    14.357
   10          inf         -inf   7.6215e+05  48625  23713   324      0      0     12      0   1.721   0.000   0.110   1.831    16.189
   11          inf         -inf   7.6489e+05  48805  23709   336    180      0      0      4   1.729   0.072   0.110   1.911    18.100
   12          inf         -inf   9.4076e+05  48805  23714   264      0      0      5      0   1.758   0.000   0.111   1.870    19.970
   13          inf         -inf   9.4078e+05  48919  23710   267    114      0      0      4   2.334   0.069   0.111   2.515    22.485
   14          inf         -inf   1.2531e+06  48919  23715   246      0      0      5      0   1.910   0.000   0.111   2.022    24.507
   15          inf         -inf   1.2531e+06  48987  23714   246     68      0      0      1   1.975   0.062   0.111   2.149    26.656
   16          inf         -inf   1.4441e+06  48987  23720   219      0      0      6      0   1.962   0.000   0.109   2.072    28.728
   17          inf         -inf   1.4444e+06  48987  23723   229      0      0      3      0   1.995   0.000   0.109   2.105    30.833
   18          inf         -inf   1.4445e+06  49090  23711   232    103      0      0     12   2.009   0.058   0.110   2.179    33.012
   19          inf         -inf   3.0292e+06  49090  23720   222      0      0      9      0   2.124   0.000   0.111   2.235    35.247
   20          inf         -inf   3.0292e+06  49114  23713   222     24      0      0      7   2.156   0.069   0.110   2.336    37.583
   21          inf         -inf   6.0138e+06  49114  23718   187      0      0      5      0   2.333   0.000   0.111   2.444    40.027
   22          inf         -inf   6.0138e+06  49133  23715   188     19      0      0      3   2.190   0.066   0.110   2.367    42.394
   23          inf         -inf   7.3426e+06  49133  23716   211      0      0      1      0   2.267   0.000   0.112   2.380    44.774
   24          inf         -inf   7.3426e+06  49145  23712   212     12      0      0      4   2.164   0.044   0.112   2.321    47.095
   25          inf  -9.9332e+07   2.1801e+07  50440  23706   215   1295      0      0      6   2.662   1.298   0.115   4.077    51.173
   26          inf  -9.9332e+07   6.2467e+05  50440  23760     0      0      0     54      0   2.270   0.000   0.115   2.386    53.559
   27          inf  -9.9332e+07   6.2507e+05  50440  23762    19      0      0      2      0   2.440   0.000   0.114   2.554    56.113
   28          inf  -9.9332e+07   6.2508e+05  50442  23756    19      2      0      0      6   2.456   0.057   0.116   2.629    58.742
   29          inf  -9.9332e+07   6.2518e+05  50442  23758     4      0      0      2      0   2.481   0.000   0.116   2.598    61.340
   30          inf  -9.9332e+07   6.2519e+05  50458  23756     4     16      0      0      2   2.450   0.056   0.116   2.622    63.962
   31          inf  -9.9332e+07   6.2516e+05  50458  23757     0      0      0      1      0   3.041   0.000   0.114   3.156    67.118
   32   6.2516e+05  -9.9332e+07   6.2516e+05  50460  23711     0      2      0      0     46   2.940   0.045   0.115   3.102    70.221
   33   6.2516e+05  -9.9332e+07   6.2516e+05  50460  23716     0      0      0      5      0   2.339   0.000   0.113   2.453    72.674
   34   6.2516e+05  -9.9332e+07   6.2516e+05  50461  23712     0      1      0      0      4   2.404   0.062   0.114   2.581    75.255
   35   6.2516e+05  -9.9332e+07   6.2516e+05  50461  23713     0      0      0      1      0   2.328   0.000   0.113   2.442    77.697
   36   6.2516e+05  -9.9332e+07   6.2516e+05  50462  23711     0      1      0      0      2   2.477   0.051   0.113   2.640    80.337
   37   6.2516e+05  -9.9332e+07   6.2516e+05  50462  23712     0      0      0      1      0   2.571   0.000   0.112   2.685    83.021
   38   6.2516e+05   6.2357e+05   6.2516e+05  51010  23710     0    548      0      0      2   2.384   1.336   0.121   3.843    86.864
   39   6.2516e+05   6.2357e+05   6.2490e+05  51010  23723     0      0      0     13      0   2.327   0.000   0.111   2.439    89.303
   40   6.2516e+05   6.2357e+05   6.2491e+05  51010  23724     0      0      0      1      0   2.385   0.000   0.112   2.497    91.800
   41   6.2491e+05   6.2477e+05   6.2491e+05  51072  23719     0     62      0      0      5   2.417   1.256   0.113   3.787    95.587
   42   6.2491e+05   6.2477e+05   6.2488e+05  51072  23726     0      0      0      7      0   2.434   0.000   0.112   2.547    98.134
   43   6.2488e+05   6.2484e+05   6.2488e+05  51072  23726     0     *1      0      0      0   2.433   1.323   0.116   3.873   102.007
CG optimal after 43 iterations. UB=624881.500388 LB=624840.189444 gap=4.131e+01 tol=6.249e+01  t_LP=90.821  t_PR=7.501  t_SP=4.822  t_Tot=103.191
[bounded-pricing] enabled=0 cut=0 priced=122006 rate=0.0%

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
data/intermodal/BUS-23688-0.txt.gz,path,43,27429,624881.500388,624840.189444,1,103.540,90.821,7.501,4.822
