# cmd: /usr/bin/time -o /tmp/mcfcg_mem_2h_m_pna.txt -f %M build/mcfcg_cli data/intermodal/BUS-23688-0.txt.gz --solver highs --formulation tree --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1019528
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 161993 vertices, 1653437 arcs, 23643 commodities, 23643 sources
Solver: highs, formulation: tree
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=23643, capped_arcs=1466539)
[lp-config] backend=highs version=1.15.1-04024d701f method=hipo exec=CPU presolve=off crossover=off tol=0.0001 threads=auto(32)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.0693e+05  47286  23709  1421      0      0     66      0   0.349   0.000   0.124   0.474     0.474
    2          inf         -inf   6.1290e+05  48449  23709  1888   1163      0      0      0   0.721   0.251   0.122   1.098     1.572
    3          inf         -inf   6.2658e+05  48449  23760   133      0      0     51      0   1.033   0.000   0.120   1.154     2.726
    4          inf         -inf   6.2867e+05  48449  23762   300      0      0      2      0   1.193   0.000   0.118   1.312     4.038
    5          inf         -inf   6.2871e+05  48579  23762   305    130      0      0      0   1.161   0.061   0.118   1.341     5.379
    6          inf         -inf   6.4460e+05  48579  23767   291      0      0      5      0   1.190   0.000   0.118   1.309     6.688
    7          inf         -inf   6.4464e+05  48673  23742   292     94      0      0     25   1.175   0.069   0.120   1.365     8.053
    8          inf         -inf   6.9459e+05  48673  23744   237      0      0      2      0   1.262   0.000   0.117   1.380     9.433
    9          inf         -inf   6.9460e+05  48775  23706   244    102      0      0     38   1.205   0.062   0.116   1.384    10.817
   10          inf         -inf   7.1930e+05  48775  23716   254      0      0     10      0   1.177   0.000   0.118   1.296    12.113
   11          inf         -inf   7.1938e+05  48775  23721   269      0      0      5      0   1.239   0.000   0.116   1.356    13.469
   12          inf         -inf   7.1942e+05  48868  23716   272     93      0      0      5   1.263   0.062   0.115   1.441    14.910
   13          inf         -inf   8.1687e+05  48868  23719   266      0      0      3      0   1.430   0.000   0.116   1.546    16.456
   14          inf         -inf   8.1702e+05  48897  23713   273     29      0      0      6   1.255   0.059   0.121   1.435    17.891
   15          inf         -inf   1.1696e+06  48897  23714   212      0      0      1      0   1.460   0.000   0.119   1.580    19.471
   16          inf         -inf   1.1696e+06  48920  23705   209     23      0      0      9   1.475   0.053   0.121   1.650    21.121
   17          inf         -inf   1.2100e+06  48920  23716   217      0      0     11      0   1.235   0.000   0.117   1.353    22.474
   18          inf         -inf   1.2101e+06  48920  23717   220      0      0      1      0   1.381   0.000   0.120   1.502    23.975
   19          inf  -8.9375e+05   1.2101e+06  50286  23716   220   1366      0      0      1   1.357   1.345   0.123   2.829    26.804
   20          inf  -8.9375e+05   6.2478e+05  50286  23751     0      0      0     35      0   1.351   0.000   0.123   1.476    28.280
   21          inf  -8.9375e+05   6.2501e+05  50286  23757    13      0      0      6      0   1.630   0.000   0.122   1.753    30.033
   22          inf  -8.9375e+05   6.2502e+05  50295  23756    15      9      0      0      1   1.504   0.061   0.123   1.689    31.722
   23          inf  -8.9375e+05   6.2513e+05  50295  23757     4      0      0      1      0   1.502   0.000   0.121   1.624    33.346
   24          inf  -8.9375e+05   6.2513e+05  50307  23752     4     12      0      0      5   1.492   0.053   0.121   1.667    35.013
   25          inf  -8.9375e+05   6.2511e+05  50307  23753     0      0      0      1      0   1.520   0.000   0.119   1.641    36.653
   26          inf  -8.9375e+05   6.2512e+05  50313  23711     1      6      0      0     42   1.440   0.046   0.119   1.605    38.259
   27          inf  -8.9375e+05   6.2511e+05  50313  23718     0      0      0      7      0   1.239   0.000   0.118   1.359    39.617
   28   6.2511e+05  -8.9375e+05   6.2511e+05  50344  23707     0     31      0      0     11   1.224   0.078   0.117   1.421    41.038
   29   6.2511e+05  -8.9375e+05   6.2511e+05  50344  23708     0      0      0      1      0   1.335   0.000   0.116   1.452    42.490
   30   6.2511e+05   6.2387e+05   6.2511e+05  50734  23707     0    390      0      0      1   1.303   1.325   0.118   2.747    45.238
   31   6.2511e+05   6.2387e+05   6.2490e+05  50734  23722     0      0      0     15      0   1.427   0.000   0.119   1.546    46.784
   32   6.2491e+05   6.2387e+05   6.2491e+05  50763  23721     0     29      0      0      1   1.366   0.115   0.119   1.601    48.385
   33   6.2491e+05   6.2387e+05   6.2490e+05  50763  23723     0      0      0      2      0   1.470   0.000   0.122   1.593    49.978
   34   6.2490e+05   6.2387e+05   6.2490e+05  50770  23715     0      7      0      0      8   1.414   0.073   0.121   1.609    51.587
