# cmd: /usr/bin/time -o /tmp/mcfcg_mem_s9q6vr2r.txt -f %M build/mcfcg_cli data/intermodal/BUS-23688-0.txt.gz --solver highs --formulation path --max-iters 10000 --strategy pricer-heavy --bounded-pricing --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1042432
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 161993 vertices, 1653437 arcs, 23643 commodities, 23643 sources
Solver: highs, formulation: path
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=23643, capped_arcs=1466539)
[lp-config] backend=highs version=1.15.1-04024d701f method=hipo exec=CPU presolve=off crossover=off tol=0.0001 threads=auto(32)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.0693e+05  47286  23709  1421      0      0     66      0   0.448   0.000   0.107   0.556     0.556
    2          inf         -inf   6.1290e+05  48444  23709  1888   1158      0      0      0   1.151   0.197   0.112   1.463     2.019
    3          inf         -inf   6.2624e+05  48444  23762   111      0      0     53      0   1.264   0.000   0.107   1.372     3.391
    4          inf         -inf   6.2861e+05  49342  23762   309    898      0      0      0   1.386   0.195   0.106   1.689     5.079
    5          inf         -inf   6.3029e+05  49342  23773   110      0      0     11      0   1.886   0.000   0.106   1.993     7.072
    6          inf         -inf   6.3036e+05  49342  23779   117      0      0      6      0   1.627   0.000   0.110   1.738     8.810
    7          inf         -inf   6.3038e+05  49342  23781   119      0      0      2      0   1.607   0.000   0.105   1.713    10.524
    8          inf         -inf   6.3039e+05  49366  23746   122     24      0      0     35   1.728   0.050   0.107   1.885    12.409
    9          inf         -inf   6.5094e+05  49366  23751   109      0      0      5      0   1.997   0.000   0.105   2.104    14.513
   10          inf         -inf   6.5094e+05  49397  23714   109     31      0      0     37   2.041   0.065   0.108   2.215    16.728
   11          inf         -inf   6.6614e+05  49397  23717    98      0      0      3      0   1.934   0.000   0.107   2.042    18.770
   12          inf         -inf   6.6619e+05  49487  23708   101     90      0      0      9   1.896   0.061   0.110   2.069    20.839
   13          inf         -inf   6.7051e+05  49487  23718    83      0      0     10      0   1.744   0.000   0.107   1.852    22.691
   14          inf         -inf   6.7052e+05  49487  23720    83      0      0      2      0   1.752   0.000   0.106   1.858    24.549
   15          inf         -inf   6.7052e+05  49513  23714    85     26      0      0      6   1.760   0.064   0.106   1.931    26.480
   16          inf         -inf   7.9362e+05  49513  23720    82      0      0      6      0   1.860   0.000   0.108   1.970    28.450
   17          inf         -inf   7.9362e+05  49541  23717    82     28      0      0      3   2.008   0.057   0.106   2.172    30.621
   18          inf         -inf   8.5140e+05  49541  23719    82      0      0      2      0   1.929   0.000   0.107   2.037    32.659
   19          inf         -inf   8.5140e+05  49598  23710    82     57      0      0      9   1.848   0.052   0.106   2.007    34.666
   20          inf         -inf   9.2147e+05  49598  23714    76      0      0      4      0   2.187   0.000   0.106   2.294    36.960
   21          inf         -inf   9.2147e+05  49701  23711    76    103      0      0      3   2.178   0.079   0.110   2.368    39.328
   22          inf         -inf   8.6615e+05  49701  23714    57      0      0      3      0   2.103   0.000   0.107   2.210    41.538
   23          inf         -inf   8.6615e+05  49727  23709    60     26      0      0      5   1.977   0.060   0.108   2.146    43.684
   24          inf         -inf   8.6662e+05  49727  23716    54      0      0      7      0   1.891   0.000   0.109   2.001    45.685
   25          inf         -inf   8.6662e+05  49813  23708    53     86      0      0      8   2.210   0.069   0.107   2.387    48.072
