# cmd: /usr/bin/time -o /tmp/mcfcg_mem_ggx2cqmp.txt -f %M build/mcfcg_cli data/intermodal/BUS-23688-0.txt.gz --solver highs --formulation tree --max-iters 10000 --strategy pricer-heavy --bounded-pricing --time-limit 7200.0
# outcome: ok
# returncode: 0
# peak_rss_kb: 1033224
# peak_rss_source: measured
# === STDERR (CG iteration log + preamble) ===
Instance: 161993 vertices, 1653437 arcs, 23643 commodities, 23643 sources
Solver: highs, formulation: tree
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=23643, capped_arcs=1466539)
[lp-config] backend=highs version=1.15.1-04024d701f method=hipo exec=CPU presolve=off crossover=off tol=0.0001 threads=auto(32)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   6.0693e+05  47286  23709  1421      0      0     66      0   0.346   0.000   0.119   0.466     0.466
    2          inf         -inf   6.1290e+05  48449  23709  1888   1163      0      0      0   0.699   0.205   0.116   1.024     1.490
    3          inf         -inf   6.2658e+05  48449  23760   133      0      0     51      0   1.004   0.000   0.118   1.123     2.612
    4          inf         -inf   6.2867e+05  48449  23762   300      0      0      2      0   1.126   0.000   0.116   1.243     3.855
    5          inf         -inf   6.2871e+05  48558  23762   305    109      0      0      0   1.133   0.054   0.115   1.303     5.157
    6          inf         -inf   6.4472e+05  48558  23765   293      0      0      3      0   1.121   0.000   0.125   1.248     6.405
    7          inf         -inf   6.4474e+05  48601  23740   293     43      0      0     25   1.155   0.056   0.119   1.330     7.735
    8          inf         -inf   6.9482e+05  48601  23742   247      0      0      2      0   1.244   0.000   0.119   1.364     9.099
    9          inf         -inf   6.9483e+05  48677  23704   248     76      0      0     38   1.191   0.052   0.114   1.358    10.458
   10          inf         -inf   7.2644e+05  48677  23715   284      0      0     11      0   1.148   0.000   0.113   1.262    11.720
   11          inf         -inf   7.2645e+05  48677  23717   287      0      0      2      0   1.343   0.000   0.114   1.458    13.178
   12          inf         -inf   7.2646e+05  48684  23713   285      7      0      0      4   1.277   0.049   0.114   1.441    14.618
   13          inf         -inf   8.5667e+05  48684  23716   279      0      0      3      0   1.214   0.000   0.114   1.329    15.947
   14          inf         -inf   8.5678e+05  48766  23712   286     82      0      0      4   1.239   0.083   0.115   1.438    17.385
   15          inf         -inf   9.4830e+05  48766  23720   207      0      0      8      0   1.337   0.000   0.115   1.453    18.838
   16          inf         -inf   9.4849e+05  48871  23712   220    105      0      0      8   1.387   0.074   0.114   1.576    20.414
