sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
intermodal_path_tree,intermodal,BUS-13160-0,path,copt-cpu,off,rep1,13135,13135,1.0,14,15071,348367.0,348337.86875,1,gap,3.523,0.376,2.152,0.983,0,0,54453,0.0,39.520320276201495
intermodal_path_tree,intermodal,BUS-13160-0,path,copt-cpu,on,rep1,13135,13135,1.0,15,15044,348364.5,348357.431754,1,gap,3.518,0.397,2.067,1.042,1,39340,54393,72.3254830584818,38.00121339142905
intermodal_path_tree,intermodal,BUS-13160-0,path,copt-gpu,off,rep1,13135,13135,1.0,14,15071,348367.0,348337.86905,1,gap,4.435,1.344,2.105,0.973,0,0,54453,0.0,38.65719060474171
intermodal_path_tree,intermodal,BUS-13160-0,path,copt-gpu,on,rep1,13135,13135,1.0,15,15044,348364.5,348357.289808,1,gap,4.433,1.303,2.087,1.03,1,39340,54393,72.3254830584818,38.36890776386668
intermodal_path_tree,intermodal,BUS-13160-0,path,cuopt,off,rep1,13135,13135,1.0,20,14949,348362.009339,348329.956952,1,gap,7.379,3.512,2.405,1.445,0,0,54750,0.0,43.926940639269404
intermodal_path_tree,intermodal,BUS-13160-0,path,cuopt,on,rep1,13135,13135,1.0,30,15052,348361.507934,348359.524371,1,gap,9.692,5.145,2.393,2.13,1,39715,54772,72.50967647703206,43.690206674943404
intermodal_path_tree,intermodal,BUS-13160-0,path,highs,off,rep1,13135,13135,1.0,19,15008,348361.500062,348337.840882,1,gap,19.554,15.916,2.282,1.342,0,0,55135,0.0,41.389317130679245
intermodal_path_tree,intermodal,BUS-13160-0,path,highs,off,rep2,13135,13135,1.0,19,15026,348361.500059,348338.034127,1,gap,19.749,16.032,2.334,1.369,0,0,55137,0.0,42.330921160019585
intermodal_path_tree,intermodal,BUS-13160-0,path,highs,off,rep3,13135,13135,1.0,19,15007,348361.500029,348338.060417,1,gap,19.724,15.99,2.36,1.359,0,0,55133,0.0,42.80557923566648
intermodal_path_tree,intermodal,BUS-13160-0,path,highs,on,rep1,13135,13135,1.0,23,15011,348361.500081,348359.993197,1,gap,23.092,19.148,2.265,1.653,1,39833,54848,72.62434364060677,41.295945157526255
intermodal_path_tree,intermodal,BUS-13160-0,path,mosek,off,rep1,13135,13135,1.0,16,15105,348361.500044,348338.120664,1,gap,4.99,1.27,2.588,1.119,0,0,67098,0.0,38.570449193716655
intermodal_path_tree,intermodal,BUS-13160-0,path,mosek,on,rep1,13135,13135,1.0,16,15060,348366.002869,348354.842002,1,gap,4.587,1.286,2.156,1.13,1,38993,54073,72.11177482292456,39.872024855288224
intermodal_path_tree,intermodal,BUS-13160-0,tree,copt-cpu,off,rep1,13135,13135,1.0,26,15089,348361.500163,348336.740538,1,gap,5.034,0.632,2.471,1.91,0,0,55542,0.0,44.48885528068849
intermodal_path_tree,intermodal,BUS-13160-0,tree,copt-cpu,on,rep1,13135,13135,1.0,21,15008,348361.5,348359.953041,1,gap,4.327,0.51,2.272,1.527,1,40200,55212,72.81025863942621,41.15047453452148
intermodal_path_tree,intermodal,BUS-13160-0,tree,copt-gpu,off,rep1,13135,13135,1.0,26,15089,348361.500163,348336.740538,1,gap,6.16,1.88,2.4,1.859,0,0,55542,0.0,43.21054337258291
intermodal_path_tree,intermodal,BUS-13160-0,tree,copt-gpu,on,rep1,13135,13135,1.0,21,15008,348361.5,348359.961517,1,gap,5.427,1.543,2.354,1.512,1,40199,55211,72.80976616978501,42.636431145967286
