sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,t_lp_off,t_lp_on,d_t_lp_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,cut_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct
intermodal_path_tree,intermodal,BUS-13160-0,path,copt-cpu,1.0,1,1,3.523,3.518,-0.14192449616804817,2.152,2.067,-3.9498141263940503,0.376,0.397,5.585106382978728,39.520320276201495,38.00121339142905,-3.8438627879421055,14,15,15071,15044,54453,54393,1,,61.08430315072382,72.3254830584818,-2.34799679808442,348367.0,348364.5,7.176339894421687e-06,19.563003999996,gap,gap,
intermodal_path_tree,intermodal,BUS-13160-0,path,copt-gpu,1.0,1,1,4.435,4.433,-0.04509582863584622,2.105,2.087,-0.8551068883610353,1.344,1.303,-3.050595238095249,38.65719060474171,38.36890776386668,-0.745741830601798,14,15,15071,15044,54453,54393,1,,47.463359639233374,72.3254830584818,-0.3539541270387339,348367.0,348364.5,7.176339894421687e-06,19.42075799999293,gap,gap,
intermodal_path_tree,intermodal,BUS-13160-0,path,cuopt,1.0,1,1,7.379,9.692,31.345710800921545,2.405,2.393,-0.49896049896049943,3.512,5.145,46.49772209567197,43.926940639269404,43.690206674943404,-0.5389265923845521,20,30,14949,15052,54750,54772,1,,32.5924922076162,72.50967647703206,-0.17564960762770668,348362.009339,348361.507934,1.4393217014092473e-06,29.567419000028167,gap,gap,
intermodal_path_tree,intermodal,BUS-13160-0,path,highs,1.0,3,1,19.724,23.092,17.07564388562157,2.334,2.265,-2.9562982005141367,15.99,19.148,19.749843652282674,42.330921160019585,41.295945157526255,-2.4449645179723545,19,23,15008,15011,55135,54848,1,,11.833299533563173,72.62434364060677,-0.2893199749010077,348361.500059,348361.500081,6.315276772015676e-11,21.959069999982603,gap,gap,3.341902313624672
intermodal_path_tree,intermodal,BUS-13160-0,path,mosek,1.0,1,1,4.99,4.587,-8.076152304609227,2.588,2.156,-16.69242658423493,1.27,1.286,1.2598425196850405,38.570449193716655,39.872024855288224,3.37454110278706,16,16,15105,15060,67098,54073,1,,51.86372745490982,72.11177482292456,1.750162800403389,348361.500044,348366.002869,1.2925725143173356e-05,16.72133800003212,gap,gap,
intermodal_path_tree,intermodal,BUS-13160-0,tree,copt-cpu,1.0,1,1,5.034,4.327,-14.044497417560587,2.471,2.272,-8.053419668150557,0.632,0.51,-19.30379746835443,44.48885528068849,41.15047453452148,-7.503858494682645,26,21,15089,15008,55542,55212,1,,49.08621374652365,72.81025863942621,-3.683360019936595,348361.500163,348361.5,4.679048021244359e-10,23.21250299998792,gap,gap,
intermodal_path_tree,intermodal,BUS-13160-0,tree,copt-gpu,1.0,1,1,6.16,5.427,-11.899350649350659,2.4,2.354,-1.9166666666666592,1.88,1.543,-17.925531914893615,43.21054337258291,42.636431145967286,-1.3286392204452109,26,21,15089,15008,55542,55211,1,,38.96103896103896,72.80976616978501,-0.5176516443293029,348361.500163,348361.5,4.679048021244359e-10,23.22097899997607,gap,gap,
intermodal_path_tree,intermodal,BUS-13160-0,tree,cuopt,1.0,1,1,8.22,10.273,24.975669099756676,2.976,2.541,-14.61693548387097,3.468,5.201,49.97116493656285,43.54952001873097,46.333947229262776,6.393703557086736,24,34,15012,15044,68336,54841,1,,36.2043795620438,72.55885195383016,2.3148007038795777,348361.502615,348361.506016,9.762846838565687e-09,21.436887999996543,gap,gap,
intermodal_path_tree,intermodal,BUS-13160-0,tree,highs,1.0,3,1,20.061,19.383,-3.379691939584272,2.475,2.301,-7.030303030303027,15.51,15.086,-2.733720180528688,44.98936614981913,41.99748124623556,-6.650204614175483,28,27,15010,15020,55013,54789,1,,12.337371018393899,72.58026246144298,-0.8204604167331798,348361.500987,348361.500019,2.778722607733768e-09,22.368646000046283,gap,gap,1.4949494949494917
intermodal_path_tree,intermodal,BUS-13160-0,tree,mosek,1.0,1,1,5.24,6.515,24.332061068702277,2.222,2.438,9.72097209720973,1.398,1.787,27.82546494992847,41.097157230843216,44.38699340931435,8.005021271890135,22,31,15068,15058,54067,54926,1,,42.40458015267175,72.56672614062556,3.394495661477076,348364.500187,348361.526622,8.535786506532596e-06,25.187380000017583,gap,gap,
intermodal_path_tree,intermodal,BUS-18424-0,path,copt-cpu,1.0,1,1,9.752,7.425,-23.861771944216578,4.699,3.675,-21.79187061076825,1.382,0.994,-28.0752532561505,49.88216810683425,48.345085245211536,-3.0814275320404967,40,30,21227,20878,94202,76016,1,,48.184987694831825,72.51368133024626,-1.4847854771388733,485027.500005,485029.000001,3.0925999041544792e-06,27.492292999988422,gap,gap,
intermodal_path_tree,intermodal,BUS-18424-0,path,copt-gpu,1.0,1,1,12.005,9.209,-23.290295710120795,4.637,3.752,-19.085615699805906,3.745,2.72,-27.369826435246992,49.22400798284537,49.35802988844454,0.27226938864034883,40,30,21227,20878,94202,76016,1,,38.6255726780508,72.51368133024626,0.10516561058936252,485027.500005,485029.000001,3.0925999041544792e-06,27.4948929999955,gap,gap,
intermodal_path_tree,intermodal,BUS-18424-0,path,cuopt,1.0,1,1,10.714,13.962,30.315475079335442,4.554,3.916,-14.0096618357488,4.017,6.488,61.513567338810056,48.08920896735974,50.976971842903446,6.005012221148737,23,39,21120,20997,94699,76819,1,,42.50513347022587,72.65259896640154,2.5524384595026457,485025.520159,485028.457988,6.05706066567212e-06,28.338711000047624,gap,gap,
intermodal_path_tree,intermodal,BUS-18424-0,path,highs,1.0,3,1,33.85,71.174,110.26292466765142,4.509,3.904,-13.417609225992468,27.738,63.638,129.42533708270244,47.51267109935617,50.583052604301635,6.462237196736076,20,40,21259,21018,94612,77180,1,,13.320531757754802,72.76237367193573,0.8608043580526727,485025.502234,485026.500191,2.0575351097797993e-06,29.36559500003932,gap,gap,4.834774894655133
intermodal_path_tree,intermodal,BUS-18424-0,path,mosek,1.0,1,1,8.688,9.034,3.982504604051566,3.703,3.738,0.9451795841209869,2.812,2.92,3.840682788051213,48.47873900293255,48.40401424409194,-0.15413923789579073,23,26,21126,20894,76384,77225,1,,42.6220073664825,72.93622531563612,-0.06569723733058391,485029.316004,485026.541104,5.721097485158296e-06,33.13436800002819,gap,gap,
intermodal_path_tree,intermodal,BUS-18424-0,tree,copt-cpu,1.0,1,1,10.172,7.745,-23.859614628391668,4.808,3.724,-22.545757071547413,1.339,0.976,-27.10978342046303,50.84978794961556,48.96456511734929,-3.707434992913329,42,32,21146,20906,94553,76055,1,,47.26700747149036,72.4791269476037,-1.7523935751009914,485027.000001,485032.000322,1.0309366282679564e-05,17.797604000021238,gap,gap,
intermodal_path_tree,intermodal,BUS-18424-0,tree,copt-gpu,1.0,1,1,10.329,9.325,-9.72020524736181,4.484,3.712,-17.216770740410343,2.723,2.563,-5.875872199779644,47.563989689518735,48.80678456380251,2.612890302929399,33,32,21144,20906,94273,76055,1,,43.411753315906665,72.4791269476037,1.134301492722957,485025.500001,485032.000103,1.340156754646215e-05,14.87023900001077,gap,gap,
intermodal_path_tree,intermodal,BUS-18424-0,tree,cuopt,1.0,1,1,9.74,13.884,42.54620123203286,4.602,4.061,-11.755758365927864,3.209,6.246,94.64007478965411,48.64127849827187,52.78481835315526,8.518566910264495,20,37,21123,21021,94611,76935,1,,47.248459958932244,72.67173588093846,4.024891675671172,485025.503958,485026.697207,2.460177846868211e-06,30.076132000016514,gap,gap,
intermodal_path_tree,intermodal,BUS-18424-0,tree,highs,1.0,3,1,20.982,29.789,41.97407301496522,3.777,4.354,15.27667460947842,15.606,22.972,47.199794950660014,46.465177398160314,45.88519217190612,-1.2482148110278342,17,26,21165,20983,76100,94889,1,,18.001143837575064,77.88574018063211,-0.22469294353503622,485029.000241,485025.5003,7.215941723524072e-06,35.56720199994743,gap,gap,21.392639661106703
