sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,t_lp_off,t_lp_on,d_t_lp_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,fire_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct,spread_per_price_off_pct
gridplanar_path_tree,grid,grid1,path,copt-gpu,2.1739130434782608,3,3,0.563,0.567,0.7104795737122565,0.002,0.002,0.0,0.56,0.564,0.714285714285695,6.211180124223603,7.246376811594203,16.666666666666668,9,9,88,88,322,322,0,1,0.35523978685612795,86.0248447204969,0.059206631142688,827319.000001,827319.000001,0.0,0.5319829999934882,gap,gap,0.0,0.0
gridplanar_path_tree,grid,grid1,tree,copt-gpu,2.1739130434782608,3,3,0.507,0.507,0.0,0.002,0.003,50.0,0.504,0.504,0.0,5.967604433077579,7.672634271099746,28.571428571428598,11,11,61,61,391,391,0,1,0.39447731755424065,84.39897698209718,0.11270780501549743,827319.0,827319.0,0.0,0.5319829999934882,gap,gap,50.0,49.99999999999999
gridplanar_path_tree,grid,grid10,path,copt-gpu,3.372681281618887,3,3,3.567,3.508,-1.654051023268858,0.047,0.044,-6.3829787234042605,3.48,3.429,-1.465517241379315,3.7753894943495006,3.372681281618887,-10.666666666666673,17,17,6821,6750,12453,12453,1,0,1.3176338659938323,54.669557536336626,-0.14054761237267552,164110896.961477,164110897.365549,2.462188642903544e-09,-214.43984499573708,gap,gap,19.148936170212767,0.08510638297872192
gridplanar_path_tree,grid,grid10,tree,copt-gpu,3.372681281618887,3,3,4.783,4.695,-1.8398494668618037,0.077,0.059,-23.37662337662338,4.635,4.572,-1.3592233009708679,3.852131071652944,2.997938916994566,-22.174535050071526,28,27,3777,3933,20162,19569,1,0,1.609868283504077,44.25877663651694,-0.3569808067855964,164110910.681725,164110999.34505,5.402646578671599e-07,-996.4702740013599,gap,gap,12.987012987013,1.7906706061420046
gridplanar_path_tree,grid,grid11,path,copt-gpu,6.4,3,3,3.508,3.443,-1.8529076396807282,0.056,0.057,1.7857142857142874,3.388,3.322,-1.9480519480519434,4.662068965517241,4.524137931034483,-2.958579881656792,16,16,9219,9219,12500,12500,0,0,1.5963511972633981,59.376,-0.047229325362822226,329258288.241195,329258288.241195,0.0,95.01283997297287,gap,gap,8.928571428571425,6.77966101694914
gridplanar_path_tree,grid,grid11,tree,copt-gpu,6.4,3,3,3.536,3.622,2.432126696832575,0.081,0.064,-20.987654320987655,3.388,3.486,2.8925619834710834,4.2725274725274724,3.3617977528089886,-21.315947658020068,24,24,4512,4485,18750,18750,1,0,2.2907239819004523,39.28258064516129,-0.48828952497161354,329258952.219919,329258556.629422,1.2014570730720284e-06,2454.8897609710693,gap,gap,7.407407407407414,7.356321839080457
gridplanar_path_tree,grid,grid12,path,copt-gpu,6.674082313681868,3,3,3.055,3.106,1.6693944353518726,0.077,0.08,3.8961038961038996,2.916,2.963,1.611796982167358,6.117908787541713,6.329784416547486,3.4632034632034654,12,12,14179,14179,12586,12586,0,1,2.520458265139116,52.7888129667885,0.08728859792689585,577186506.663568,577186506.663571,5.163378222399535e-15,162.92247009277344,gap,gap,7.792207792207799,7.792207792207785
gridplanar_path_tree,grid,grid12,tree,copt-gpu,6.674082313681868,3,3,3.429,3.074,-10.352872557596967,0.155,0.11,-29.032258064516128,3.181,2.88,-9.462433197107833,6.218422075398367,4.531784287067936,-27.12324393358875,22,21,4764,5472,25172,24273,1,0,4.520268299795859,48.29234128455486,-1.2260433974063156,577186512.240422,577186507.137133,8.841663656227008e-09,-274.6974309682846,gap,gap,1.9354838709677438,2.3504273504273474
gridplanar_path_tree,grid,grid13,path,copt-gpu,13.333333333333334,3,3,5.995,6.027,0.533778148457048,0.087,0.091,4.5977011494252915,5.735,5.761,0.45335658238883697,7.100271002710027,7.275132275132275,2.4627408215194504,12,12,33255,33255,12600,12600,0,0,1.451209341117598,41.992063492063494,0.03573952484940653,1159320977.891668,1159320977.891662,5.346994641564983e-15,176.1123080253601,gap,gap,3.448275862068969,6.3094209161624795
gridplanar_path_tree,grid,grid13,tree,copt-gpu,13.333333333333334,3,3,7.757,7.721,-0.4640969446951088,0.221,0.165,-25.339366515837103,7.294,7.319,0.34274746366877373,6.8994708994708995,5.267094017094017,-23.659450212364323,28,28,7027,7052,31500,31500,1,0,2.8490395771561174,35.91428571428571,-0.6740671002878067,1159320995.656212,1159321014.926123,1.662172158063139e-08,-216.27858901023865,gap,gap,8.59728506787331,4.087394957983191
