sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,cutoff_enabled,cut,priced,cut_rate_pct,per_price_us
gridplanar_path_tree,grid,grid1,path,copt-gpu,off,rep1,50,23,2.1739130434782608,9,88,827319.000001,827318.077,1,gap,1.505,1.501,0.003,0.0,0,0,322,0.0,9.316770186335404
gridplanar_path_tree,grid,grid1,path,copt-gpu,off,rep2,50,23,2.1739130434782608,9,88,827319.000001,827318.077,1,gap,1.513,1.51,0.002,0.0,0,0,322,0.0,6.211180124223603
gridplanar_path_tree,grid,grid1,path,copt-gpu,off,rep3,50,23,2.1739130434782608,9,88,827319.000001,827318.077,1,gap,1.553,1.549,0.003,0.0,0,0,322,0.0,9.316770186335404
gridplanar_path_tree,grid,grid1,path,copt-gpu,on,rep1,50,23,2.1739130434782608,9,88,827319.000001,827318.608983,1,gap,1.575,1.571,0.003,0.0,1,277,322,86.0248447204969,9.316770186335404
gridplanar_path_tree,grid,grid1,path,copt-gpu,on,rep2,50,23,2.1739130434782608,9,88,827319.000001,827318.608983,1,gap,1.603,1.598,0.004,0.0,1,277,322,86.0248447204969,12.422360248447205
gridplanar_path_tree,grid,grid1,path,copt-gpu,on,rep3,50,23,2.1739130434782608,9,88,827319.000001,827318.608983,1,gap,1.542,1.539,0.002,0.0,1,277,322,86.0248447204969,6.211180124223603
gridplanar_path_tree,grid,grid1,tree,copt-gpu,off,rep1,50,23,2.1739130434782608,11,61,827319.0,827318.077,1,gap,1.791,1.787,0.003,0.0,0,0,391,0.0,7.672634271099744
gridplanar_path_tree,grid,grid1,tree,copt-gpu,off,rep2,50,23,2.1739130434782608,11,61,827319.0,827318.077,1,gap,1.803,1.799,0.003,0.0,0,0,391,0.0,7.672634271099744
gridplanar_path_tree,grid,grid1,tree,copt-gpu,off,rep3,50,23,2.1739130434782608,11,61,827319.0,827318.077,1,gap,1.818,1.814,0.003,0.0,0,0,391,0.0,7.672634271099744
gridplanar_path_tree,grid,grid1,tree,copt-gpu,on,rep1,50,23,2.1739130434782608,11,61,827319.0,827318.608983,1,gap,1.837,1.833,0.003,0.0,1,330,391,84.39897698209718,7.672634271099744
gridplanar_path_tree,grid,grid1,tree,copt-gpu,on,rep2,50,23,2.1739130434782608,11,61,827319.0,827318.608983,1,gap,1.863,1.86,0.003,0.0,1,330,391,84.39897698209718,7.672634271099744
gridplanar_path_tree,grid,grid1,tree,copt-gpu,on,rep3,50,23,2.1739130434782608,11,61,827319.0,827318.608983,1,gap,1.863,1.859,0.003,0.0,1,330,391,84.39897698209718,7.672634271099744
gridplanar_path_tree,grid,grid10,path,copt-gpu,off,rep1,2000,593,3.372681281618887,17,6793,164110914.934168,164110514.87973,1,gap,5.824,5.73,0.051,0.006,0,0,12453,0.0,4.095398699108649
gridplanar_path_tree,grid,grid10,path,copt-gpu,off,rep2,2000,593,3.372681281618887,17,6845,164110897.954965,164110708.91312,1,gap,5.853,5.761,0.051,0.007,0,0,13046,0.0,3.909244212785528
gridplanar_path_tree,grid,grid10,path,copt-gpu,off,rep3,2000,593,3.372681281618887,17,6812,164110897.181113,164110620.193188,1,gap,5.684,5.594,0.049,0.006,0,0,12453,0.0,3.934794828555368
gridplanar_path_tree,grid,grid10,path,copt-gpu,on,rep1,2000,593,3.372681281618887,18,6773,164110896.961477,164110784.708318,1,gap,5.791,5.699,0.049,0.007,1,8581,14232,60.29370432827431,3.442945474985947
gridplanar_path_tree,grid,grid10,path,copt-gpu,on,rep2,2000,593,3.372681281618887,19,6231,164110896.961477,164110784.705976,1,gap,6.611,6.508,0.058,0.007,1,9188,14825,61.97639123102867,3.912310286677909
gridplanar_path_tree,grid,grid10,path,copt-gpu,on,rep3,2000,593,3.372681281618887,18,6209,164110882.355411,164110690.753473,1,gap,6.271,6.185,0.043,0.006,1,7357,13046,56.39276406561398,3.296029434309367
gridplanar_path_tree,grid,grid10,tree,copt-gpu,off,rep1,2000,593,3.372681281618887,29,3580,164110897.445892,164110696.7122,1,gap,8.805,8.651,0.081,0.013,0,0,20755,0.0,3.902674054444712
gridplanar_path_tree,grid,grid10,tree,copt-gpu,off,rep2,2000,593,3.372681281618887,28,3802,164110919.422102,164110609.379522,1,gap,8.539,8.39,0.08,0.013,0,0,20162,0.0,3.967860331316338
gridplanar_path_tree,grid,grid10,tree,copt-gpu,off,rep3,2000,593,3.372681281618887,29,3473,164110904.895253,164110572.793227,1,gap,8.862,8.705,0.084,0.014,0,0,20755,0.0,4.0472175379426645
gridplanar_path_tree,grid,grid10,tree,copt-gpu,on,rep1,2000,593,3.372681281618887,28,3823,164110915.608553,164110703.020014,1,gap,8.034,7.897,0.067,0.013,1,9162,20162,45.44192044440036,3.323083027477433
gridplanar_path_tree,grid,grid10,tree,copt-gpu,on,rep2,2000,593,3.372681281618887,26,3919,164124053.983121,164107675.384384,1,gap,7.541,7.418,0.06,0.011,1,8394,18976,44.23482293423272,3.1618887015177064
gridplanar_path_tree,grid,grid10,tree,copt-gpu,on,rep3,2000,593,3.372681281618887,27,3873,164111061.831262,164109486.257785,1,gap,8.26,8.125,0.065,0.014,1,8634,19569,44.1208033113598,3.321580050079207
gridplanar_path_tree,grid,grid11,path,copt-gpu,off,rep1,4000,625,6.4,15,9211,329258288.866069,329257909.381459,1,gap,5.239,5.122,0.055,0.016,0,0,11250,0.0,4.888888888888889
gridplanar_path_tree,grid,grid11,path,copt-gpu,off,rep2,4000,625,6.4,15,9248,329258288.164987,329257909.372399,1,gap,5.18,5.065,0.052,0.016,0,0,11250,0.0,4.622222222222222
gridplanar_path_tree,grid,grid11,path,copt-gpu,off,rep3,4000,625,6.4,16,9219,329258288.241195,329257909.729995,1,gap,5.487,5.361,0.063,0.017,0,0,12500,0.0,5.04
gridplanar_path_tree,grid,grid11,path,copt-gpu,on,rep1,4000,625,6.4,16,9219,329258288.241195,329258004.742835,1,gap,5.186,5.061,0.06,0.017,1,7422,12500,59.376,4.8
gridplanar_path_tree,grid,grid11,path,copt-gpu,on,rep2,4000,625,6.4,16,9233,329258288.241195,329258004.742835,1,gap,5.351,5.228,0.058,0.017,1,7422,12500,59.376,4.64
gridplanar_path_tree,grid,grid11,path,copt-gpu,on,rep3,4000,625,6.4,15,9219,329258288.927535,329258003.083822,1,gap,5.344,5.222,0.059,0.016,1,6172,11250,54.86222222222222,5.2444444444444445
gridplanar_path_tree,grid,grid11,tree,copt-gpu,off,rep1,4000,625,6.4,26,4334,329258297.788487,329257889.21231,1,gap,7.415,7.231,0.096,0.015,0,0,20000,0.0,4.8
gridplanar_path_tree,grid,grid11,tree,copt-gpu,off,rep2,4000,625,6.4,26,4227,329258363.820872,329257642.564043,1,gap,7.425,7.253,0.089,0.015,0,0,20000,0.0,4.45
gridplanar_path_tree,grid,grid11,tree,copt-gpu,off,rep3,4000,625,6.4,26,4256,329258295.659476,329257772.104469,1,gap,7.338,7.164,0.091,0.015,0,0,20000,0.0,4.55
gridplanar_path_tree,grid,grid11,tree,copt-gpu,on,rep1,4000,625,6.4,23,4547,329270920.745469,329251613.141549,1,gap,5.939,5.806,0.065,0.012,1,7125,18125,39.310344827586206,3.586206896551724
gridplanar_path_tree,grid,grid11,tree,copt-gpu,on,rep2,4000,625,6.4,24,4473,329258799.491108,329255110.949455,1,gap,6.503,6.354,0.074,0.014,1,7349,18750,39.19466666666667,3.9466666666666668
gridplanar_path_tree,grid,grid11,tree,copt-gpu,on,rep3,4000,625,6.4,26,4187,329258290.342788,329257971.872042,1,gap,7.423,7.245,0.083,0.015,1,8239,20000,41.195,4.15
gridplanar_path_tree,grid,grid12,path,copt-gpu,off,rep1,6000,899,6.674082313681868,12,14179,577186506.663568,577185806.237511,1,gap,4.576,4.426,0.083,0.018,0,0,12586,0.0,6.594628952804704
gridplanar_path_tree,grid,grid12,path,copt-gpu,off,rep2,6000,899,6.674082313681868,12,14179,577186506.663575,577185806.23751,1,gap,4.682,4.535,0.083,0.018,0,0,12586,0.0,6.594628952804704
gridplanar_path_tree,grid,grid12,path,copt-gpu,off,rep3,6000,899,6.674082313681868,12,14179,577186506.663575,577185806.237511,1,gap,4.612,4.46,0.087,0.018,0,0,12586,0.0,6.912442396313364
gridplanar_path_tree,grid,grid12,path,copt-gpu,on,rep1,6000,899,6.674082313681868,12,14179,577186506.663569,577185969.159977,1,gap,4.332,4.184,0.083,0.018,1,6644,12586,52.7888129667885,6.594628952804704
gridplanar_path_tree,grid,grid12,path,copt-gpu,on,rep2,6000,899,6.674082313681868,12,14179,577186506.663572,577185969.15998,1,gap,4.644,4.479,0.1,0.018,1,6644,12586,52.7888129667885,7.945336087716511
gridplanar_path_tree,grid,grid12,path,copt-gpu,on,rep3,6000,899,6.674082313681868,12,14131,577186508.151267,577185968.128434,1,gap,4.808,4.664,0.08,0.018,1,6644,12586,52.7888129667885,6.356268870173208
gridplanar_path_tree,grid,grid12,tree,copt-gpu,off,rep1,6000,899,6.674082313681868,22,5045,577186504.112064,577185835.244984,1,gap,6.38,6.124,0.159,0.017,0,0,25172,0.0,6.3165421897346254
gridplanar_path_tree,grid,grid12,tree,copt-gpu,off,rep2,6000,899,6.674082313681868,18,6350,577195347.721564,577162853.913658,1,gap,5.062,4.845,0.147,0.014,0,0,21576,0.0,6.8131256952169075
gridplanar_path_tree,grid,grid12,tree,copt-gpu,off,rep3,6000,899,6.674082313681868,21,5055,577186510.382103,577185735.434955,1,gap,5.994,5.743,0.164,0.016,0,0,24273,0.0,6.7564783916285585
gridplanar_path_tree,grid,grid12,tree,copt-gpu,on,rep1,6000,899,6.674082313681868,23,4341,577186503.106817,577185981.259015,1,gap,6.246,6.021,0.126,0.02,1,13280,26071,50.93782363545702,4.832956158183422
gridplanar_path_tree,grid,grid12,tree,copt-gpu,on,rep2,6000,899,6.674082313681868,21,5431,577186652.978752,577185549.836801,1,gap,5.88,5.67,0.122,0.015,1,11612,24273,47.83916285584806,5.026160754748074
gridplanar_path_tree,grid,grid12,tree,copt-gpu,on,rep3,6000,899,6.674082313681868,22,4660,577186510.836437,577185970.25941,1,gap,6.283,6.023,0.153,0.017,1,12693,25172,50.42507548069283,6.078182107103131
gridplanar_path_tree,grid,grid13,path,copt-gpu,off,rep1,12000,900,13.333333333333334,12,33255,1159320977.891656,1159319416.747724,1,gap,7.435,7.153,0.103,0.044,0,0,12600,0.0,8.174603174603174
gridplanar_path_tree,grid,grid13,path,copt-gpu,off,rep2,12000,900,13.333333333333334,12,33255,1159320977.891659,1159319416.747724,1,gap,7.689,7.42,0.09,0.043,0,0,12600,0.0,7.142857142857143
gridplanar_path_tree,grid,grid13,path,copt-gpu,off,rep3,12000,900,13.333333333333334,12,33255,1159320977.891658,1159319416.747724,1,gap,7.771,7.497,0.095,0.043,0,0,12600,0.0,7.5396825396825395
gridplanar_path_tree,grid,grid13,path,copt-gpu,on,rep1,12000,900,13.333333333333334,12,33255,1159320977.891666,1159319592.860032,1,gap,7.094,6.825,0.095,0.043,1,5291,12600,41.992063492063494,7.5396825396825395
gridplanar_path_tree,grid,grid13,path,copt-gpu,on,rep2,12000,900,13.333333333333334,12,33255,1159320977.891653,1159319592.860032,1,gap,7.524,7.257,0.091,0.043,1,5291,12600,41.992063492063494,7.222222222222222
gridplanar_path_tree,grid,grid13,path,copt-gpu,on,rep3,12000,900,13.333333333333334,12,33255,1159320977.891663,1159319592.860032,1,gap,7.692,7.407,0.1,0.045,1,5291,12600,41.992063492063494,7.936507936507937
gridplanar_path_tree,grid,grid13,tree,copt-gpu,off,rep1,12000,900,13.333333333333334,27,7045,1159321656.055747,1159314081.840402,1,gap,10.637,10.195,0.217,0.033,0,0,30600,0.0,7.091503267973856
gridplanar_path_tree,grid,grid13,tree,copt-gpu,off,rep2,12000,900,13.333333333333334,27,7048,1159321653.364037,1159314082.873316,1,gap,10.998,10.542,0.224,0.032,0,0,30600,0.0,7.3202614379084965
