family,instance,formulation,solver,iteration,ub,lb,lp_obj,n_col,n_row,n_slk,added_col,removed_col,added_cut,removed_cut,col_committed,t_lp,t_pricing,t_separation,t_iter,t_acc
grid,grid1,path,copt-cpu,1,inf,820170.0,279700.0,100,50,45,0,0,0,0,True,0.005,0.0,0.0,0.005,0.005
grid,grid1,path,copt-cpu,2,inf,820170.0,820170.0,100,60,0,0,0,10,0,True,0.004,0.0,0.0,0.004,0.009
grid,grid1,path,copt-cpu,3,inf,820170.0,1089500.0,121,60,10,21,0,0,0,True,0.003,0.0,0.0,0.003,0.013
grid,grid1,path,copt-cpu,4,inf,820170.0,1456100.0,128,61,2,7,0,1,0,True,0.003,0.0,0.0,0.004,0.016
grid,grid1,path,copt-cpu,5,inf,820170.0,935240.0,137,61,4,9,0,0,0,True,0.004,0.0,0.0,0.004,0.02
grid,grid1,path,copt-cpu,6,827560.0,826850.0,827560.0,139,61,0,2,0,0,0,True,0.004,0.0,0.0,0.004,0.024
grid,grid1,path,copt-cpu,7,827560.0,827320.0,827320.0,139,62,0,0,0,1,0,True,0.003,0.0,0.0,0.003,0.027
grid,grid1,path,copt-cpu,8,827410.0,827320.0,827410.0,138,60,0,1,2,0,2,True,0.004,0.0,0.0,0.004,0.032
grid,grid1,path,copt-cpu,9,827320.0,827320.0,827320.0,138,60,0,0,0,0,0,False,0.003,0.0,0.0,0.003,0.035
grid,grid1,path,copt-gpu,1,inf,820170.0,279700.0,100,50,45,0,0,0,0,True,0.235,0.0,0.0,0.236,0.236
grid,grid1,path,copt-gpu,2,inf,820170.0,820170.0,100,60,0,0,0,10,0,True,0.019,0.0,0.0,0.019,0.254
grid,grid1,path,copt-gpu,3,inf,820170.0,1089500.0,121,60,10,21,0,0,0,True,0.022,0.0,0.0,0.022,0.277
grid,grid1,path,copt-gpu,4,inf,820170.0,1456100.0,128,61,2,7,0,1,0,True,0.025,0.0,0.0,0.025,0.302
grid,grid1,path,copt-gpu,5,inf,820170.0,935240.0,137,61,4,9,0,0,0,True,0.029,0.0,0.0,0.029,0.331
grid,grid1,path,copt-gpu,6,827560.0,826850.0,827560.0,139,61,0,2,0,0,0,True,0.029,0.0,0.0,0.03,0.36
grid,grid1,path,copt-gpu,7,827560.0,827320.0,827320.0,139,62,0,0,0,1,0,True,0.027,0.0,0.0,0.027,0.387
grid,grid1,path,copt-gpu,8,827410.0,827320.0,827410.0,138,60,0,1,2,0,2,True,0.029,0.0,0.0,0.029,0.416
grid,grid1,path,copt-gpu,9,827320.0,827320.0,827320.0,138,60,0,0,0,0,0,False,0.026,0.0,0.0,0.026,0.442
grid,grid1,path,cuopt,1,inf,820170.0,279700.0,100,50,45,0,0,0,0,True,0.493,0.0,0.0,0.493,0.493
grid,grid1,path,cuopt,2,inf,820170.0,820170.0,100,60,0,0,0,10,0,True,0.025,0.0,0.0,0.026,0.519
grid,grid1,path,cuopt,3,inf,820170.0,1089500.0,121,60,10,21,0,0,0,True,0.025,0.0,0.0,0.026,0.544
grid,grid1,path,cuopt,4,inf,820170.0,1456100.0,128,61,2,7,0,1,0,True,0.026,0.0,0.0,0.026,0.571
grid,grid1,path,cuopt,5,inf,820170.0,935240.0,137,61,4,9,0,0,0,True,0.026,0.0,0.0,0.026,0.597
grid,grid1,path,cuopt,6,827490.0,826910.0,827490.0,138,61,0,1,0,0,0,True,0.026,0.0,0.0,0.026,0.623
grid,grid1,path,cuopt,7,827490.0,827320.0,827320.0,138,62,0,0,0,1,0,True,0.026,0.0,0.0,0.027,0.649
grid,grid1,path,cuopt,8,827490.0,827320.0,827410.0,137,61,1,1,2,0,1,True,0.027,0.0,0.0,0.027,0.676
grid,grid1,path,cuopt,9,827320.0,827320.0,827320.0,137,61,0,0,0,0,0,False,0.027,0.0,0.0,0.027,0.703
grid,grid1,path,highs,1,inf,820170.0,279700.0,100,50,45,0,0,0,0,True,0.005,0.005,0.0,0.01,0.01
grid,grid1,path,highs,2,inf,820170.0,820170.0,100,60,0,0,0,10,0,True,0.007,0.0,0.0,0.008,0.017
grid,grid1,path,highs,3,inf,820170.0,1089500.0,121,60,10,21,0,0,0,True,0.014,0.003,0.0,0.017,0.034
grid,grid1,path,highs,4,inf,820170.0,1456100.0,128,61,2,7,0,1,0,True,0.011,0.003,0.0,0.014,0.048
grid,grid1,path,highs,5,inf,820170.0,935240.0,137,61,4,9,0,0,0,True,0.016,0.0,0.0,0.016,0.064
grid,grid1,path,highs,6,827490.0,826910.0,827490.0,138,61,0,1,0,0,0,True,0.005,0.0,0.0,0.005,0.069
grid,grid1,path,highs,7,827490.0,827320.0,827320.0,138,62,0,0,0,1,0,True,0.003,0.0,0.0,0.003,0.072
grid,grid1,path,highs,8,827490.0,827320.0,827410.0,137,60,1,1,2,0,2,True,0.004,0.0,0.0,0.004,0.077
grid,grid1,path,highs,9,827320.0,827320.0,827320.0,137,60,0,0,0,0,0,False,0.003,0.0,0.0,0.003,0.08
grid,grid1,path,mosek,1,inf,820170.0,279700.0,100,50,45,0,0,0,0,True,0.008,0.0,0.0,0.009,0.009
grid,grid1,path,mosek,2,inf,820170.0,820170.0,100,60,0,0,0,10,0,True,0.0,0.0,0.0,0.0,0.009
grid,grid1,path,mosek,3,inf,820170.0,1089500.0,121,60,10,21,0,0,0,True,0.001,0.0,0.0,0.001,0.01
grid,grid1,path,mosek,4,inf,820170.0,1456100.0,128,61,2,7,0,1,0,True,0.001,0.0,0.0,0.001,0.011
grid,grid1,path,mosek,5,inf,820170.0,935240.0,137,61,4,9,0,0,0,True,0.001,0.0,0.0,0.001,0.012
grid,grid1,path,mosek,6,827490.0,826910.0,827490.0,138,61,0,1,0,0,0,True,0.001,0.0,0.0,0.001,0.013
grid,grid1,path,mosek,7,827490.0,827320.0,827320.0,138,62,0,0,0,1,0,True,0.001,0.0,0.0,0.001,0.014
grid,grid1,path,mosek,8,827410.0,827320.0,827410.0,137,60,0,1,2,0,2,True,0.001,0.0,0.0,0.001,0.015
grid,grid1,path,mosek,9,827320.0,827320.0,827320.0,137,60,0,0,0,0,0,False,0.001,0.0,0.0,0.001,0.016
grid,grid1,tree,copt-cpu,1,inf,820170.0,2300.0,46,23,23,0,0,0,0,True,0.004,0.0,0.0,0.005,0.005
grid,grid1,tree,copt-cpu,2,inf,820170.0,23000.0,46,23,23,0,0,0,0,True,0.004,0.0,0.0,0.004,0.009
grid,grid1,tree,copt-cpu,3,inf,820170.0,207340.0,46,23,19,0,0,0,0,True,0.003,0.0,0.0,0.003,0.012
grid,grid1,tree,copt-cpu,4,inf,820170.0,819210.0,46,29,1,0,0,6,0,True,0.003,0.0,0.0,0.003,0.015
grid,grid1,tree,copt-cpu,5,inf,820170.0,980730.0,57,32,5,11,0,3,0,True,0.003,0.0,0.0,0.003,0.018
grid,grid1,tree,copt-cpu,6,inf,820170.0,1101500.0,70,35,7,13,0,3,0,True,0.004,0.0,0.0,0.004,0.022
grid,grid1,tree,copt-cpu,7,inf,820170.0,1208500.0,78,35,3,8,0,0,0,True,0.004,0.0,0.0,0.004,0.026
grid,grid1,tree,copt-cpu,8,828640.0,820170.0,828640.0,80,35,0,2,0,0,0,True,0.003,0.0,0.0,0.003,0.03
grid,grid1,tree,copt-cpu,9,827500.0,826890.0,827500.0,82,35,0,2,0,0,0,True,0.004,0.0,0.0,0.004,0.034
grid,grid1,tree,copt-cpu,10,827360.0,826990.0,827360.0,84,34,0,2,0,0,1,True,0.004,0.0,0.0,0.004,0.038
grid,grid1,tree,copt-cpu,11,827320.0,827320.0,827320.0,84,34,0,0,0,0,0,False,0.003,0.0,0.0,0.003,0.041
grid,grid1,tree,copt-gpu,1,inf,820170.0,2300.0,46,23,23,0,0,0,0,True,0.243,0.0,0.0,0.243,0.243
grid,grid1,tree,copt-gpu,2,inf,820170.0,23000.0,46,23,23,0,0,0,0,True,0.022,0.0,0.0,0.022,0.265
grid,grid1,tree,copt-gpu,3,inf,820170.0,207340.0,46,23,19,0,0,0,0,True,0.021,0.0,0.0,0.021,0.286
grid,grid1,tree,copt-gpu,4,inf,820170.0,819210.0,46,29,1,0,0,6,0,True,0.023,0.0,0.0,0.024,0.31
grid,grid1,tree,copt-gpu,5,inf,820170.0,980730.0,57,32,5,11,0,3,0,True,0.021,0.0,0.0,0.021,0.331
