instance,solver,gpu,outcome,objective,ref,rel_err,pass,time_wall,time_solve,status,detail
Austin,copt-cpu,cpu,ok,5438888.15,5438762.784,2.305046294153421e-05,True,7267.274,7235.62,Status: Timeout,
Austin,copt-gpu,gpu,error,,5438762.784,,,769.374,,,COPT failed to solve (GPU memory issue / infeasible); rc=0 outcome=error
Austin,cuopt,gpu,error,,5438762.784,,,118.764,39.93,,cuOpt #33 VRAM-OOM / numerical error; rc=0 outcome=error
Austin,highs,cpu,error,,5438762.784,,,1425.889,1334.98,Model status        : Not Set,rc=255 outcome=error
Austin,mosek,cpu,error,,5438762.784,,,424.009,,,rc=-9 outcome=error
Barcelona,copt-cpu,cpu,ok,243.505729,243.506,1.1129089221535067e-06,True,11.992,11.09,Status: Optimal,
Barcelona,copt-gpu,gpu,ok,243.505729,243.506,1.1129089221535067e-06,True,6.466,5.2,Status: Optimal,
Barcelona,cuopt,gpu,ok,243.518174,243.506,4.999466132246217e-05,True,17.968,16.26,Optimal,
Barcelona,highs,cpu,ok,243.50572941,243.506,1.111225185472745e-06,True,558.529,557.41,Model status        : Optimal,
Barcelona,mosek,cpu,ok,243.50616515,243.506,6.782173744656173e-07,True,24.650,23.41,Interior-point solution summary,
BerlinCenter,copt-cpu,cpu,ok,44812063.9,27529204.544,0.6278008988010082,False,7379.765,7341.78,Status: Timeout,
BerlinCenter,copt-gpu,gpu,error,,27529204.544,,,1111.518,,,COPT failed to solve (GPU memory issue / infeasible); rc=0 outcome=error
BerlinCenter,cuopt,gpu,error,,27529204.544,,,147.162,51.27,,cuOpt #33 VRAM-OOM / numerical error; rc=0 outcome=error
BerlinCenter,highs,cpu,error,,27529204.544,,,1450.901,1341.78,Model status        : Not Set,rc=255 outcome=error
BerlinCenter,mosek,cpu,error,,27529204.544,,,266.822,,,rc=-9 outcome=error
Birmingham,copt-cpu,cpu,ok,321591.811,215645.118,0.4913011432051061,False,7424.835,7375.9,Status: Timeout,
Birmingham,copt-gpu,gpu,error,,215645.118,,,1275.682,,,COPT failed to solve (GPU memory issue / infeasible); rc=0 outcome=error
