instance,solver,gpu,outcome,probe_iters,mem_gb,vram_gb,time_wall,status,detail
Austin,copt-cpu,cpu,ok,3,41.262,,1106.041,Status: IterLimit,
Austin,copt-gpu,gpu,error,3,28.252,0.244,748.975,,"peak at failure, not at completion (rc=0)"
Austin,cuopt,gpu,error,3,21.828,14.723,119.555,,"peak at failure, not at completion (rc=0)"
Austin,highs,cpu,error,3,24.597,,1428.184,Model status        : Not Set,"peak at failure, not at completion (rc=255)"
Austin,mosek,cpu,error,3,104.793,,423.407,,"peak at failure, not at completion (rc=137)"
Barcelona,copt-cpu,cpu,ok,3,0.655,,4.725,Status: IterLimit,
Barcelona,copt-gpu,gpu,ok,3,0.802,0.469,4.225,Status: IterLimit,
Barcelona,cuopt,gpu,ok,3,1.068,1.225,4.704,,
Barcelona,highs,cpu,ok,3,1.675,,91.326,Model status        : Iteration limit reached,
Barcelona,mosek,cpu,ok,3,1.747,,7.522,Interior-point solution summary,
BerlinCenter,copt-cpu,cpu,ok,3,51.03,,1772.011,Status: IterLimit,
BerlinCenter,copt-gpu,gpu,error,3,31.471,0.244,1116.098,,"peak at failure, not at completion (rc=0)"
BerlinCenter,cuopt,gpu,error,3,24.23,14.723,145.926,,"peak at failure, not at completion (rc=0)"
BerlinCenter,highs,cpu,error,3,29.098,,1445.402,Model status        : Not Set,"peak at failure, not at completion (rc=255)"
BerlinCenter,mosek,cpu,error,3,104.792,,262.352,,"peak at failure, not at completion (rc=137)"
Birmingham,copt-cpu,cpu,ok,3,67.389,,2297.038,Status: IterLimit,
Birmingham,copt-gpu,gpu,error,3,39.818,0.244,1253.478,,"peak at failure, not at completion (rc=0)"
Birmingham,cuopt,gpu,error,3,31.092,14.723,183.919,,"peak at failure, not at completion (rc=0)"
Birmingham,highs,cpu,error,3,35.841,,2016.580,Model status        : Not Set,"peak at failure, not at completion (rc=255)"
Birmingham,mosek,cpu,error,3,104.793,,348.596,,"peak at failure, not at completion (rc=137)"
ChicagoRegional,copt-cpu,cpu,error,3,104.798,,3750.443,,"peak at failure, not at completion (rc=137)"
ChicagoRegional,copt-gpu,gpu,error,3,76.874,0.244,2244.507,,"peak at failure, not at completion (rc=137)"
ChicagoRegional,cuopt,gpu,ok,3,31.036,14.721,274.643,,
ChicagoRegional,highs,cpu,timeout,3,,,7207.291,,unmeasured (rc=-1)
ChicagoRegional,mosek,cpu,error,3,104.793,,602.832,,"peak at failure, not at completion (rc=137)"
ChicagoSketch,copt-cpu,cpu,ok,3,1.677,,17.698,Status: IterLimit,
ChicagoSketch,copt-gpu,gpu,ok,3,1.647,0.777,15.630,Status: IterLimit,
ChicagoSketch,cuopt,gpu,ok,3,1.924,2.725,17.950,,
ChicagoSketch,highs,cpu,ok,3,5.489,,174.581,Model status        : Iteration limit reached,
ChicagoSketch,mosek,cpu,ok,3,2.214,,14.694,Interior-point solution summary,
Philadelphia,copt-cpu,cpu,error,3,104.799,,1929.079,,"peak at failure, not at completion (rc=137)"
Philadelphia,copt-gpu,gpu,error,3,78.397,0.244,841.734,,"peak at failure, not at completion (rc=137)"
Philadelphia,cuopt,gpu,ok,3,27.134,14.721,234.930,,
Philadelphia,highs,cpu,error,3,76.376,,4315.463,Model status        : Not Set,"peak at failure, not at completion (rc=255)"
Philadelphia,mosek,cpu,error,3,104.795,,502.400,,"peak at failure, not at completion (rc=137)"
Winnipeg,copt-cpu,cpu,ok,3,0.864,,6.411,Status: IterLimit,
Winnipeg,copt-gpu,gpu,ok,3,0.985,0.504,5.719,Status: IterLimit,
Winnipeg,cuopt,gpu,ok,3,1.191,1.287,5.780,,
Winnipeg,highs,cpu,ok,3,1.425,,57.844,Model status        : Iteration limit reached,
Winnipeg,mosek,cpu,ok,3,2.095,,8.984,Interior-point solution summary,
grid1,copt-cpu,cpu,ok,3,0.016,,0.608,Status: IterLimit,
grid1,copt-gpu,gpu,ok,3,0.415,0.221,1.078,Status: IterLimit,
grid1,cuopt,gpu,ok,3,0.572,0.41,0.729,,
grid1,highs,cpu,ok,3,0.016,,0.100,Model status        : Iteration limit reached,
grid1,mosek,cpu,ok,3,0.022,,0.056,Interior-point solution summary,
grid10,copt-cpu,cpu,ok,3,2.597,,19.331,Status: IterLimit,
grid10,copt-gpu,gpu,ok,3,2.291,1.266,15.767,Status: IterLimit,
grid10,cuopt,gpu,ok,3,2.42,4.85,34.385,,
grid10,highs,cpu,ok,3,17.21,,229.028,Model status        : Iteration limit reached,
grid10,mosek,cpu,ok,3,3.085,,20.387,Interior-point solution summary,
grid11,copt-cpu,cpu,ok,3,2.638,,20.847,Status: IterLimit,
grid11,copt-gpu,gpu,ok,3,2.361,1.299,16.609,Status: IterLimit,
grid11,cuopt,gpu,ok,3,2.506,5.068,37.117,,
grid11,highs,cpu,ok,3,18.565,,211.566,Model status        : Iteration limit reached,
grid11,mosek,cpu,ok,3,3.214,,21.714,Interior-point solution summary,
grid12,copt-cpu,cpu,ok,3,5.588,,51.101,Status: IterLimit,
grid12,copt-gpu,gpu,ok,3,4.537,2.811,38.774,Status: IterLimit,
